"study","assay_object","donor","target_gene","target_gene_measured","n_guides","n_cells","n_nt_guides","n_nt_cells","target_log2fc_mean","target_log2fc_sd","target_log2fc_se"
"GSE301119","CRISPRi","D2","CLN3",TRUE,3,28,90,759,-0.796092992288494,3.15833542251218,1.82346580637854
"GSE301119","CRISPRi","D2","CLU",TRUE,5,75,90,759,0,0,0
"GSE301119","CRISPRi","D2","CR1",TRUE,5,78,90,759,0.0327105516723263,2.22924311956066,0.996947830742264
"GSE301119","CRISPRi","D2","CR2",TRUE,5,110,90,759,0,0,0
"GSE301119","CRISPRi","D2","CSF1R",TRUE,5,63,90,759,-0.142644606142595,0.678581814228702,0.303471012982102
"GSE301119","CRISPRi","D2","CSF2RA",TRUE,5,31,90,759,-4.72161924970125,2.64476466374932,1.18277471452657
"GSE301119","CRISPRi","D2","CSF2RB",TRUE,5,50,90,759,-1.7327406847136,1.8203552031201,0.814087595474394
"GSE301119","CRISPRi","D2","CSF3R",TRUE,5,34,90,759,-3.71987905023714,3.05412710114427,1.36584716201659
"GSE301119","CRISPRi","D2","CTLA4",TRUE,3,16,90,759,-0.283998404820818,0,0
"GSE301119","CRISPRi","D2","CTSB",TRUE,5,47,90,759,-0.423490135517021,0.743800041014567,0.332637490675141
"GSE301119","CRISPRi","D2","CTSH",TRUE,4,75,90,759,0.540973875921573,0.530420964839183,0.265210482419591
"GSE301119","CRISPRi","D2","CXCR3",TRUE,4,32,90,759,-0.0370935085486417,0,0
"GSE301119","CRISPRi","D2","CXCR4",TRUE,5,74,90,759,-0.153585211374682,0.952962114960446,0.426177613806705
"GSE301119","CRISPRi","D2","DPYD",TRUE,5,58,90,759,-2.43822075264493,3.40851803115763,1.52433560404044
"GSE301119","CRISPRi","D2","EPHA1",TRUE,4,66,90,759,-0.0444389602610383,0,0
"GSE301119","CRISPRi","D2","FCER1G",TRUE,5,73,90,759,-1.11571006166656,0.833683527252925,0.372834607731868
"GSE301119","CRISPRi","D2","FCGR1A",TRUE,3,13,90,759,-2.35796395289272,0,0
"GSE301119","CRISPRi","D2","FCGR2A",TRUE,4,74,90,759,-1.33195891918264,0.363996555819077,0.181998277909539
"GSE301119","CRISPRi","D2","FCGR2B",TRUE,4,32,90,759,0.354540776947092,3.32013909494391,1.66006954747195
"GSE301119","CRISPRi","D2","FCGR2C",FALSE,5,56,90,759,NA,NA,NA
"GSE301119","CRISPRi","D2","FCGR3A",TRUE,3,64,90,759,-1.26545120757154,0.562510165214182,0.324765395308309
"GSE301119","CRISPRi","D2","FCGR3B",TRUE,4,72,90,759,-0.347658577452407,0,0
"GSE301119","CRISPRi","D2","FERMT3",TRUE,5,59,90,759,0.0418632937560497,0.901023104246049,0.402949782078409
"GSE301119","CRISPRi","D2","FLT1",TRUE,5,36,90,759,-0.0892655865297274,0,0
"GSE301119","CRISPRi","D2","FOLR2",TRUE,4,82,90,759,1.2860830570852,0.644930682074688,0.322465341037344
"GSE301119","CRISPRi","D2","FPR1",TRUE,4,47,90,759,-2.11006016963298,2.81922569371147,1.40961284685573
"GSE301119","CRISPRi","D2","FPR2",TRUE,5,114,90,759,-1.51967877719362,1.28243657756461,0.57352307285333
"GSE301119","CRISPRi","D2","FPR3",TRUE,3,18,90,759,-0.959293554856642,0.362017849401175,0.209011102803218
"GSE301119","CRISPRi","D2","GBA",TRUE,4,51,90,759,0.596854482481388,0.522829894110957,0.261414947055479
"GSE301119","CRISPRi","D2","GPNMB",TRUE,5,15,90,759,-2.71413652860166,3.88279085173904,1.73643685738056
"GSE301119","CRISPRi","D2","GPR141",TRUE,5,36,90,759,-1.12793483215588,0,0
"GSE301119","CRISPRi","D2","GPR183",TRUE,4,33,90,759,-2.20716197880516,3.11692547636285,1.55846273818143
"GSE301119","CRISPRi","D2","GPR65",TRUE,4,36,90,759,-3.38959576714781,2.68291544989496,1.34145772494748
"GSE301119","CRISPRi","D2","GPR87",TRUE,5,21,90,759,0,0,0
"GSE301119","CRISPRi","D2","GRN",TRUE,4,29,90,759,-0.80524094503217,0.764379563894236,0.382189781947118
"GSE301119","CRISPRi","D2","HAVCR1",TRUE,2,7,90,759,-0.856269141246873,0,0
"GSE301119","CRISPRi","D2","HEXA",TRUE,5,38,90,759,-1.97571718857819,3.28821795208576,1.47053577313978
"GSE301119","CRISPRi","D2","HEXB",TRUE,5,43,90,759,-1.74159858218649,2.95951501403736,1.32353535036376
"GSE301119","CRISPRi","D2","HLA-DRB5",TRUE,5,28,90,759,-0.350687412106162,1.59543532683971,0.713500368903636
"GSE301119","CRISPRi","D2","ICAM1",TRUE,5,55,90,759,-1.12817763922055,2.94736872895011,1.31810336653792
"GSE301119","CRISPRi","D2","ICAM3",TRUE,5,34,90,759,-0.808637241172082,0,0
"GSE301119","CRISPRi","D2","IFNGR1",TRUE,4,27,90,759,-2.04243900915153,3.62685821179546,1.81342910589773
"GSE301119","CRISPRi","D2","IFNGR2",TRUE,5,46,90,759,-0.432688249897312,0.418302131680362,0.187070400314072
"GSE301119","CRISPRi","D2","IL10",TRUE,5,56,90,759,-2.1418054654724,3.52096054961031,1.57462142700473
"GSE301119","CRISPRi","D2","IL15",TRUE,4,83,90,759,0.599237579384093,0.248051035569801,0.1240255177849
"GSE301119","CRISPRi","D2","IL15RA",TRUE,4,58,90,759,-0.62843153195455,1.5350327892332,0.767516394616601
"GSE301119","CRISPRi","D2","IL1R1",TRUE,5,59,90,759,-0.87059717212873,1.79096066189494,0.80094195700502
"GSE301119","CRISPRi","D2","IL1R2",TRUE,5,45,90,759,-2.61001068388268,0,0
"GSE301119","CRISPRi","D2","IL1RN",TRUE,4,46,90,759,-1.25285315964951,2.67911078303781,1.33955539151891
"GSE301119","CRISPRi","D2","IL21R",TRUE,5,73,90,759,-0.481525685257519,0,0
"GSE301119","CRISPRi","D2","IL23A",TRUE,5,25,90,759,-0.116994506645635,0,0
"GSE301119","CRISPRi","D2","IL2RA",TRUE,5,33,90,759,-2.72325168434327,2.1811859136473,0.975455994896071
"GSE301119","CRISPRi","D2","IL2RG",TRUE,5,70,90,759,-2.66411306686899,0,0
"GSE301119","CRISPRi","D2","IL6R",TRUE,5,78,90,759,-0.392992864339409,1.11602554981232,0.499101798801383
"GSE301119","CRISPRi","D2","ILDR1",TRUE,2,15,90,759,-0.0580776456328758,0,0
"GSE301119","CRISPRi","D2","IRF5",TRUE,5,37,90,759,-0.940961288351009,2.89384922978711,1.29416871888788
"GSE301119","CRISPRi","D2","IRF8",TRUE,4,19,90,759,-2.03653222932366,3.89388272697754,1.94694136348877
"GSE301119","CRISPRi","D2","ITGA5",TRUE,5,59,90,759,1.23323672480699,2.68125947163431,1.1990956887779
"GSE301119","CRISPRi","D2","ITGAL",TRUE,5,84,90,759,0.490823653986952,1.93387540751039,0.864855374241667
"GSE301119","CRISPRi","D2","ITGAM",TRUE,5,29,90,759,-2.66315183226131,2.04704382056323,0.915465827140051
"GSE301119","CRISPRi","D2","ITGAX",TRUE,5,29,90,759,-1.90328227068407,2.85311320434786,1.27595101448481
"GSE301119","CRISPRi","D2","ITGB2",TRUE,5,34,90,759,-0.824821014730412,0.906270258603677,0.405296380844827
"GSE301119","CRISPRi","D2","ITGB3",TRUE,5,48,90,759,-0.0392018212059187,0,0
"GSE301119","CRISPRi","D2","ITM2B",TRUE,4,30,90,759,-0.260878821656642,0.587627774269097,0.293813887134548
"GSE301119","CRISPRi","D2","ITM2C",TRUE,5,79,90,759,0.383497473569993,1.27107712222433,0.56844296998768
"GSE301119","CRISPRi","D2","LAPTM5",TRUE,5,48,90,759,-0.267854132831611,0.162347639060669,0.0726040713852512
"GSE301119","CRISPRi","D2","LDLR",TRUE,3,43,90,759,-0.643714143176315,0,0
"GSE301119","CRISPRi","D2","LDLRAD3",TRUE,5,80,90,759,-0.416500875091129,2.73560914288077,1.22340160067027
"GSE301119","CRISPRi","D2","LILRA5",TRUE,5,75,90,759,-0.979015491998276,1.09692325591746,0.490558993266367
"GSE301119","CRISPRi","D2","LILRB4",TRUE,4,64,90,759,-0.538111751827909,0.652825386146046,0.326412693073023
"GSE301119","CRISPRi","D2","LPAR2",TRUE,5,48,90,759,0.567632900086132,2.27383582961737,1.01689029693981
"GSE301119","CRISPRi","D2","LPL",TRUE,5,76,90,759,0.956015506627623,3.83624697964621,1.71562180499344
"GSE301119","CRISPRi","D2","LRP1",TRUE,5,25,90,759,-0.956990146646085,1.1773701105748,0.526535920384341
"GSE301119","CRISPRi","D2","LRP1B",TRUE,4,22,90,759,-0.183247241585229,0,0
"GSE301119","CRISPRi","D2","LRP6",TRUE,5,32,90,759,-0.432564800434802,0,0
"GSE301119","CRISPRi","D2","LRP8",TRUE,5,47,90,759,-0.294674635133915,0,0
"GSE301119","CRISPRi","D2","LRRK2",TRUE,5,61,90,759,-0.905398543055862,2.88869480616459,1.29186359056692
"GSE301119","CRISPRi","D2","LSR",TRUE,5,84,90,759,0.225788487605829,1.28313145713546,0.573833832444648
"GSE301119","CRISPRi","D2","LTBR",TRUE,4,19,90,759,-2.34131501951966,2.58747312822607,1.29373656411303
"GSE301119","CRISPRi","D2","LYVE1",TRUE,5,90,90,759,0,0,0
"GSE301119","CRISPRi","D2","LYZ",TRUE,5,59,90,759,-1.5552842934037,0.914657628163755,0.409047326542576
"GSE301119","CRISPRi","D2","MERTK",TRUE,5,78,90,759,0.232224707212441,1.09040329003287,0.487643175880582
"GSE301119","CRISPRi","D2","MMP9",TRUE,5,33,90,759,-0.137135970561395,0.845303065764061,0.378031023327483
"GSE301119","CRISPRi","D2","MRC1",TRUE,4,28,90,759,-3.23259132447506,3.01078067709024,1.50539033854512
"GSE301119","CRISPRi","D2","MRC2",TRUE,5,52,90,759,-0.70905740427971,3.20632204248259,1.43391080894941
"GSE301119","CRISPRi","D2","MS4A4A",TRUE,5,38,90,759,-4.6713527121271,3.21541986660881,1.43797947958812
"GSE301119","CRISPRi","D2","MS4A6A",TRUE,4,39,90,759,-1.88802474435203,1.51728033171487,0.758640165857437
"GSE301119","CRISPRi","D2","NFATC1",TRUE,5,32,90,759,-0.300492858783452,2.59596828378478,1.16095230999525
"GSE301119","CRISPRi","D2","NFATC2",TRUE,5,26,90,759,1.00611261235677,2.71217269595319,1.21292050297404
"GSE301119","CRISPRi","D2","NLRC4",TRUE,5,61,90,759,-2.03288256652307,1.89717606725968,0.848442930335672
"GSE301119","CRISPRi","D2","NLRP3",TRUE,5,46,90,759,-1.31828100824359,2.49069281365221,1.11387168847931
"GSE301119","CRISPRi","D2","NPC2",TRUE,5,78,90,759,-0.27256724959294,0.257198847797344,0.115022821481897
"GSE301119","CRISPRi","D2","NRP1",TRUE,4,43,90,759,0.463537483885164,0.262616291607742,0.131308145803871
"GSE301119","CRISPRi","D2","NRP2",TRUE,5,92,90,759,0.0781672672982641,1.05990182658945,0.47400250674604
"GSE301119","CRISPRi","D2","OLR1",TRUE,5,39,90,759,0.132170036223762,3.01494752249774,1.3483255217799
"GSE301119","CRISPRi","D2","P2RY12",TRUE,5,43,90,759,-0.056060268411349,0,0
"GSE301119","CRISPRi","D2","P2RY13",TRUE,3,28,90,759,-0.268341166465227,0,0
"GSE301119","CRISPRi","D2","P2RY6",TRUE,5,39,90,759,-4.37458740934476,3.04254276194514,1.36066648803186
"GSE301119","CRISPRi","D2","PILRA",TRUE,5,41,90,759,-1.25473017538012,1.32902055020102,0.59435605874873
"GSE301119","CRISPRi","D2","PILRB",TRUE,5,29,90,759,0.794291521302711,2.45408650535655,1.09750084972843
"GSE301119","CRISPRi","D2","PLAUR",TRUE,5,77,90,759,0.243631023407992,0.202076237171076,0.090371240590379
"GSE301119","CRISPRi","D2","PLCB3",TRUE,5,87,90,759,-0.697040674208598,1.86561284097074,0.834327426421417
"GSE301119","CRISPRi","D2","PLCG2",TRUE,5,33,90,759,-1.00442048316491,2.81368750341087,1.25831930501368
"GSE301119","CRISPRi","D2","PLEK",TRUE,5,48,90,759,-2.159880043317,3.06339310553762,1.36999104515726
"GSE301119","CRISPRi","D2","PTPRC",TRUE,5,36,90,759,-2.83854949992089,3.6278497269168,1.622423720308
"GSE301119","CRISPRi","D2","PTPRE",TRUE,4,31,90,759,0.375376867345302,0.430668146637517,0.215334073318759
"GSE301119","CRISPRi","D2","RPL11",TRUE,5,41,90,759,-2.65451345878693,4.14415989631722,1.85332464755876
"GSE301119","CRISPRi","D2","RPL7",TRUE,5,45,90,759,-0.194692883540242,1.0487777575883,0.469027671851445
"GSE301119","CRISPRi","D2","RYR1",TRUE,3,60,90,759,-0.0485054613087858,0,0
"GSE301119","CRISPRi","D2","S100A4",TRUE,3,18,90,759,-3.00889778812075,0.619197544759337,0.357493869148358
"GSE301119","CRISPRi","D2","SCARB1",TRUE,5,36,90,759,-0.967830572149253,2.79596036821641,1.25039148914545
"GSE301119","CRISPRi","D2","SCIMP",TRUE,5,37,90,759,-2.90898021431227,2.3196377291651,1.03737352911728
"GSE301119","CRISPRi","D2","SELL",TRUE,5,75,90,759,-0.15359083980324,2.2293688821929,0.997004073501208
"GSE301119","CRISPRi","D2","SELPLG",TRUE,5,28,90,759,-1.38599879451034,0,0
"GSE301119","CRISPRi","D2","SERPINA1",TRUE,5,53,90,759,-0.743799864368582,0,0
"GSE301119","CRISPRi","D2","SIGLEC5",TRUE,5,42,90,759,0.564854209671104,2.48907948729577,1.11315018699874
"GSE301119","CRISPRi","D2","SIGLEC7",TRUE,5,57,90,759,-0.479374625622621,2.4726672426113,1.10581040804317
"GSE301119","CRISPRi","D2","SIGLEC9",TRUE,5,61,90,759,0.0872195992465962,0.759699215338255,0.339747817589918
"GSE301119","CRISPRi","D2","SIRPA",TRUE,5,42,90,759,-1.15434590702177,3.26512109170325,1.46020654316336
"GSE301119","CRISPRi","D2","SIRPB1",TRUE,5,36,90,759,-2.4430916281238,0,0
"GSE301119","CRISPRi","D2","SLC16A5",TRUE,5,48,90,759,-0.334942557888872,1.62549151821025,0.72694190631349
"GSE301119","CRISPRi","D2","SLC24A4",TRUE,4,39,90,759,0.018622369946465,1.81887927992385,0.909439639961924
"GSE301119","CRISPRi","D2","SLC52A1",TRUE,3,16,90,759,-0.0487897934405077,0,0
"GSE301119","CRISPRi","D2","SNCA",TRUE,4,26,90,759,0.771324358566364,2.49708631928372,1.24854315964186
"GSE301119","CRISPRi","D2","SORL1",TRUE,5,54,90,759,-0.092402748852756,1.95649908839929,0.874972991915438
"GSE301119","CRISPRi","D2","SPI1",TRUE,4,33,90,759,-1.04730410683971,0.621996761170789,0.310998380585395
"GSE301119","CRISPRi","D2","SPP1",TRUE,5,70,90,759,-0.175791055265349,0.86759054002368,0.38799828482574
"GSE301119","CRISPRi","D2","SQSTM1",TRUE,5,41,90,759,-0.937602002016828,1.04868980980558,0.468988340407321
"GSE301119","CRISPRi","D2","SUCNR1",TRUE,5,39,90,759,-1.00519838165103,1.60947336892892,0.719778372180134
"GSE301119","CRISPRi","D2","SYK",TRUE,4,4,90,759,-4.00367501788848,4.19071133130822,2.09535566565411
"GSE301119","CRISPRi","D2","TARDBP",TRUE,4,54,90,759,1.32249815761107,0.985495437307552,0.492747718653776
"GSE301119","CRISPRi","D2","TGFB1",TRUE,4,35,90,759,-3.19388878583747,2.68643446898813,1.34321723449407
"GSE301119","CRISPRi","D2","TGFBI",TRUE,5,89,90,759,-2.71602052348148,4.06822180566553,1.81936410100301
"GSE301119","CRISPRi","D2","TGFBR1",TRUE,5,68,90,759,0.646329125859997,1.00813604851629,0.450852147010091
"GSE301119","CRISPRi","D2","TGFBR2",TRUE,5,39,90,759,0.120824662765396,1.2457122580059,0.55709945786119
"GSE301119","CRISPRi","D2","TGFBR3",TRUE,4,26,90,759,-0.144907447860443,0,0
"GSE301119","CRISPRi","D2","TLR10",TRUE,5,52,90,759,-0.309152673384438,0,0
"GSE301119","CRISPRi","D2","TLR2",TRUE,5,59,90,759,-0.365828050981337,2.63020733164947,1.17626447769731
"GSE301119","CRISPRi","D2","TLR4",TRUE,4,67,90,759,-2.00045813510147,2.87819776771099,1.43909888385549
"GSE301119","CRISPRi","D2","TLR5",TRUE,4,45,90,759,-0.214020964133641,1.99236296202628,0.996181481013138
"GSE301119","CRISPRi","D2","TLR7",TRUE,5,26,90,759,-0.00491519700039795,2.20259989516634,0.985032618565169
"GSE301119","CRISPRi","D2","TMEM106A",TRUE,5,36,90,759,-3.58942012064474,2.55500202433981,1.14263164181468
"GSE301119","CRISPRi","D2","TMEM106B",TRUE,5,35,90,759,0.507232398555119,2.74422276169078,1.22725372810856
"GSE301119","CRISPRi","D2","TNFRSF10B",TRUE,5,38,90,759,-2.36041160495394,2.6362304401144,1.17895809369
"GSE301119","CRISPRi","D2","TNFRSF13C",TRUE,4,38,90,759,-0.0462423262682782,0,0
"GSE301119","CRISPRi","D2","TNFRSF1A",TRUE,3,17,90,759,-2.28845847901032,2.95632965982853,1.70683772491528
"GSE301119","CRISPRi","D2","TREM1",TRUE,5,30,90,759,0.248718435081528,1.94480920334371,0.869745116388751
"GSE301119","CRISPRi","D2","TREM2",TRUE,3,23,90,759,-2.88976790562196,3.65724824147825,2.11151325671075
"GSE301119","CRISPRi","D2","TREML2",TRUE,4,18,90,759,-0.0243346732332708,0,0
"GSE301119","CRISPRi","D2","TREML4",TRUE,4,26,90,759,0,0,0
"GSE301119","CRISPRi","D2","TYRO3",TRUE,4,37,90,759,-0.0190554432975267,0,0
"GSE301119","CRISPRi","D2","TYROBP",TRUE,5,51,90,759,-1.39444792732674,0.779658706508233,0.348673973400393
"GSE301119","CRISPRi","D2","UNC13D",TRUE,5,48,90,759,-1.86068585796241,2.06272369615643,0.922478080681079
"GSE301119","CRISPRi","D2","VCP",TRUE,5,52,90,759,-1.51610564326591,2.48377958572731,1.11077999896251
"GSE301119","CRISPRi","D2","VDR",TRUE,5,72,90,759,0.551808932344852,1.74939422452658,0.782352881097392
"GSE301119","CRISPRi","D2","VENTX",TRUE,4,26,90,759,-0.154299836501821,0,0
"GSE301119","CRISPRi","D2","VLDLR",TRUE,5,67,90,759,0,0,0
