status,operator_family,matrix_id,frozen_assay_measured_addresses,scalar_materializable_addresses,collision_unresolved_addresses,structurally_unmeasured_addresses,fraction_measured_support_scalar_materializable,train_cells
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,18736,18736,0,22502,1.0,4813
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,18736,18736,0,22502,1.0,9108
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,18736,18736,0,22502,1.0,13607
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,18736,18736,0,22502,1.0,6706
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,18736,18736,0,22502,1.0,25497
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,18736,18736,0,22502,1.0,3207
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,18736,18736,0,22502,1.0,28313
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,18736,18736,0,22502,1.0,23337
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::e813d04b-7833-4b02-b14f-0247d6128516,18736,18736,0,22502,1.0,1491
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,HVS,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,18736,18736,0,22502,1.0,508
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,NPH52,NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,32977,32447,530,8261,0.9839281923765049,24122
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,NPH52,NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,30760,30296,464,10478,0.9849154746423927,5710
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,NPH52,NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,34969,34407,562,6269,0.9839286224942092,54772
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,NPH52,NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,33744,33207,537,7494,0.9840860597439545,22386
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,NPH52,NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,31621,31133,488,9617,0.9845672179880459,19375
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,NPH52,NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,31893,31401,492,9345,0.9845734173643119,11081
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,NPH52,NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,34078,33526,552,7160,0.9838018663067082,150670
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_ang_rna_final_2026,35786,35076,710,5452,0.9801598390432013,217235
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_caudate_rna_all_2025,35786,35076,710,5452,0.9801598390432013,828707
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_fi_rna_final_2026,35786,35076,710,5452,0.9801598390432013,223794
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_hip_rna_final_2026,35786,35076,710,5452,0.9801598390432013,180143
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_itg_rna_final_2026,35786,35076,710,5452,0.9801598390432013,345323
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_lec_rna_final_2026,35786,35076,710,5452,0.9801598390432013,151580
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_mec_rna_final_2026,35786,35076,710,5452,0.9801598390432013,767832
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_mtg_rna_final_2026,35786,35076,710,5452,0.9801598390432013,933272
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_pfc_a9_rna_final_2026,35786,35076,710,5452,0.9801598390432013,1099612
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_stg_rna_final_2026,35786,35076,710,5452,0.9801598390432013,473379
SCALAR_OBSERVABILITY_CLOSURE_HUMAN_REVIEW,SEA_AD,sea_ad_v1c_rna_final_2026,35786,35076,710,5452,0.9801598390432013,556976
