dataset_id,canonical_mapping_file,mapping_status,feature_order_sha256,mapping_policy,future_vocabulary_projection_status
sea_ad_hip_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_itg_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_lec_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_mec_merscope_combined_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_2fc47c775e9817da.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,2fc47c775e9817dae75f49014271191621fca97cf826acf2edc9f8a61dddfe07,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_mec_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_mtg_atac_final_2024,not_available,non_gene_peak_namespace_not_expression_vocabulary,unresolved,exact_source_symbol_or_exact_source_ensembl_only,blocked_or_not_applicable
sea_ad_mtg_merfish_combined_2024,data/processed/v4/pre_stage81a2/mappings/feature_universe_3c0204eb5294e1f5.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,3c0204eb5294e1f5636983916562b6b583681bf7c2cd136fa303c5203fa6901b,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_mtg_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_multiregion_immune_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_pfc_a9_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_stg_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
sea_ad_v1c_rna_final_2026,data/processed/v4/pre_stage81a2/mappings/feature_universe_a7391464dbde2f15.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
siletti_hbca_all_non_neuronal,data/processed/v4/pre_stage81a2/mappings/feature_universe_7fd3318c7a9e8b4a.csv.gz,exact_sidecar_ready_with_unresolved_identifiers_recorded,7fd3318c7a9e8b4ad2aae8584ede3aab3b679665c247d44bc6dd96b3c4654cb9,exact_source_symbol_or_exact_source_ensembl_only,candidate_not_frozen
