previous_canonical_ensembl_id,authoritative_canonical_ensembl_id,frozen_vocabulary_indices,frozen_symbols,affected_source_row_count,source_datasets,source_objects,source_feature_indices,source_feature_ids,source_symbols,source_exact_ensembl_ids,identity_change_classification,history_transition_types,one_to_one_identity_continuity,human_a2r_decision_required,supporting_source_chromosomes,supporting_source_biotypes,supporting_ncbi_gene_ids,ensembl_history_replacements,frozen_artifact_modified,required_action,protected_identity_decision,protected_identity_evidence,remaining_human_blocker
ENSG00000260059,ENSG00000144228,2995,SPOPL,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,850|941|1012|1098|1267|1354|20304,1012|1098|1267|1354|20304|850|941,AC092620.2,ENSG00000241772,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,2,3prime_overlapping_ncRNA,NA,ENSG00000144228,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000266957,ENSG00000167220,3402,HDHD2,1,SEA_AD_COMMON,SEA_AD_COMMON,30393,30393,AC012254.1,ENSG00000266957,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000167220,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000267637,ENSG00000062716,914,VMP1,1,SEA_AD_COMMON,SEA_AD_COMMON,30754,30754,AC040904.1,ENSG00000267637,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000062716,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000270154,ENSG00000227888,3707,FAM66A,1,SEA_AD_COMMON,SEA_AD_COMMON,31367,31367,AC130352.1,ENSG00000270154,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000227888,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000272137,ENSG00000198478,3072,SH3BGRL2,1,SEA_AD_COMMON,SEA_AD_COMMON,31758,31758,AL451064.1,ENSG00000272137,SOURCE_EXACT_AMBIGUOUS_HISTORY,ambiguous_or_merge_signal,False,True,,,,ENSG00000198478,False,HUMAN_A2R_IDENTITY_REVIEW,HUMAN_A2R_IDENTITY_REVIEW,prior Stage81A2R evidence unchanged,True
ENSG00000273032,,2502,DGCR5,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,4905|5857|6040|6455|6830|7305|7645,4905|5857|6040|6455|6830|7305|7645,DGCR5,ENSG00000283406,SOURCE_EXACT_NONPRIMARY_ENSEMBL_SAME_GENE,,False,False,22,processed_transcript,26220,,False,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,exact source ENSG00000283406 is a distinct source Ensembl representation that shares NCBI Gene 26220 with frozen HGNC canonical ENSG00000273032,False
ENSG00000273363,ENSG00000224812,3727,TMEM72-AS1,1,SEA_AD_COMMON,SEA_AD_COMMON,32316,32316,AL353801.3,ENSG00000273363,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000224812,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000275066,,1834,SYNRG,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,17574|21057|21890|23208|24700|26651|27960,17574|21057|21890|23208|24700|26651|27960,SYNRG,ENSG00000274047,SOURCE_EXACT_ALT_LOCUS_SAME_GENE,,False,False,CHR_HSCHR17_7_CTG4,protein_coding,11276,,False,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,exact source ENSG00000274047 lies on an alternate contig and shares NCBI Gene 11276 with frozen HGNC canonical ENSG00000275066,False
ENSG00000275700,,3854,AATF,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,22|26|28|29|31|32,22|26|28|29|31|32,AATF,ENSG00000276072,SOURCE_EXACT_ALT_LOCUS_SAME_GENE,,False,False,CHR_HSCHR17_7_CTG4,protein_coding,26574,,False,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,exact source ENSG00000276072 lies on an alternate contig and shares NCBI Gene 26574 with frozen HGNC canonical ENSG00000275700,False
ENSG00000275835,,3476,TUBGCP5,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,18764|22334|23169|24532|26082|28082|29410,18764|22334|23169|24532|26082|28082|29410,TUBGCP5,ENSG00000276856,SOURCE_EXACT_ALT_LOCUS_SAME_GENE,,False,False,CHR_HSCHR15_1_CTG3,protein_coding,114791,,False,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,KEEP_FROZEN_ALT_LOCUS_SOURCE_ALIAS,exact source ENSG00000276856 lies on an alternate contig and shares NCBI Gene 114791 with frozen HGNC canonical ENSG00000275835,False
ENSG00000280710,ENSG00000125304,2260,TM9SF2,1,SEA_AD_COMMON,SEA_AD_COMMON,33623,33623,AL139035.1,ENSG00000280710,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000125304,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000284930,ENSG00000133961,584,NUMB,1,SEA_AD_COMMON,SEA_AD_COMMON,34157,34157,AC005280.2,ENSG00000284930,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000133961,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000285922,ENSG00000225206,3894,MIR137HG,1,SEA_AD_COMMON,SEA_AD_COMMON,34567,34567,AC104453.1,ENSG00000285922,HISTORICAL_ID_SAME_GENE,one_to_one_stable_continuation,True,False,,,,ENSG00000225206,False,REVIEW_CONTINUITY_EVIDENCE,REVIEW_CONTINUITY_EVIDENCE,prior Stage81A2R evidence unchanged,False
ENSG00000287811,ENSG00000198478,3072,SH3BGRL2,1,SEA_AD_COMMON,SEA_AD_COMMON,36297,36297,AL391840.3,ENSG00000287811,SOURCE_EXACT_AMBIGUOUS_HISTORY,ambiguous_or_merge_signal,False,True,,,,ENSG00000198478,False,HUMAN_A2R_IDENTITY_REVIEW,HUMAN_A2R_IDENTITY_REVIEW,prior Stage81A2R evidence unchanged,True
ENSG00000288302,ENSG00000225746,3134,MEG8,7,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs|NPH52::Endo_data_arranged_updatedId_final_batches.qs|NPH52::ExN_data_arranged_updatedId_final_batches.qs|NPH52::InN_data_arranged_updatedId_final_batches.qs|NPH52::MG_data_arranged_updatedId_final_batches.qs|NPH52::OPC_data_arranged_updatedId_final_batches.qs|NPH52::Oligo_data_arranged_updatedId_final_batches.qs,1085|1451|1573|1689|1849|2083|2223,1085|1451|1573|1689|1849|2083|2223,AL132709.8,,GENUINE_CANONICAL_ID_CORRECTION,,False,True,,,NULL,,False,HUMAN_A2R_IDENTITY_REVIEW,HUMAN_A2R_IDENTITY_REVIEW,prior Stage81A2R evidence unchanged,True
