dataset_id,duplicates_left,duplicates_right,fraction_molecular_matched,fraction_spatial_matched,n_exact_matches,n_molecular_entities,n_spatial_entities,pairing_class,sample_id
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-335_A1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-335_B1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-335_C1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-335_D1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-336_A1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-336_B1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-336_C1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11L05-336_D1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11U08-081_A1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11U08-081_B1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11U08-081_C1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11U08-081_D1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11U08-084_A1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11U08-084_B1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11U08-084_C1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V11U08-084_D1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V12F14-051_A1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V12F14-051_B1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V12F14-051_C1
GSE264692,,,1.0,1.0,,,,SAME_ENTITY_EXACT,V12F14-051_D1
GSE278848,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8555878
GSE278848,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8555879
GSE278848,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8555880
GSE278848,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8555881
GSE278848,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8555882
GSE278848,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8555883
GSE278848,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8555884
GSE278848,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8555885
GSE278848,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8555886
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594572
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594573
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594574
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594575
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594576
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594577
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594578
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594579
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594580
GSE280316,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM8594581
GSE280460,0,0,1.0,1.0,69885,69885,69885,SAME_ENTITY_EXACT,GSM8598169
GSE280460,0,0,1.0,1.0,70590,70590,70590,SAME_ENTITY_EXACT,GSM8598170
GSE280460,0,0,1.0,1.0,74671,74671,74671,SAME_ENTITY_EXACT,GSM8598171
GSE280460,0,0,1.0,1.0,74033,74033,74033,SAME_ENTITY_EXACT,GSM8598172
GSE280460,0,0,1.0,1.0,60612,60612,60612,SAME_ENTITY_EXACT,GSM8598173
GSE280460,0,0,1.0,1.0,52690,52690,52690,SAME_ENTITY_EXACT,GSM8598174
GSE280460,0,0,1.0,1.0,65932,65932,65932,SAME_ENTITY_EXACT,GSM8598175
GSE280460,0,0,1.0,1.0,52814,52814,52814,SAME_ENTITY_EXACT,GSM8598176
GSE280460,0,0,1.0,1.0,102257,102257,102257,SAME_ENTITY_EXACT,GSM8598177
GSE280460,0,0,1.0,1.0,97499,97499,97499,SAME_ENTITY_EXACT,GSM8598178
GSE280460,0,0,1.0,1.0,72990,72990,72990,SAME_ENTITY_EXACT,GSM8598179
GSE280460,0,0,1.0,1.0,62832,62832,62832,SAME_ENTITY_EXACT,GSM8598180
GSE280460,0,0,1.0,1.0,55903,55903,55903,SAME_ENTITY_EXACT,GSM8598181
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227428
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227429
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227430
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227431
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227432
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227433
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227434
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227435
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227436
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227437
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227438
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227439
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227440
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227441
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227442
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227443
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227444
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227445
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227446
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227447
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227448
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227449
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227450
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227451
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227452
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227453
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227454
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227455
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227456
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227457
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227458
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227459
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227460
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227461
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227462
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227463
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227464
GSE307586,,,1.0,1.0,,,,SAME_ENTITY_EXACT,GSM9227465
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227466
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227467
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227468
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227469
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227470
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227471
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227472
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227473
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227474
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227475
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227476
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227477
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227478
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227479
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227480
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227481
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227482
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227483
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227484
GSE307587,,,,,,,,REFERENCE_ONLY,GSM9227485
GSE325489,0,0,1.0,1.0,172722,172722,172722,SAME_ENTITY_EXACT,GSM9604821
GSE325489,0,0,1.0,1.0,228127,228127,228127,SAME_ENTITY_EXACT,GSM9604822
GSE325489,0,0,1.0,1.0,195980,195980,195980,SAME_ENTITY_EXACT,GSM9604823
GSE325489,0,0,1.0,1.0,188503,188503,188503,SAME_ENTITY_EXACT,GSM9604824
HPA_Zhong_PFC_RNA,,,,,,,,REFERENCE_ONLY,dataset_level
HPA_human_brain_StereoSeq,,,,,,,,REFERENCE_ONLY,dataset_level
HPA_regional_human_brain_RNA,,,,,,,,REFERENCE_ONLY,dataset_level
SCP2167,0,0,0.28697493822802683,0.9995082370297517,4065,14165,4067,SAME_ENTITY_EXACT,dataset_level
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,3044,3044,3044,SAME_ENTITY_EXACT,H18.06.006.MTG.4000.expand.rep1
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,4045,4045,4045,SAME_ENTITY_EXACT,H18.06.006.MTG.4000.expand.rep2
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,3970,3970,3970,SAME_ENTITY_EXACT,H18.06.006.MTG.4000.expand.rep3
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,4835,4835,4835,SAME_ENTITY_EXACT,H19.30.001.STG.4000.expand.rep1
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,5610,5610,5610,SAME_ENTITY_EXACT,H19.30.001.STG.4000.expand.rep2
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,6135,6135,6135,SAME_ENTITY_EXACT,H20.30.001.STG.4000.expand.rep1
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,4871,4871,4871,SAME_ENTITY_EXACT,H20.30.001.STG.4000.expand.rep2
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,3918,3918,3918,SAME_ENTITY_EXACT,H20.30.001.STG.4000.expand.rep3
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,4321,4321,4321,SAME_ENTITY_EXACT,H22.26.401.MTG.4000.expand.rep1
doi:10.5061/dryad.x3ffbg7mw,0,0,1.0,1.0,3512,3512,3512,SAME_ENTITY_EXACT,H22.26.401.MTG.4000.expand.rep2
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br2720_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br2720_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br2720_post
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br2743_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br2743_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br2743_post
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br3942_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br3942_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br3942_post
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6423_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6423_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6423_post
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6432_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6432_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6432_post
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6471_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6471_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6471_post
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6522_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6522_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br6522_post
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br8325_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br8325_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br8325_post
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br8492_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br8492_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br8492_post
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br8667_ant
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br8667_mid
spatialDLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,Br8667_post
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151507
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151508
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151509
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151510
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151669
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151670
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151671
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151672
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151673
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151674
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151675
spatialLIBD_classic_DLPFC,,,1.0,1.0,,,,SAME_ENTITY_EXACT,151676
