classification_evidence,dataset_id,direct_measurement,measured_zero_distinct_from_structurally_unmeasured,measurement_semantics,sample_id
direct/analysis-ready count-bearing asset acquired,GSE248545,true,true,RAW_SPOT_UMI_COUNT,GSM7916581
direct/analysis-ready count-bearing asset acquired,GSE248545,true,true,RAW_SPOT_UMI_COUNT,GSM7916582
direct/analysis-ready count-bearing asset acquired,GSE248545,true,true,RAW_SPOT_UMI_COUNT,GSM7916583
direct/analysis-ready count-bearing asset acquired,GSE248545,true,true,RAW_SPOT_UMI_COUNT,GSM7916584
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224155
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224156
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224157
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224158
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224159
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224160
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224161
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224162
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224163
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224164
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224165
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224166
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224167
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224168
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224169
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224170
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224171
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224172
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224173
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224174
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224175
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224176
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224177
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224178
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224179
direct/analysis-ready count-bearing asset acquired,GSE264624,false,true,PROCESSED_COUNT_LIKE,GSM8224180
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V10B01-085_A1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V10B01-085_B1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V10B01-085_C1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V10B01-085_D1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V10B01-086_A1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V10B01-086_B1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V10B01-086_C1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V10B01-086_D1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11A20-297_A1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11A20-297_B1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11A20-297_C1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11A20-297_D1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-333_A1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-333_B1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-333_C1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-333_D1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-335_A1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-335_B1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-335_C1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-335_D1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-336_A1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-336_B1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-336_C1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11L05-336_D1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11U08-081_A1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11U08-081_B1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11U08-081_C1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11U08-081_D1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11U08-084_A1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11U08-084_B1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11U08-084_C1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V11U08-084_D1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V12F14-051_A1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V12F14-051_B1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V12F14-051_C1
direct/analysis-ready count-bearing asset acquired,GSE264692,true,true,RAW_SPOT_UMI_COUNT,V12F14-051_D1
direct/analysis-ready count-bearing asset acquired,GSE278848,true,true,RAW_SPOT_UMI_COUNT,GSM8555878
direct/analysis-ready count-bearing asset acquired,GSE278848,true,true,RAW_SPOT_UMI_COUNT,GSM8555879
direct/analysis-ready count-bearing asset acquired,GSE278848,true,true,RAW_SPOT_UMI_COUNT,GSM8555880
direct/analysis-ready count-bearing asset acquired,GSE278848,true,true,RAW_SPOT_UMI_COUNT,GSM8555881
direct/analysis-ready count-bearing asset acquired,GSE278848,true,true,RAW_SPOT_UMI_COUNT,GSM8555882
direct/analysis-ready count-bearing asset acquired,GSE278848,true,true,RAW_SPOT_UMI_COUNT,GSM8555883
direct/analysis-ready count-bearing asset acquired,GSE278848,true,true,RAW_SPOT_UMI_COUNT,GSM8555884
direct/analysis-ready count-bearing asset acquired,GSE278848,true,true,RAW_SPOT_UMI_COUNT,GSM8555885
direct/analysis-ready count-bearing asset acquired,GSE278848,true,true,RAW_SPOT_UMI_COUNT,GSM8555886
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594572
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594573
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594574
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594575
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594576
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594577
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594578
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594579
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594580
direct/analysis-ready count-bearing asset acquired,GSE280316,true,true,RAW_SPOT_UMI_COUNT,GSM8594581
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598169
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598170
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598171
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598172
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598173
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598174
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598175
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598176
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598177
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598178
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598179
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598180
direct/analysis-ready count-bearing asset acquired,GSE280460,true,true,RAW_FEATURE_COUNT,GSM8598181
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227428
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227429
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227430
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227431
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227432
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227433
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227434
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227435
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227436
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227437
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227438
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227439
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227440
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227441
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227442
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227443
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227444
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227445
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227446
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227447
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227448
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227449
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227450
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227451
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227452
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227453
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227454
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227455
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227456
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227457
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227458
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227459
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227460
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227461
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227462
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227463
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227464
direct/analysis-ready count-bearing asset acquired,GSE307586,true,true,RAW_SPOT_UMI_COUNT,GSM9227465
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227466
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227467
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227468
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227469
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227470
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227471
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227472
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227473
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227474
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227475
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227476
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227477
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227478
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227479
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227480
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227481
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227482
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227483
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227484
direct/analysis-ready count-bearing asset acquired,GSE307587,false,true,PROCESSED_COUNT_LIKE,GSM9227485
direct/analysis-ready count-bearing asset acquired,GSE325489,true,true,RAW_FEATURE_COUNT,GSM9604821
direct/analysis-ready count-bearing asset acquired,GSE325489,true,true,RAW_FEATURE_COUNT,GSM9604822
direct/analysis-ready count-bearing asset acquired,GSE325489,true,true,RAW_FEATURE_COUNT,GSM9604823
direct/analysis-ready count-bearing asset acquired,GSE325489,true,true,RAW_FEATURE_COUNT,GSM9604824
public processed or analysis-ready files; compressed archives preserved,HPA_Zhong_PFC_RNA,false,true,ESTIMATED_COUNT,dataset_level
RAW_SOURCE_UNRESOLVED,HPA_human_brain_StereoSeq,false,true,ESTIMATED_COUNT,dataset_level
public processed or analysis-ready files; compressed archives preserved,HPA_regional_human_brain_RNA,false,true,ESTIMATED_COUNT,dataset_level
public processed or analysis-ready files; compressed archives preserved,SCP2167,true,true,RAW_UMI_COUNT,dataset_level
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H18.06.006.MTG.4000.expand.rep1
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H18.06.006.MTG.4000.expand.rep2
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H18.06.006.MTG.4000.expand.rep3
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H19.30.001.STG.4000.expand.rep1
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H19.30.001.STG.4000.expand.rep2
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H20.30.001.STG.4000.expand.rep1
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H20.30.001.STG.4000.expand.rep2
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H20.30.001.STG.4000.expand.rep3
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H22.26.401.MTG.4000.expand.rep1
"sparse nonzero RNA copy counts in cell-by-gene triplet matrices, as documented by the source README",doi:10.5061/dryad.x3ffbg7mw,true,true,DIRECT_MOLECULE_COUNT,H22.26.401.MTG.4000.expand.rep2
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br2720_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br2720_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br2720_post
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br2743_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br2743_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br2743_post
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br3942_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br3942_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br3942_post
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6423_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6423_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6423_post
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6432_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6432_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6432_post
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6471_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6471_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6471_post
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6522_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6522_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br6522_post
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br8325_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br8325_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br8325_post
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br8492_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br8492_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br8492_post
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br8667_ant
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br8667_mid
direct/analysis-ready count-bearing asset acquired,spatialDLPFC,true,true,RAW_SPOT_UMI_COUNT,Br8667_post
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151507
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151508
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151509
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151510
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151669
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151670
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151671
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151672
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151673
direct/analysis-ready count-bearing asset acquired,spatialLIBD_classic_DLPFC,true,true,RAW_SPOT_UMI_COUNT,151674
