accession,asset_id,archive_path,member_path,member_type,raw_sequencing_member
GSE254205,gse254205_fca1d393501d,data/external/v4/perturbation/GSE254205/GSE254205_iMG_AB_GNE_treatment_RNA_Seq.tar.gz,unsorted_iMG_RNA_seq_readcounts/NT_rep3ReadsPerGene.out.tab,.tab,False
GSE293118,gse293118_1d15aff2e5fa,data/external/v4/perturbation/GSE293118/GSE293118_RAW.tar,GSM8876719_barcodes.tsv.gz,.gz,False
GSE293118,gse293118_1d15aff2e5fa,data/external/v4/perturbation/GSE293118/GSE293118_RAW.tar,GSM8876719_features.tsv.gz,.gz,False
GSE293118,gse293118_1d15aff2e5fa,data/external/v4/perturbation/GSE293118/GSE293118_RAW.tar,GSM8876719_matrix.mtx.gz,.gz,False
GSE293118,gse293118_1d15aff2e5fa,data/external/v4/perturbation/GSE293118/GSE293118_RAW.tar,GSM8876720_protospacer_calls_per_cell.csv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324129_S1_barcodes.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324129_S1_features.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324129_S1_matrix.mtx.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324130_S2_barcodes.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324130_S2_features.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324130_S2_matrix.mtx.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324131_S3_barcodes.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324131_S3_features.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324131_S3_matrix.mtx.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324132_S4_barcodes.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324132_S4_features.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324132_S4_matrix.mtx.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324133_S5_barcodes.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324133_S5_features.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324133_S5_matrix.mtx.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324134_S6_barcodes.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324134_S6_features.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324134_S6_matrix.mtx.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324135_S7_barcodes.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324135_S7_features.tsv.gz,.gz,False
GSE311359,gse311359_7d3438f8c8db,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,GSM9324135_S7_matrix.mtx.gz,.gz,False
