cell_id_hash,donor_id_hash,broad_family,annotation,dataset_id,matrix_id,technology,region,global_audit_frequency,within_family_audit_frequency,rna_local_isolation,ledger_local_isolation,pca_local_isolation,rep_local_isolation,rna_rare,ledger_rare,pca_rare,rep_rare,agreement_category,data_defined_candidate_only
a07e02929f65ad2b2886fb3bda948ff2e56449bd6e937d4b2d8869dc2bf59875,981c9647f4cffba96dc4da552aac23b8bc800aff6fd9fb4e4edf8eebd53387b9,Excitatory neurons,Neuronal: Glutamatergic,HVS,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.3352023402849833,0.013096061875846554,0.44383653302987414,0.44467749297618864,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
439838a574c7f41d6cfd1ec9e4fbf6b7d286868de8da121303ff9f447d78239c,a3f8b35353f3fc3b673f9a7dcb09069f6322f191273e6ad319d65813b9e7b3a3,Excitatory neurons,Neuronal: Glutamatergic,HVS,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.3323707481225332,0.012644907310898179,0.4821579813957214,0.49449335237344105,False,True,False,False,LEDGER RARE / RNA NOT RARE,True
6d9a2c5d43f481a90c07689709d101491838ced36df24b3c4e24d560428f75b2,7e1a43e5ba39bd905dde56b9ebcce3f3a6115781b45ea3a3b49fa6923946c808,Excitatory neurons,Neuronal: Glutamatergic,HVS,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.3113710502783458,0.011127946475125605,0.6040913850069046,0.6110263168811798,False,False,True,True,PCA RARE ONLY,True
24b20f455e3b0e869064c71f10f2e80c6de0ed02752ab4a9da2d67f8d83f47a2,7f62f99784b14bc73e438761a847e4ef964457f5e8bdda854ff1de93555ce010,Excitatory neurons,Neuronal: Glutamatergic,HVS,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.33490800658861797,0.013006015195845877,0.4798320611317952,0.47628148893515265,False,True,False,False,LEDGER RARE / RNA NOT RARE,True
554da0c59255d952fea885a9a5376b5045ec17aabf0b192c0493c44d122107a4,c264aed2f5b5a233c0bfff401d1eb48abd03f4890f37d8cd0507c47d0927ac60,Excitatory neurons,Neuronal: Glutamatergic,HVS,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.2388481140136719,0.008509772988984587,0.4886488934357961,0.4930446475744248,False,False,True,False,PCA RARE ONLY,True
39bf0dbd6e302a939f3d09b4a6a3b3806a4def5a7fc8760db0e93f0daee617b1,a951392dbccdb95df9047af5f60f6cb824ba072f6182df53d5d39c3fdf45f724,Excitatory neurons,Neuronal: Glutamatergic,HVS,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.2570817669232687,0.009212067636065191,0.5295614173014959,0.5461663136879603,False,False,True,True,PCA RARE ONLY,True
983943dfca40d403c5080a63e83ef97f4afd2433edb605fb7f2f03fa3a1f13cb,eb2c84dd5628f9163218c76ca1b1c0b6db6f087969b8807421c3c0fa9603b251,Excitatory neurons,ExN,NPH52,NPH52_exact_source_objects,snRNA-seq,brain / NOT FURTHER PROVIDED,0.00024993751562109475,0.0009765625,0.386540041367213,0.013720945677778817,0.6214215268691381,0.5838772704203923,True,True,True,True,RNA + LEDGER + PCA RARE,True
9d764c134d1c4654a75ae7774cb84916c70e05e73fa5e50b0043a1a18633a5ec,0fe90f5023fb36c45c8ac68d994b7af8e6b66aabab46dc1e16dadc9dfcbd051f,Excitatory neurons,ExN,NPH52,NPH52_exact_source_objects,snRNA-seq,brain / NOT FURTHER PROVIDED,0.00024993751562109475,0.0009765625,0.32246643900871275,0.01237439879354263,0.5871597498655319,0.5410254766543706,False,False,True,True,PCA RARE ONLY,True
8c43fefc8f247dfab4e8457657098276c8a33c47eea1404bd21e9bf0210417f1,a3f8b35353f3fc3b673f9a7dcb09069f6322f191273e6ad319d65813b9e7b3a3,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.33051638404528305,0.012604155232294412,0.6405737787485123,0.6482809523741404,False,False,True,True,PCA RARE ONLY,True
0b1592cc8223485fe2dfb7a7d108317b28722043748df6237e3249c0a0f26dbb,30f919ad1453ffbfbd8c733050235c1c22a0f2a85817dc8dfbc1cda3f30dac8b,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.2794038792451222,0.00993989849728305,0.5343990196784337,0.5351651897033056,False,False,True,False,PCA RARE ONLY,True
0213ae167a467426434c087f4895b0276d6a1b18aa816d5c4a3721d7a805ea12,2c6f12f68512809d0dd15936ff985ce6d707fb6943086fc5eb939b684393c957,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.4082128405570984,0.014587063887861906,0.5479886343081792,0.5212505320707956,False,False,True,False,PCA RARE ONLY,True
2fdbcf09daa155343fefa9e528d51781abfb87e8b2bbc311eeb7d16e2b6b5df3,18304017f996dea8d94d5b82b883f525047a7803b005dd7f277f42311226469f,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.42509301304817204,0.015287814138039035,0.5088665674130122,0.48565678894519804,False,True,False,False,LEDGER RARE / RNA NOT RARE,True
0897b78ed63f5ae6ef3747328cef61b60ef3634ebf58564c40a2cd8d47562c3e,a951392dbccdb95df9047af5f60f6cb824ba072f6182df53d5d39c3fdf45f724,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.4034623006979624,0.015003126103097064,0.5948298672835033,0.5989474693934123,False,False,True,True,PCA RARE ONLY,True
0087a719a1c936571aed757a59fde1113c5a3b1d4bd622985f962aea51bc017c,42a75c4dd1fc56d65b8e7b84220576d3d1b1ae533d13b9cf82afefa17bacfa08,Inhibitory neurons,Sst ChodlSubclass,sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,Human CaH,0.00024993751562109475,0.0009765625,0.4248081107934316,0.015054214425637258,0.45772036115328474,0.4749433954556783,False,True,False,False,LEDGER RARE / RNA NOT RARE,True
00628fa459fe96c313eae74044101ee416f0158e8aacdadf0874126b7ef06f03,ea393f00d6ffceea8678dc609cd3e9aa761abd63fa879480d6c4a38d7edfc2ec,Inhibitory neurons,CN ST18 GABASubclass,sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,UNKNOWN / NOT PROVIDED,Human CaH,0.00024993751562109475,0.0009765625,0.1970773975054423,0.006582201255147635,0.582610477010409,0.623977308968703,False,False,True,True,PCA RARE ONLY,True
004c7ac3218b2f6e916da2469ee209155ca01ebed8287299fb5a176ee91defa9,a9d964da3618a11dd67d5a744949979e2fb4b322a58488711cab9e9c63f7e4fe,Inhibitory neurons,Neuronal: GABAergic,sea_ad_pfc_a9_rna_final_2026,sea_ad_pfc_a9_rna_final_2026,10Xv3.1,DFC,0.00024993751562109475,0.0009765625,0.49261116186777754,0.016479073234428987,0.4391581535339355,0.4433026234308879,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True
92b166a0245463b87996c735440ac9c49f29c270f0f02aafc94894fb45a57e44,a3f8b35353f3fc3b673f9a7dcb09069f6322f191273e6ad319d65813b9e7b3a3,Inhibitory neurons,Neuronal: GABAergic,HVS,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,10x 3' v3,neocortex,0.00024993751562109475,0.0009765625,0.26891530354817705,0.009638437864843197,0.5646614958842595,0.5752910574277241,False,False,True,True,PCA RARE ONLY,True
