factor,fixture,optimizer_step,r2,representation,seed
30,balanced_multifactor,0,-0.9938871252545349,online_masked_pca160,8114001
31,balanced_multifactor,0,-0.24947991880519083,online_masked_pca160,8114001
0,balanced_multifactor,0,-0.05097489776450259,predictor_flattened,8114001
1,balanced_multifactor,0,-0.15900182472830449,predictor_flattened,8114001
2,balanced_multifactor,0,0.03674713429387144,predictor_flattened,8114001
3,balanced_multifactor,0,-0.0006994130137294441,predictor_flattened,8114001
4,balanced_multifactor,0,-0.2548085421431536,predictor_flattened,8114001
5,balanced_multifactor,0,0.09525660185350371,predictor_flattened,8114001
6,balanced_multifactor,0,-0.16108209308326948,predictor_flattened,8114001
7,balanced_multifactor,0,-0.08542319122073994,predictor_flattened,8114001
8,balanced_multifactor,0,-0.14741230792053384,predictor_flattened,8114001
9,balanced_multifactor,0,-0.09319692831469273,predictor_flattened,8114001
10,balanced_multifactor,0,-0.09114578827682829,predictor_flattened,8114001
11,balanced_multifactor,0,-0.25651774980189734,predictor_flattened,8114001
12,balanced_multifactor,0,0.00852606125988875,predictor_flattened,8114001
13,balanced_multifactor,0,-0.07263153551831403,predictor_flattened,8114001
14,balanced_multifactor,0,-0.2493346873249067,predictor_flattened,8114001
15,balanced_multifactor,0,-0.08250689109347853,predictor_flattened,8114001
16,balanced_multifactor,0,-0.19402152981824772,predictor_flattened,8114001
17,balanced_multifactor,0,-0.002675485637003483,predictor_flattened,8114001
18,balanced_multifactor,0,-0.0919451573993526,predictor_flattened,8114001
19,balanced_multifactor,0,-0.11448348486447513,predictor_flattened,8114001
20,balanced_multifactor,0,0.05160641534267496,predictor_flattened,8114001
21,balanced_multifactor,0,-0.11389141519955048,predictor_flattened,8114001
22,balanced_multifactor,0,-0.04596290930751734,predictor_flattened,8114001
23,balanced_multifactor,0,0.0019654024318844776,predictor_flattened,8114001
24,balanced_multifactor,0,-0.16581556466482583,predictor_flattened,8114001
25,balanced_multifactor,0,0.03990258825963344,predictor_flattened,8114001
26,balanced_multifactor,0,-0.2850215937639835,predictor_flattened,8114001
27,balanced_multifactor,0,-0.19276725063013544,predictor_flattened,8114001
28,balanced_multifactor,0,-0.0953284606992768,predictor_flattened,8114001
29,balanced_multifactor,0,-0.04887019126275072,predictor_flattened,8114001
30,balanced_multifactor,0,-0.14550749452250988,predictor_flattened,8114001
31,balanced_multifactor,0,-0.0690708758787777,predictor_flattened,8114001
0,balanced_multifactor,0,-0.36830424250200067,predictor_pca160,8114001
1,balanced_multifactor,0,-0.9509145276887174,predictor_pca160,8114001
2,balanced_multifactor,0,-0.4379802355059226,predictor_pca160,8114001
3,balanced_multifactor,0,-0.23132721220446006,predictor_pca160,8114001
4,balanced_multifactor,0,-0.537723469873111,predictor_pca160,8114001
5,balanced_multifactor,0,-0.4368684128860809,predictor_pca160,8114001
6,balanced_multifactor,0,-0.2711501563527945,predictor_pca160,8114001
7,balanced_multifactor,0,-0.20555437246744024,predictor_pca160,8114001
8,balanced_multifactor,0,-0.3333009942575871,predictor_pca160,8114001
9,balanced_multifactor,0,-0.2522630504295602,predictor_pca160,8114001
10,balanced_multifactor,0,-0.4859743891393056,predictor_pca160,8114001
11,balanced_multifactor,0,-0.4657552782624097,predictor_pca160,8114001
12,balanced_multifactor,0,0.10562935146433061,predictor_pca160,8114001
13,balanced_multifactor,0,-0.40893435729932315,predictor_pca160,8114001
14,balanced_multifactor,0,-0.3454015470977909,predictor_pca160,8114001
15,balanced_multifactor,0,-0.43690400977828214,predictor_pca160,8114001
16,balanced_multifactor,0,-0.35209353771481666,predictor_pca160,8114001
17,balanced_multifactor,0,-0.20552521949126867,predictor_pca160,8114001
18,balanced_multifactor,0,-0.3070808778205485,predictor_pca160,8114001
19,balanced_multifactor,0,-0.6652727998670251,predictor_pca160,8114001
20,balanced_multifactor,0,-0.24337215385679123,predictor_pca160,8114001
21,balanced_multifactor,0,-0.23712614531844745,predictor_pca160,8114001
22,balanced_multifactor,0,-0.35890181404603094,predictor_pca160,8114001
23,balanced_multifactor,0,-0.13602641633293633,predictor_pca160,8114001
24,balanced_multifactor,0,-0.25475395482604,predictor_pca160,8114001
25,balanced_multifactor,0,-0.598570428527696,predictor_pca160,8114001
26,balanced_multifactor,0,-0.41115837685103185,predictor_pca160,8114001
27,balanced_multifactor,0,-0.3794313013266144,predictor_pca160,8114001
28,balanced_multifactor,0,-0.7092477491150346,predictor_pca160,8114001
29,balanced_multifactor,0,-0.1972142577023821,predictor_pca160,8114001
30,balanced_multifactor,0,-1.0685529324786112,predictor_pca160,8114001
