dataset_id,study_id,matrix_path_or_object,matrix_slot,matrix_orientation,matrix_semantics,sparse_or_dense,integer_counts_available,normalization_already_applied,log_transform_already_applied,feature_namespace,cell_namespace,measured_gene_definition,zero_interpretation,foundation_eligible,transformation_contract,exclusion_reason,feature_universe_hash,n_obs,n_vars
HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,data/external/v4/living_human/hvs/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,57855,18736
HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,data/external/v4/living_human/hvs/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,16668,18736
HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,data/external/v4/living_human/hvs/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,4112,18736
HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,data/external/v4/living_human/hvs/900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,637,18736
HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,data/external/v4/living_human/hvs/9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,6133,18736
HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,data/external/v4/living_human/hvs/a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,11244,18736
HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,data/external/v4/living_human/hvs/ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,16319,18736
HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,data/external/v4/living_human/hvs/bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,8093,18736
HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,data/external/v4/living_human/hvs/c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,31924,18736
HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,data/external/v4/living_human/hvs/c5e9db26-7b51-4290-b721-dd540ac906b1.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,3934,18736
HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,data/external/v4/living_human/hvs/c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,35171,18736
HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,data/external/v4/living_human/hvs/d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,28943,18736
HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,data/external/v4/living_human/hvs/e813d04b-7833-4b02-b14f-0247d6128516.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,1875,18736
HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,data/external/v4/living_human/hvs/f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,raw/X,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,raw/var/_index Ensembl plus raw/var/feature_name,obs/_index,feature present in raw/var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,4c1e94c02df22d936270bd82e5229efa81af156c4666ad95849eeabea2e21788,582,18736
NPH52_exact_source_objects,NPH52,data/processed/v4/stage81a1d/sealed/nph52_organized/organized_data/Human/brain/snRNA/NPH/*.qs,counts,gene_by_cell,sparse_published_counts,sparse_dgCMatrix,True,False,False,source gene symbol mapped by exact unique source pair,human_NPH_ plus source cell ID,feature present in source object rownames,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,partition_specific_see_measurement_registry,957659,38199
sea_ad_ang_rna_final_2026,SEA_AD,data/external/v4/sea_ad/multiregion/AnG/SEAAD_AnG_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,255953,36601
sea_ad_caudate_rna_all_2025,SEA_AD,data/external/v4/sea_ad/multiregion/Caudate_Nucleus/CaH_all_nuclei.2025-12-29.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,945918,36601
sea_ad_fi_rna_final_2026,SEA_AD,data/external/v4/sea_ad/multiregion/FI/SEAAD_FI_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,259108,36601
sea_ad_hip_rna_final_2026,SEA_AD,data/external/v4/sea_ad/multiregion/HIP/SEAAD_HIP_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,208843,36601
sea_ad_itg_rna_final_2026,SEA_AD,data/external/v4/sea_ad/multiregion/ITG/SEAAD_ITG_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,412674,36601
sea_ad_lec_rna_final_2026,SEA_AD,data/external/v4/sea_ad/multiregion/LEC/SEAAD_LEC_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,182260,36601
sea_ad_mec_rna_final_2026,SEA_AD,data/external/v4/sea_ad/multiregion/MEC/SEAAD_MEC_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,970118,36601
sea_ad_mtg_rna_final_2026,SEA_AD,data/external/v4/sea_ad/mtg/SEAAD_MTG_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,1178694,36601
sea_ad_pfc_a9_rna_final_2026,SEA_AD,data/external/v4/sea_ad/a9_dlpfc/SEAAD_DFC_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,1357145,36601
sea_ad_stg_rna_final_2026,SEA_AD,data/external/v4/sea_ad/multiregion/STG/SEAAD_STG_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,545215,36601
sea_ad_v1c_rna_final_2026,SEA_AD,data/external/v4/sea_ad/multiregion/V1C/SEAAD_V1C_RNAseq_final-nuclei.2026-06-22.h5ad,layers/UMIs,cell_by_gene,raw_integer_counts,sparse_csr,True,False,False,var/gene_ids Ensembl plus var/index symbol,obs/_index,feature present in var,measured_zero,True,library_size_normalize_to_10000_then_log1p_with_measurement_mask,,b034585d654b46da4d26cc0cbcaf1e4ace12fa93ab9b55dd4182dd882ae966c7,643336,36601
