dataset_id,shape,matrix_semantics,x_dtype,raw_present,layers,integer_count_layer_available,normalization_evidence,expression_matrix_loaded,feature_space_class,equivalent_to_full_rna_matrix
gse301119_1c0fbaf672ab,28466x36601,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,perturbation_expression_unequal_feature_universe,False
gse301119_5ff4821904a5,23584x19162,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,perturbation_expression_unequal_feature_universe,False
gse311359_7d3438f8c8db,unresolved_source_archive_or_table,source_format_requires_harmonization,source_defined,unknown,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse97930_cerebellar_umi,"[37235, 5602]",text_matrix_or_documentation,text,not_applicable,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse97930_frontal_cortex_umi,"[34305, 10319]",text_matrix_or_documentation,text,not_applicable,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse97930_readme,"[""not_applicable"", ""not_applicable""]",text_matrix_or_documentation,text,not_applicable,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse97930_visual_cortex_umi,"[41541, 19368]",text_matrix_or_documentation,text,not_applicable,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
gse99074_human_microglia_counts,"[""not_applicable"", ""not_applicable""]",text_matrix_or_documentation,text,not_applicable,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
sea_ad_ang_rna_final_2026,255953x36601,csr_matrix,float32,False,UMIs,False,structural_field_only:X_normalization,False,rna_expression_candidate,True
sea_ad_caudate_rna_all_2025,945918x36601,csr_matrix,float32,False,UMIs,False,structural_field_only:log1p,False,rna_expression_candidate,True
sea_ad_caudate_xenium_combined_2026,1541477x464,csr_matrix,float64,False,reads,False,not_determined_from_structure,False,targeted_spatial_panel,False
sea_ad_fi_rna_final_2026,259108x36601,csr_matrix,float64,False,UMIs,True,structural_field_only:X_normalization,False,rna_expression_candidate,True
sea_ad_hip_merscope_combined_2026,132120x433,csr_matrix,float32,False,,False,not_determined_from_structure,False,targeted_spatial_panel,False
sea_ad_hip_rna_final_2026,208843x36601,csr_matrix,float32,False,UMIs,False,structural_field_only:X_normalization,False,rna_expression_candidate,True
sea_ad_itg_rna_final_2026,412674x36601,csr_matrix,float32,False,UMIs,False,structural_field_only:X_normalization,False,rna_expression_candidate,True
sea_ad_lec_rna_final_2026,182260x36601,csr_matrix,float32,False,UMIs,False,structural_field_only:X_normalization,False,rna_expression_candidate,True
sea_ad_mec_merscope_combined_2026,130345x433,csr_matrix,float32,False,,False,not_determined_from_structure,False,targeted_spatial_panel,False
sea_ad_mec_rna_final_2026,970118x36601,csr_matrix,float32,False,UMIs,False,structural_field_only:X_normalization,False,rna_expression_candidate,True
sea_ad_mtg_atac_final_2024,516389x218882,csr_matrix,float32,False,,False,structural_field_only:X_normalization,False,regulatory_peak_namespace,False
sea_ad_mtg_merfish_combined_2024,1887729x180,array,float64,False,,False,structural_field_only:X_normalization,False,targeted_spatial_panel,False
sea_ad_mtg_rna_final_2026,1178694x36601,csr_matrix,float64,False,UMIs,False,structural_field_only:X_normalization,False,rna_expression_candidate,True
sea_ad_multiregion_immune_rna_final_2026,240651x36601,csr_matrix,float64,False,UMIs,False,structural_field_only:X_normalization;log1p,False,rna_expression_candidate,True
sea_ad_pfc_a9_rna_final_2026,1357145x36601,csr_matrix,float64,False,UMIs,False,structural_field_only:X_normalization,False,rna_expression_candidate,True
sea_ad_stg_rna_final_2026,545215x36601,csr_matrix,float32,False,UMIs,False,structural_field_only:X_normalization,False,rna_expression_candidate,True
sea_ad_v1c_rna_final_2026,643336x36601,csr_matrix,float32,False,UMIs,False,structural_field_only:X_normalization,False,rna_expression_candidate,True
siletti_hbca_all_non_neuronal,"[888263, 58232]",csr_matrix,float32,False,,unknown,not_resolved_from_compact_source,False,rna_expression_candidate,True
