status,study_id,matrix_id,n_evaluations,raw_measured_scalar_ceiling_r2,projected_global_state_recovery_r2,gap_to_raw_measured_scalar_ceiling,paired_view_identity_baseline_r2,paired_view_projected_r2
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,5,1.0,0.24012664627053154,0.7598733537294684,-0.43773984061292326,0.15572980789455987
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,5,1.0,0.25606202925238974,0.7439379707476103,-0.3021539404665105,0.1842531830594359
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,5,1.0,0.342030129614663,0.6579698703853369,-0.3039798674038061,0.23142862483608462
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,5,1.0,0.20890902445432208,0.7910909755456779,-0.4740729377803885,0.14729385313923268
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,5,1.0,0.30877594901727407,0.6912240509827259,-0.2835683753740686,0.22203537669920728
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,5,1.0,0.2796104343698202,0.7203895656301798,-0.3977362824672158,0.18733623566226296
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,5,1.0,0.3460050866802327,0.6539949133197673,-0.2760651484525628,0.23285001326169633
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,5,1.0,0.2817049775732173,0.7182950224267828,-0.2803291664325095,0.20842086646886077
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,5,1.0,0.28993728328475593,0.710062716715244,-0.3880292719202462,0.18698353163426293
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,5,1.0,0.24343612129064574,0.7565638787093543,-0.40099697451659055,0.16087237525170425
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::e813d04b-7833-4b02-b14f-0247d6128516,5,1.0,0.31157042633086596,0.688429573669134,-0.3558338088645533,0.2106930761554266
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,HVS,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,5,1.0,0.29610106691245475,0.7038989330875453,-0.2501348287490049,0.22034279330391274
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,NPH52,NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,4,1.0,0.511436753690514,0.48856324630948605,-0.06946085849502359,0.3763124414844098
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,NPH52,NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,4,1.0,0.40060638729730047,0.5993936127026995,-0.13112988888663585,0.27989216956588736
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,NPH52,NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,4,1.0,0.7318571637815452,0.2681428362184548,0.48120630992865,0.6306677908835852
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,NPH52,NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,4,1.0,0.6173247265742836,0.3826752734257164,0.26696972722108453,0.49593441864232546
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,NPH52,NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,4,1.0,0.39986960728189097,0.600130392718109,-0.2185193673687411,0.2705033823314983
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,NPH52,NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,4,1.0,0.5218596548588892,0.47814034514111076,0.015548485441918891,0.3907149628013794
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,NPH52,NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,4,1.0,0.49306836181553026,0.5069316381844697,-0.077185710957628,0.361027021428267
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_ang_rna_final_2026,5,1.0,0.36193488237197424,0.6380651176280258,-0.17349065041710565,0.29053874723091616
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_caudate_rna_all_2025,5,1.0,0.4178655644665966,0.5821344355334034,-0.029680163830058604,0.34777517915574063
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_fi_rna_final_2026,5,1.0,0.3570644636366384,0.6429355363633615,-0.19008236144135435,0.28550646204124136
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_hip_rna_final_2026,5,1.0,0.4171531702886596,0.5828468297113404,-0.01739514301336915,0.3415152055374958
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_itg_rna_final_2026,5,1.0,0.4061956574030125,0.5938043425969874,-0.09288575249134556,0.32709824774860374
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_lec_rna_final_2026,5,1.0,0.40116375087539036,0.5988362491246096,-0.04181594681308294,0.3231826686363156
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_mec_rna_final_2026,5,1.0,0.39873697261367563,0.6012630273863244,-0.07124792801500943,0.31625700292863385
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_mtg_rna_final_2026,5,1.0,0.43349134594305605,0.566508654056944,-0.052805809080230096,0.34275526374087384
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_pfc_a9_rna_final_2026,5,1.0,0.41848599456390234,0.5815140054360977,-0.07599698556087789,0.33068019108772506
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_stg_rna_final_2026,5,1.0,0.46127203880312695,0.538727961196873,0.026692827670352325,0.37219713155522555
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,SEA_AD,sea_ad_v1c_rna_final_2026,5,1.0,0.4423611850970951,0.5576388149029049,-0.01836462860961081,0.3531958223517067
