status,matrix_id,source_dataset_id,input_representation,expected_measured_addresses,actual_available_addresses,exact_intersection,expected_but_missing,unexpected_addresses,missing_current_exact,missing_legacy_exact,missing_source_native_anchored,historical_top_k_truncation_detected,closure_pass
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS_COMMON,column_addressable_h5_source,18736,18736,18736,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,NPH52::Astro_data_arranged_updatedId_final_batches.qs,historical_train_only_4096_address_cache,32977,4092,4092,28885,0,28187,663,35,True,False
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,NPH52::Endo_data_arranged_updatedId_final_batches.qs,historical_train_only_4096_address_cache,30760,4092,4092,26668,0,26036,609,23,True,False
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,NPH52::ExN_data_arranged_updatedId_final_batches.qs,historical_train_only_4096_address_cache,34969,4092,4092,30877,0,30145,693,39,True,False
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,NPH52::InN_data_arranged_updatedId_final_batches.qs,historical_train_only_4096_address_cache,33744,4092,4092,29652,0,28939,679,34,True,False
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,NPH52::MG_data_arranged_updatedId_final_batches.qs,historical_train_only_4096_address_cache,31621,4092,4092,27529,0,26869,633,27,True,False
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,NPH52::OPC_data_arranged_updatedId_final_batches.qs,historical_train_only_4096_address_cache,31893,4092,4092,27801,0,27153,622,26,True,False
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,NPH52::Oligo_data_arranged_updatedId_final_batches.qs,historical_train_only_4096_address_cache,34078,4092,4092,29986,0,29272,679,35,True,False
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_ang_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_caudate_rna_all_2025,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_fi_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_hip_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_itg_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_lec_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_mec_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_mtg_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_pfc_a9_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_stg_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
GLOBAL_STATE_PILOT_INPUT_CONTRACT_LIMITED,sea_ad_v1c_rna_final_2026,SEA_AD_COMMON,column_addressable_h5_source,35786,35786,35786,0,0,0,0,0,False,True
