dataset_id,study_id,source_path,matrix_semantics,feature_identifier_type,n_obs,n_vars,r_object_class,compression_layers,archive_member_count,unsafe_archive_member_count,source_partition_count,feature_count_min,feature_count_max,matrix_dimension_consistency_pass,matrix_orientation,rna_vocabulary_eligible,open_read_only_pass,physical_merge_performed
4e374783-0152-423e-bcb6-b87cc232f64d,HVS,data/external/v4/living_human/hvs/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,19711,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
1fc48734-35ee-4372-885c-95fd2674c75a,HVS,data/external/v4/living_human/hvs/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,79631,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
149b2c3f-ee11-47a7-984b-923570280bd7,HVS,data/external/v4/living_human/hvs/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,301,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
93091496-be48-4122-b945-9af9c22a7535,HVS,data/external/v4/living_human/hvs/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,28718,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
0087cde2-967d-4f7c-8e6e-40e4c9ad1891,HVS,data/external/v4/living_human/hvs/6201fd7d-f35b-4487-bace-99426881237b.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,5399,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
171b03c9-516b-499c-a434-fa4f70191988,HVS,data/external/v4/living_human/hvs/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,7156,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
78f40dd6-ed22-470d-8547-6fb5746c25da,HVS,data/external/v4/living_human/hvs/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,1465,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
e34f3f89-3a48-4173-a06a-9e9803f2e2b9,HVS,data/external/v4/living_human/hvs/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,57855,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
1a974af7-8b4b-4abb-8aba-23e2979d9518,HVS,data/external/v4/living_human/hvs/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,16668,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
390b376d-8857-4b4b-991f-0d7326938172,HVS,data/external/v4/living_human/hvs/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,4112,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
f9cfac8d-bff6-47a2-a1f6-503827d375f5,HVS,data/external/v4/living_human/hvs/900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,637,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
0de831e0-a525-4ec5-b717-df56f2de2bf0,HVS,data/external/v4/living_human/hvs/9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,6133,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
31285bcd-9a28-48ce-8cc0-543af80261d3,HVS,data/external/v4/living_human/hvs/a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,11244,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5,HVS,data/external/v4/living_human/hvs/ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,16319,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
d5a2d011-3765-4dad-ac36-3fff087589fe,HVS,data/external/v4/living_human/hvs/bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,8093,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
34229bdc-a895-4394-8820-574e4028d8c6,HVS,data/external/v4/living_human/hvs/c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,31924,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
b6e502d7-0d07-408e-a291-91b63af0a40a,HVS,data/external/v4/living_human/hvs/c5e9db26-7b51-4290-b721-dd540ac906b1.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,3934,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
9ea52f85-a35e-4b5b-9207-e2f1de7dbbcd,HVS,data/external/v4/living_human/hvs/c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,35171,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
3079e9b0-c6db-45c8-b998-a4555a73968e,HVS,data/external/v4/living_human/hvs/d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,28943,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
6929d6d1-6f81-44d7-bd35-5a580259af81,HVS,data/external/v4/living_human/hvs/e813d04b-7833-4b02-b14f-0247d6128516.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,1875,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
4859642c-d155-437b-adf5-83ca6c1bef67,HVS,data/external/v4/living_human/hvs/f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,source_h5ad_X_with_raw_and_layers_retained_as_published,h5ad_var_index,582,18736,,,0,0,,,,,cell_by_feature_or_source_documented,True,True,False
8319719,NPH52,data/external/v4/living_human/nph52/annotations.zip,archive_requires_member_level_harmonization,pending_member_audit,,,,,8,0,,,,,cell_by_feature_or_source_documented,True,True,False
8319719,NPH52,data/external/v4/living_human/nph52/organized_data.zip,archive_requires_member_level_harmonization,pending_member_audit,,,,,177,0,,,,,cell_by_feature_or_source_documented,True,True,False
NPH52_exact_source_objects,NPH52,data/external/v4/living_human/nph52/organized_data.zip,sparse_published_counts,gene_symbol,957659,38199,SingleCellExperiment_source_objects,,177,0,7,,,True,cell_by_feature_logical_view_from_gene_by_cell_source,True,True,False
