dataset_id,study_id,local_path,file_object_type,modality,intended_project_role,foundation_eligible,pathology_bearing,holdout_validation_adapter,size_bytes,registered_downloaded_asset,downloaded_but_unregistered,registry_sources,local_file_exists,registered_sha256,duplicate_physical_sha256,feature_count,feature_identifier_fields_available
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep1.features.csv,.30.001.STG.4000.expand.rep1.features.csv,spatial RNA,context_qualification_or_reference,False,False,True,676794,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,a32e82cffa5ac18c8329e76f19cfa9dee1169a7ece1a7fd83f9a84a94a4ddc33,,,observation metadata; adjacent source genes.csv is authoritative
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep1.genes.csv,.30.001.STG.4000.expand.rep1.genes.csv,spatial RNA,context_qualification_or_reference,False,False,True,29649,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,3999.0,tabular feature fields
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep1.matrix.csv,.30.001.STG.4000.expand.rep1.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,18599048,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,3f3c221579ffe5af8ac3bed4539e01b12665b31fc772e4cd5338416e709cd443,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep2.barcodes.csv.gz,.30.001.STG.4000.expand.rep2.barcodes.csv.gz,spatial RNA,context_qualification_or_reference,False,False,True,1257850544,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,17f11bcb8b397ddd222eb9b61e4215abc422411d183f2faf68f213bc21175a4d,,,
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep2.features.csv,.30.001.STG.4000.expand.rep2.features.csv,spatial RNA,context_qualification_or_reference,False,False,True,783020,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,aa60dfb58bbfef29d0928c42b4e7d8cddb4cd7f881e2b72996481154c2233a2b,,,observation metadata; adjacent source genes.csv is authoritative
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep2.genes.csv,.30.001.STG.4000.expand.rep2.genes.csv,spatial RNA,context_qualification_or_reference,False,False,True,29649,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,3999.0,tabular feature fields
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep2.matrix.csv,.30.001.STG.4000.expand.rep2.matrix.csv,spatial RNA,context_qualification_or_reference,False,False,True,18383424,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,13d097ea056d760f212f88bb4c3ee6093d00317d559d46d795df8b3450452a57,,0.0,adjacent source feature table preferred
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep1.barcodes.csv.gz,.30.001.STG.4000.expand.rep1.barcodes.csv.gz,spatial RNA,context_qualification_or_reference,False,False,True,665052284,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,6ecf4e31b6e66c4f6574f6f2ff1e876ff514f889bb3a538c808f64c3af29bda2,,,
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep1.features.csv,.30.001.STG.4000.expand.rep1.features.csv,spatial RNA,context_qualification_or_reference,False,False,True,867992,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b337507d7a75e6dc093298f3e585282f01bcc88605a7d08651d364ad61fa313f,,,observation metadata; adjacent source genes.csv is authoritative
Fang_MERFISH_human_cortex_4000,Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep1.genes.csv,.30.001.STG.4000.expand.rep1.genes.csv,spatial RNA,context_qualification_or_reference,False,False,True,29649,True,False,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/DOWNLOAD_INVENTORY.csv,True,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,b7d883115e28f43e7b52dd172b25ffb4ba7a74a974816603529bb34342b01475,3999.0,tabular feature fields
