molecular_address_id,identity_class,operators_affected,matrix_address_collision_pairs,collision_evidence_classes
ENSG00000151338,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000153113,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000153187,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000156170,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000157168,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000157978,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000160211,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000160233,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000162496,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000164691,current_exact,5,5,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000165164,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000165511,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000165630,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000167220,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000168124,current_exact,16,16,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000173213,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000174840,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000175779,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000176222,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000176438,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000176754,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000177738,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000177822,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000178412,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000178457,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000178734,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000179133,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000180769,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000182352,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000182648,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000183674,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000184113,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000184254,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000184903,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000187621,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000188092,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000188234,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000188511,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000188649,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000189171,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000196233,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000196535,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000196557,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000197182,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000197608,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000197934,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000197943,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000198010,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000198221,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000198478,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000202082,current_exact,1,1,INSUFFICIENT_SEMANTICS_FOR_SCALAR_REDUCTION
ENSG00000203279,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000203335,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000203801,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204110,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204147,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204179,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204334,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204393,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204478,current_exact,5,5,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204706,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204792,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204802,current_exact,12,12,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000204929,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000205037,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000205181,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000205559,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000205790,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000206195,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000208008,current_exact,2,2,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000212766,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000213204,current_exact,7,7,INSUFFICIENT_SEMANTICS_FOR_SCALAR_REDUCTION
ENSG00000214039,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000214145,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000214407,current_exact,14,14,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000214432,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000215112,current_exact,1,1,INSUFFICIENT_SEMANTICS_FOR_SCALAR_REDUCTION
ENSG00000215126,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000215241,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000215881,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000217455,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000220908,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000222005,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000222017,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000222032,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223343,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223403,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223485,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223546,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223597,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223598,current_exact,16,16,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223617,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223665,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223725,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223751,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223764,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223768,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223784,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000223874,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224000,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224023,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224038,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224128,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224174,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224186,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224187,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224533,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224536,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224699,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224761,current_exact,7,7,INSUFFICIENT_SEMANTICS_FOR_SCALAR_REDUCTION
ENSG00000224812,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000224910,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000225206,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000225233,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000225263,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000225472,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000225718,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000225738,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000225767,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226070,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226091,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226167,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226172,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226281,current_exact,16,16,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226310,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226364,current_exact,12,12,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226370,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226383,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226419,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226519,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226627,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226777,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226877,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000226939,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227016,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227110,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227189,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227245,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227258,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227292,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227456,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227713,current_exact,16,16,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227803,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227888,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000227959,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228044,current_exact,13,13,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228067,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228221,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228315,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228340,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228350,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228426,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228495,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228509,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228521,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228564,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228639,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228697,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228709,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228768,current_exact,5,5,INSUFFICIENT_SEMANTICS_FOR_SCALAR_REDUCTION
ENSG00000228801,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228824,current_exact,14,14,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228826,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228857,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228877,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228888,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228933,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000228944,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229005,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229017,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229140,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229195,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229291,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229337,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229443,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229621,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229647,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229672,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229921,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229931,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229950,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000229953,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230010,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230074,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230303,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230317,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230337,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230385,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230417,current_exact,18,18,INSUFFICIENT_SEMANTICS_FOR_SCALAR_REDUCTION|MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230423,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230434,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230471,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230479,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230489,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230537,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230563,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230680,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230698,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230725,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230749,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000230806,current_exact,6,6,INSUFFICIENT_SEMANTICS_FOR_SCALAR_REDUCTION
ENSG00000230945,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231040,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231064,current_exact,5,5,INSUFFICIENT_SEMANTICS_FOR_SCALAR_REDUCTION
ENSG00000231074,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231122,current_exact,7,7,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231185,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231204,current_exact,17,17,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231297,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231460,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231527,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231574,current_exact,15,15,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231646,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231721,current_exact,11,11,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231742,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231758,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231808,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231826,current_exact,18,18,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
ENSG00000231863,current_exact,14,14,MULTIPLE_HISTORICAL_IDENTITIES_TO_ONE_ADDRESS
