vocabulary_index,canonical_ensembl_gene_id,canonical_hgnc_symbol,eligible_study_family_fraction,training_donor_measurement_fraction,donor_balanced_detection_rate,donor_balanced_expression_variability,broad_cell_class_coverage,cross_study_rank_stability,missingness_entropy,technical_flags,selection_score,vocabulary_eligible,selection_reason,vocabulary_hash
978,ENSG00000166068,SPRED1,1.0,1.0,0.6350074934440006,0.024761381090849546,1.0,0.9609098690364192,0.0,,0.7786714526561742,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
979,ENSG00000135164,DMTF1,1.0,1.0,0.6508454231307198,0.00865439855991844,1.0,0.9441724084067025,0.0,,0.7786647264344205,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
980,ENSG00000159267,HLCS,1.0,1.0,0.6563352903335579,0.010398661489243012,1.0,0.9169372481473834,0.0,,0.7786576668019781,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
981,ENSG00000096384,HSP90AB1,1.0,1.0,0.6296984062919045,0.04021010200547484,1.0,0.9381890563950315,0.0,,0.7786474966293063,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
982,ENSG00000196776,CD47,1.0,1.0,0.6551635718203835,0.01350515890126454,1.0,0.9117338369613468,0.0,,0.7786181862059093,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
983,ENSG00000111912,NCOA7,1.0,1.0,0.6508123284558784,0.01098601856266384,1.0,0.9364031445999086,0.0,,0.7786126185434078,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
984,ENSG00000139163,ETNK1,1.0,1.0,0.6507701083193737,0.008346283550393421,1.0,0.9438749875755733,0.0,,0.7785893509968641,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
985,ENSG00000215421,ZNF407,1.0,1.0,0.6505168770139456,0.007190967751077623,1.0,0.9479782685795087,0.0,,0.7785732328703813,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
986,ENSG00000112232,KHDRBS2,1.0,1.0,0.6674477236762284,0.03834434513660901,1.0,0.790694350831588,0.0,,0.7785635150280256,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
987,ENSG00000120910,PPP3CC,1.0,1.0,0.6478312743858318,0.006274629468181772,1.0,0.960449916540249,0.0,,0.7785240763028424,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
