mapping_type,matrix_or_source_id,dataset_id,mask_hash,measured_genes,vocabulary_genes
canonical_matrix,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,NPH52_exact_source_objects,NPH52,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_fi_rna_final_2026,sea_ad_fi_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_itg_rna_final_2026,sea_ad_itg_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_lec_rna_final_2026,sea_ad_lec_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_mtg_rna_final_2026,sea_ad_mtg_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_pfc_a9_rna_final_2026,sea_ad_pfc_a9_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_stg_rna_final_2026,sea_ad_stg_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
canonical_matrix,sea_ad_v1c_rna_final_2026,sea_ad_v1c_rna_final_2026,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
source_feature_universe,HVS_COMMON,HVS,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
source_feature_universe,NPH52::Astro_data_arranged_updatedId_final_batches.qs,NPH52,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
source_feature_universe,NPH52::Endo_data_arranged_updatedId_final_batches.qs,NPH52,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
source_feature_universe,NPH52::ExN_data_arranged_updatedId_final_batches.qs,NPH52,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
source_feature_universe,NPH52::InN_data_arranged_updatedId_final_batches.qs,NPH52,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
source_feature_universe,NPH52::MG_data_arranged_updatedId_final_batches.qs,NPH52,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
source_feature_universe,NPH52::OPC_data_arranged_updatedId_final_batches.qs,NPH52,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
source_feature_universe,NPH52::Oligo_data_arranged_updatedId_final_batches.qs,NPH52,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
source_feature_universe,SEA_AD_COMMON,SEA_AD,6cd903be0554bdccfe1cc7f90beeef84014aaa1e83e6eb81bfee03a5ec1310a2,4096,4096
