absolute_distance_units_supported,boundary_available,coordinate_class,coordinate_finite_fraction,dataset_id,duplicated_coordinate_fraction,physical_geometry,sample_id
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H18.06.006.MTG.4000.expand.rep2
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H18.06.006.MTG.4000.expand.rep3
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H19.30.001.STG.4000.expand.rep1
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H19.30.001.STG.4000.expand.rep2
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H20.30.001.STG.4000.expand.rep1
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H20.30.001.STG.4000.expand.rep2
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H20.30.001.STG.4000.expand.rep3
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H22.26.401.MTG.4000.expand.rep1
false,false,PHYSICAL_XY_UNKNOWN_UNITS,1.0,doi:10.5061/dryad.x3ffbg7mw,0.0,true,H22.26.401.MTG.4000.expand.rep2
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br2720_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br2720_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br2720_post
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br2743_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br2743_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br2743_post
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br3942_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br3942_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br3942_post
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6423_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6423_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6423_post
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6432_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6432_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6432_post
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6471_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6471_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6471_post
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6522_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6522_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br6522_post
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br8325_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br8325_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br8325_post
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br8492_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br8492_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br8492_post
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br8667_ant
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br8667_mid
false,false,GRID_SPOT_COORDINATES,,spatialDLPFC,,true,Br8667_post
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151507
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151508
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151509
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151510
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151669
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151670
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151671
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151672
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151673
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151674
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151675
false,false,GRID_SPOT_COORDINATES,,spatialLIBD_classic_DLPFC,,true,151676
