basis,matrix_id,measurement_domain_distance,biological_state_support_distance,measurement_threshold_train_p90,biological_threshold_train_p90,quadrant
BALANCED_REP160,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,0.0005279657910275332,0.5926846265792847,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,0.008657208726691313,0.692313551902771,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,0.004737866241847263,0.4265325963497162,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,0.006057642240867493,0.6187952756881714,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,0.0007574603188747173,0.7833396196365356,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,0.008234060844423264,0.5303171873092651,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,0.01824713640278949,0.7921167612075806,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,0.01824713640278949,0.8384134769439697,0.01824713640278949,0.8163913190364838,B_familiar_measurement_unusual_biology
BALANCED_REP160,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,0.0005279657910275332,0.24373891949653625,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,0.002023674244892269,0.42736679315567017,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,0.015415517384483495,0.7149930000305176,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,0.0015745735841556415,0.6068470478057861,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,0.0093558517718583,0.6430952548980713,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::e813d04b-7833-4b02-b14f-0247d6128516,0.002816969649069414,0.4928547143936157,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,0.0007574603188747173,0.7435998320579529,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,NPH52_exact_source_objects,0.29786853146980213,0.7280726432800293,0.01824713640278949,0.8163913190364838,C_unfamiliar_measurement_familiar_biology
BALANCED_REP160,sea_ad_ang_rna_final_2026,0.006917727492795408,0.700181245803833,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,sea_ad_caudate_rna_all_2025,0.288179774854339,0.8096814155578613,0.01824713640278949,0.8163913190364838,C_unfamiliar_measurement_familiar_biology
BALANCED_REP160,sea_ad_fi_rna_final_2026,0.006917727492795408,0.6883556246757507,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,sea_ad_hip_rna_final_2026,0.010151511538283779,0.7562299966812134,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,sea_ad_itg_rna_final_2026,0.0005589535241920842,0.6450234651565552,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,sea_ad_lec_rna_final_2026,0.010151511538283779,0.7189016342163086,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,sea_ad_mec_rna_final_2026,0.005275775125304077,0.6825761795043945,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,sea_ad_mtg_rna_final_2026,0.005275775125304077,0.6814928650856018,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,sea_ad_pfc_a9_rna_final_2026,0.00839303845756636,0.6535177826881409,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
BALANCED_REP160,sea_ad_stg_rna_final_2026,0.021900981760979623,0.6583572626113892,0.01824713640278949,0.8163913190364838,C_unfamiliar_measurement_familiar_biology
BALANCED_REP160,sea_ad_v1c_rna_final_2026,0.0005589535241920842,0.6671720147132874,0.01824713640278949,0.8163913190364838,A_familiar_measurement_familiar_biology
