brain_region,canonical_person_group_id,dataset_id,evidence_source,exact_identity_evidence,sample_id,source_donor_id,technology
hypothalamus,PERSON_0069,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594573,1735,10x Visium
hypothalamus,PERSON_0070,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594574,5459,10x Visium
hypothalamus,PERSON_0071,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594575,5993,10x Visium
hypothalamus,PERSON_0072,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594576,6197,10x Visium
hypothalamus,PERSON_0073,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594577,6588,10x Visium
hypothalamus,PERSON_0073,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594578,6588,10x Visium
hypothalamus,PERSON_0074,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594579,8667,10x Visium
hypothalamus,PERSON_0075,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594580,8741,10x Visium
hypothalamus,PERSON_0075,GSE280316,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8594581,8741,10x Visium
hypothalamus,PERSON_0070,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598169,5459,10x Xenium
hypothalamus,PERSON_0070,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598170,5459,10x Xenium
hypothalamus,PERSON_0074,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598171,8667,10x Xenium
hypothalamus,PERSON_0072,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598172,6197,10x Xenium
hypothalamus,PERSON_0071,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598173,5993,10x Xenium
hypothalamus,PERSON_0071,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598174,5993,10x Xenium
hypothalamus,PERSON_0069,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598175,1735,10x Xenium
hypothalamus,PERSON_0069,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598176,1735,10x Xenium
hypothalamus,PERSON_0073,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598177,6588,10x Xenium
hypothalamus,PERSON_0068,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598178,1225,10x Xenium
hypothalamus,PERSON_0068,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598179,1225,10x Xenium
hypothalamus,PERSON_0075,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598180,8741,10x Xenium
hypothalamus,PERSON_0075,GSE280460,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM8598181,8741,10x Xenium
nucleus accumbens,PERSON_0058,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227428,Br2720,10x Visium
nucleus accumbens,PERSON_0058,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227429,Br2720,10x Visium
nucleus accumbens,PERSON_0058,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227430,Br2720,10x Visium
nucleus accumbens,PERSON_0058,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227431,Br2720,10x Visium
nucleus accumbens,PERSON_0056,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227432,Br8492,10x Visium
nucleus accumbens,PERSON_0056,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227433,Br8492,10x Visium
nucleus accumbens,PERSON_0056,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227434,Br8492,10x Visium
nucleus accumbens,PERSON_0056,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227435,Br8492,10x Visium
nucleus accumbens,PERSON_0057,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227436,Br6522,10x Visium
nucleus accumbens,PERSON_0057,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227437,Br6522,10x Visium
nucleus accumbens,PERSON_0057,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227438,Br6522,10x Visium
nucleus accumbens,PERSON_0057,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227439,Br6522,10x Visium
nucleus accumbens,PERSON_0049,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227440,Br6423,10x Visium
nucleus accumbens,PERSON_0049,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227441,Br6423,10x Visium
nucleus accumbens,PERSON_0052,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227442,Br8325,10x Visium
nucleus accumbens,PERSON_0049,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227443,Br6423,10x Visium
nucleus accumbens,PERSON_0052,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227444,Br8325,10x Visium
nucleus accumbens,PERSON_0052,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227445,Br8325,10x Visium
nucleus accumbens,PERSON_0052,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227446,Br8325,10x Visium
nucleus accumbens,PERSON_0052,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227447,Br8325,10x Visium
nucleus accumbens,PERSON_0050,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227448,Br6432,10x Visium
nucleus accumbens,PERSON_0050,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227449,Br6432,10x Visium
nucleus accumbens,PERSON_0050,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227450,Br6432,10x Visium
nucleus accumbens,PERSON_0050,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227451,Br6432,10x Visium
nucleus accumbens,PERSON_0054,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227452,Br6471,10x Visium
nucleus accumbens,PERSON_0054,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227453,Br6471,10x Visium
nucleus accumbens,PERSON_0054,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227454,Br6471,10x Visium
nucleus accumbens,PERSON_0054,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227455,Br6471,10x Visium
nucleus accumbens,PERSON_0051,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227456,Br2743,10x Visium
nucleus accumbens,PERSON_0051,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227457,Br2743,10x Visium
nucleus accumbens,PERSON_0051,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227458,Br2743,10x Visium
nucleus accumbens,PERSON_0051,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227459,Br2743,10x Visium
nucleus accumbens,PERSON_0053,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227460,Br3942,10x Visium
nucleus accumbens,PERSON_0053,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227461,Br3942,10x Visium
nucleus accumbens,PERSON_0053,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227462,Br3942,10x Visium
nucleus accumbens,PERSON_0053,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227463,Br3942,10x Visium
nucleus accumbens,PERSON_0055,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227464,Br8667,10x Visium
nucleus accumbens,PERSON_0055,GSE307586,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227465,Br8667,10x Visium
nucleus accumbens,PERSON_0052,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227466,Br8325,10x snRNA-seq
nucleus accumbens,PERSON_0052,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227467,Br8325,10x snRNA-seq
nucleus accumbens,PERSON_0056,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227468,Br8492,10x snRNA-seq
nucleus accumbens,PERSON_0056,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227469,Br8492,10x snRNA-seq
nucleus accumbens,PERSON_0058,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227470,Br2720,10x snRNA-seq
nucleus accumbens,PERSON_0058,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227471,Br2720,10x snRNA-seq
nucleus accumbens,PERSON_0049,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227472,Br6423,10x snRNA-seq
nucleus accumbens,PERSON_0049,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227473,Br6423,10x snRNA-seq
nucleus accumbens,PERSON_0051,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227474,Br2743,10x snRNA-seq
nucleus accumbens,PERSON_0051,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227475,Br2743,10x snRNA-seq
nucleus accumbens,PERSON_0053,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227476,Br3942,10x snRNA-seq
nucleus accumbens,PERSON_0053,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227477,Br3942,10x snRNA-seq
nucleus accumbens,PERSON_0050,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227478,Br6432,10x snRNA-seq
nucleus accumbens,PERSON_0050,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227479,Br6432,10x snRNA-seq
nucleus accumbens,PERSON_0054,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227480,Br6471,10x snRNA-seq
nucleus accumbens,PERSON_0054,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227481,Br6471,10x snRNA-seq
nucleus accumbens,PERSON_0057,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227482,Br6522,10x snRNA-seq
nucleus accumbens,PERSON_0057,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227483,Br6522,10x snRNA-seq
nucleus accumbens,PERSON_0055,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227484,Br8667,10x snRNA-seq
nucleus accumbens,PERSON_0055,GSE307587,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9227485,Br8667,10x snRNA-seq
nucleus accumbens,PERSON_0057,GSE325489,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9604821,Br6522,10x Xenium
nucleus accumbens,PERSON_0058,GSE325489,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9604822,Br2720,10x Xenium
nucleus accumbens,PERSON_0050,GSE325489,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9604823,Br6432,10x Xenium
nucleus accumbens,PERSON_0054,GSE325489,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,GSM9604824,Br6471,10x Xenium
20 PFC/reference cortical regional categories,UNRESOLVED,HPA_Zhong_PFC_RNA,stage81a3_context_candidate_donor_graph.csv,none,dataset_level,unresolved,bulk RNA-seq
frontal cortex and cerebellum,UNRESOLVED,HPA_human_brain_StereoSeq,stage81a3_context_candidate_donor_graph.csv,none,dataset_level,unresolved,Stereo-seq
193 anatomical brain subregions,UNRESOLVED,HPA_regional_human_brain_RNA,stage81a3_context_candidate_donor_graph.csv,none,dataset_level,unresolved,bulk RNA-seq
MTG,PERSON_0080,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H18.06.006.MTG.4000.expand.rep1,H18.06.006,MERFISH
MTG,PERSON_0080,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H18.06.006.MTG.4000.expand.rep2,H18.06.006,MERFISH
MTG,PERSON_0080,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H18.06.006.MTG.4000.expand.rep3,H18.06.006,MERFISH
STG,PERSON_0004,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H19.30.001.STG.4000.expand.rep1,H19.30.001,MERFISH
STG,PERSON_0004,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H19.30.001.STG.4000.expand.rep2,H19.30.001,MERFISH
STG,PERSON_0081,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H20.30.001.STG.4000.expand.rep1,H20.30.001,MERFISH
STG,PERSON_0081,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H20.30.001.STG.4000.expand.rep2,H20.30.001,MERFISH
STG,PERSON_0081,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H20.30.001.STG.4000.expand.rep3,H20.30.001,MERFISH
MTG,PERSON_0082,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H22.26.401.MTG.4000.expand.rep1,H22.26.401,MERFISH
MTG,PERSON_0082,doi:10.5061/dryad.x3ffbg7mw,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,H22.26.401.MTG.4000.expand.rep2,H22.26.401,MERFISH
DLPFC,PERSON_0058,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br2720_ant,Br2720,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0058,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br2720_mid,Br2720,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0058,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br2720_post,Br2720,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0051,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br2743_ant,Br2743,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0051,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br2743_mid,Br2743,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0051,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br2743_post,Br2743,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0053,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br3942_ant,Br3942,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0053,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br3942_mid,Br3942,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0053,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br3942_post,Br3942,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0049,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6423_ant,Br6423,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0049,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6423_mid,Br6423,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0049,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6423_post,Br6423,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0050,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6432_ant,Br6432,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0050,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6432_mid,Br6432,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0050,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6432_post,Br6432,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0054,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6471_ant,Br6471,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0054,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6471_mid,Br6471,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0054,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6471_post,Br6471,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0057,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6522_ant,Br6522,10x Visium and 10x snRNA-seq
DLPFC,PERSON_0057,spatialDLPFC,stage81a3_context_candidate_donor_graph.csv,acquisition exact-donor graph,Br6522_mid,Br6522,10x Visium and 10x snRNA-seq
