belief_factor_r2,belief_minus_visible_factor_r2,calibration_regime,calibration_scale,coverage_1_96sigma,coverage_1sigma,family,gaussian_severe_fraction,joint_scale,measured_genes,median_logdet,median_trace,nll,panel,prior_nll,standardized_variance,uncertainty_error_spearman,variant,view,visible_factor_r2
0.9058804512023926,8.344650268554688e-07,historical_total_scalar,0.39422914385795593,0.9963012933731079,0.894213855266571,RANDOM_STRUCTURAL,0.0062500000931322575,0.39440199732780457,3277,-386.8282775878906,14.48926830291748,-0.09261906147003174,P80,0.3740568161010742,0.2932853400707245,0.05794621258974075,HISTORICAL_TOTAL_SCALAR,1,0.9058796167373657
0.9058804512023926,8.344650268554688e-07,conditional_only_scalar,0.7467898660886485,0.999951183795929,0.9749755859375,RANDOM_STRUCTURAL,0.0062500000931322575,0.1766369342803955,3277,-252.02784729003906,34.088539123535156,0.21973302960395813,P80,0.3740568161010742,0.13226257264614105,0.05793001875281334,CONDITIONAL_ONLY_SCALAR,1,0.9058796167373657
0.8842933773994446,1.0132789611816406e-06,ordinary_raw,1.0,0.9873046875,0.9156128168106079,RANDOM_STRUCTURAL,0.0062500000931322575,0.36523616313934326,2458,-232.90472412109375,37.97455978393555,0.3738063871860504,P60,0.4690243899822235,0.28322362899780273,0.11043062061071396,RAW,1,0.8842923641204834
0.8842933773994446,1.0132789611816406e-06,historical_total_scalar,0.39422914385795593,0.949603259563446,0.7732909917831421,RANDOM_STRUCTURAL,0.0062500000931322575,0.9264564514160156,2458,-381.83636474609375,14.970677375793457,0.18900509178638458,P60,0.4690243899822235,0.7184239625930786,0.11043054610490799,HISTORICAL_TOTAL_SCALAR,1,0.8842923641204834
0.8842933773994446,1.0132789611816406e-06,conditional_only_scalar,0.7467898660886485,0.98028564453125,0.9006286859512329,RANDOM_STRUCTURAL,0.0062500000931322575,0.4350852072238922,2458,-248.01356506347656,35.00048065185547,0.3615001142024994,P60,0.4690243899822235,0.33950045704841614,0.11042440682649612,CONDITIONAL_ONLY_SCALAR,1,0.8842923641204834
0.8444603085517883,1.7881393432617188e-07,ordinary_raw,1.0,0.9620300531387329,0.8763793706893921,RANDOM_STRUCTURAL,0.0062500000931322575,0.6201810836791992,1638,-225.79273986816406,39.80607986450195,0.52349454164505,P40,0.5943837761878967,0.4948907494544983,0.09998103231191635,RAW,1,0.844460129737854
0.8444603085517883,1.7881393432617188e-07,historical_total_scalar,0.39422914385795593,0.9122558832168579,0.7365173101425171,RANDOM_STRUCTURAL,0.0062500000931322575,1.5731487274169922,1638,-374.72442626953125,15.692715644836426,0.5345668792724609,P40,0.5943837761878967,1.2553377151489258,0.0999666079878807,HISTORICAL_TOTAL_SCALAR,1,0.844460129737854
0.8444603085517883,1.7881393432617188e-07,conditional_only_scalar,0.7467898660886485,0.95147705078125,0.861541748046875,RANDOM_STRUCTURAL,0.0062500000931322575,0.764214038848877,1638,-242.26220703125,36.36824035644531,0.5440307855606079,P40,0.5943837761878967,0.612065851688385,0.09997634589672089,CONDITIONAL_ONLY_SCALAR,1,0.844460129737854
0.7531108260154724,1.8477439880371094e-06,ordinary_raw,1.0,0.939160168170929,0.863848865032196,RANDOM_STRUCTURAL,0.0062500000931322575,0.9154127240180969,819,-214.73153686523438,42.88860321044922,0.7056664228439331,P20,0.7501201629638672,0.7437645196914673,0.0941091924905777,RAW,1,0.7531089782714844
0.7531108260154724,1.8477439880371094e-06,historical_total_scalar,0.39422914385795593,0.891308605670929,0.7523864507675171,RANDOM_STRUCTURAL,0.0062500000931322575,2.3220322132110596,819,-363.6632080078125,16.90793800354004,0.9435646533966064,P20,0.7501201629638672,1.8866300582885742,0.09411751478910446,HISTORICAL_TOTAL_SCALAR,1,0.7531089782714844
