cell,changed_direction_std,changed_direction_variance,delta_cosine,predicted_effect_norm,true_effect_norm
67,0.5174657702445984,0.26777079701423645,0.4816659585969102,1.5697522163391113,1.5152081453496375
68,0.509371817111969,0.25945964455604553,0.39184979666612796,1.3990079164505005,1.2935908444048072
69,0.5248899459838867,0.27550947666168213,0.5468083212532466,1.5357457399368286,1.2562799955782504
70,0.5587118268013,0.31215888261795044,0.5547998455637462,1.0963022708892822,1.4432877565318103
71,0.6540775299072266,0.4278174340724945,0.40628663244623836,1.3340344429016113,1.3706744342867605
72,0.4396553933620453,0.1932968646287918,0.20808189654956835,1.5727500915527344,1.006743277197534
73,0.4560686945915222,0.20799864828586578,0.294616411723061,1.9059712886810303,1.2068604199986446
74,0.46004387736320496,0.2116403728723526,0.44629912710955344,1.656172752380371,1.0582578517393135
75,0.5221012234687805,0.27258971333503723,0.2736412217273856,1.5423883199691772,1.1620136354306576
76,0.4693315327167511,0.22027207911014557,0.34877820755881644,1.4853101968765259,1.2820405351342994
77,0.4864964485168457,0.23667879402637482,0.5291838811276198,2.138556957244873,1.2885572164923609
78,0.5007126927375793,0.2507132291793823,0.36959817384940774,1.6491726636886597,1.1563083951931759
79,0.5161404013633728,0.26640093326568604,0.32561543364747336,1.7871118783950806,1.4103712236587869
80,0.5008876323699951,0.2508884370326996,0.44664369445403984,1.090622067451477,1.3165149844287667
81,0.5046920776367188,0.25471407175064087,0.39716112802152775,1.6937742233276367,1.255240406935718
82,0.5454998016357422,0.29757004976272583,0.6372452703222885,0.95918869972229,1.4357806036943925
83,0.6752572655677795,0.4559723734855652,0.5654824103429779,1.0195717811584473,1.3064966857066151
84,0.43824657797813416,0.19206005334854126,0.32658803381774515,1.5884404182434082,1.0270166276216748
85,0.461669385433197,0.2131386250257492,0.42254817101994147,1.851356029510498,1.0382233248446937
86,0.4691189229488373,0.22007256746292114,0.50431030435524,1.9810516834259033,1.1282340669141193
87,0.5158200860023499,0.2660703659057617,0.3059270239802994,1.2942357063293457,1.138705865944223
88,0.47039154171943665,0.2212682068347931,0.3717440514546665,1.529165267944336,1.298779954450044
89,0.4875984489917755,0.2377522587776184,0.4296305138174288,1.810815453529358,1.2995894705154225
90,0.4864658713340759,0.2366490513086319,0.43977232680494005,1.370165228843689,1.1185389209940786
91,0.5161312222480774,0.26639142632484436,0.41079123503151294,1.3750680685043335,1.4829394135803993
92,0.5042021870613098,0.2542198598384857,0.3040530534247444,2.0265562534332275,1.2789992115277864
93,0.5287913084030151,0.2796202600002289,0.4299896164950807,2.007809638977051,1.4440075577873817
94,0.559898853302002,0.3134867548942566,0.5760287472083642,1.1204982995986938,1.4572151313853074
95,0.6455192565917969,0.41669514775276184,0.5977659546287143,1.6985692977905273,1.4096829880550186
96,0.4362392723560333,0.1903047114610672,0.28061154390576143,1.4194194078445435,1.011822860068012
97,0.4448198676109314,0.19786471128463745,0.24986046360296743,2.257542610168457,1.0167602796127273
98,0.4555830955505371,0.20755596458911896,0.5860967891660636,1.3200763463974,1.044000275379546
99,0.5217025279998779,0.27217355370521545,0.3825428153674576,1.1518739461898804,1.147379334682727
100,0.466122031211853,0.21726974844932556,0.2871493844916018,1.6682393550872803,1.2292564077457337
101,0.4939790666103363,0.24401532113552094,0.531131224367445,2.0404903888702393,1.3755015609293029
102,0.5027483701705933,0.25275593996047974,0.32795329227463577,1.3356249332427979,1.1560528118505808
103,0.5139880776405334,0.26418372988700867,0.4047037909791641,1.1900010108947754,1.4194017738467704
