basis,matrix_id,n_cells,evidence_depth_auc_spearman,median_evidence_auc,median_depth_auc,median_reference_noise
BALANCED_PCA160,sea_ad_stg_rna_final_2026,256,0.1997417887388418,0.20390530750156086,0.08348605083301663,0.1312086135149002
BALANCED_PCA160,sea_ad_v1c_rna_final_2026,256,0.4738133726253146,0.2064170720987078,0.11565208155661821,0.16779974102973938
BALANCED_PCA160,NPH52_exact_source_objects,246,-0.27398850919848533,0.19718568790704605,0.24138458631932735,0.2825135886669159
BALANCED_REP160,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,256,0.3630514705882352,0.22185639105738014,0.19555350067093968,0.2380746603012085
BALANCED_REP160,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,256,0.2677071412222476,0.21349131092429846,0.10141523228958249,0.1512691080570221
BALANCED_REP160,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,256,0.27011687457084,0.21013044109568768,0.0649841537233442,0.09789064526557922
BALANCED_REP160,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,256,0.2354350251773861,0.22373160272837503,0.1806275276467204,0.2276029884815216
BALANCED_REP160,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,256,0.5672143224994277,0.2129552549682634,0.12327316729351878,0.17082083225250244
BALANCED_REP160,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,246,0.06039744227897537,0.21364945620299147,0.12945242272689939,0.146681547164917
BALANCED_REP160,HVS::5fff0955-173e-407d-b160-64f513ca6db6,256,0.2654983978027008,0.22332127019763973,0.29663934744894505,0.35238683223724365
BALANCED_REP160,HVS::6201fd7d-f35b-4487-bace-99426881237b,256,0.356501058594644,0.20787724293769216,0.13419720251113176,0.1778363585472107
BALANCED_REP160,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,256,0.4131945239185168,0.21406462676823795,0.10694296611472964,0.14972180128097534
BALANCED_REP160,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,256,0.4378433279926756,0.21002828832716697,0.18417948996648192,0.22502365708351135
BALANCED_REP160,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,256,0.42828593499656664,0.20450768349692733,0.4545626677572727,0.4919506907463074
BALANCED_REP160,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,256,0.41353284504463256,0.21114556193352615,0.09886442916467786,0.13972121477127075
BALANCED_REP160,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,256,0.45736080910963595,0.21918010050431727,0.302410626783967,0.35468071699142456
BALANCED_REP160,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,256,0.39710388532845037,0.20361343817786642,0.35694538429379463,0.36446720361709595
BALANCED_REP160,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,256,0.3975888361181048,0.2178577125072556,0.16491839801892638,0.20455683767795563
BALANCED_REP160,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,256,0.420255636301213,0.21072825556621588,0.4407523814588785,0.5183680057525635
BALANCED_REP160,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,256,0.24216067750057219,0.20657357601450166,0.3065197430551052,0.36247098445892334
BALANCED_REP160,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,256,0.5664003490501258,0.2146544726565559,0.23328462336212397,0.28982335329055786
BALANCED_REP160,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,256,0.5375207427328907,0.21274580098689924,0.14987741271033883,0.19587264955043793
BALANCED_REP160,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,256,0.4518489642938887,0.20455179186538675,0.3768783174455166,0.39651018381118774
BALANCED_REP160,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,256,0.5187814717326619,0.21794843431562996,0.2048393227159977,0.25048190355300903
BALANCED_REP160,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,256,0.15458915083543143,0.22677962807939284,0.23203755170106888,0.26664724946022034
BALANCED_REP160,HVS::e813d04b-7833-4b02-b14f-0247d6128516,256,0.36460574502174403,0.2160016808658933,0.14927079109475017,0.2056395411491394
BALANCED_REP160,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,256,0.4949130235751888,0.2040221970528436,0.34214604552835226,0.3572424054145813
BALANCED_REP160,sea_ad_ang_rna_final_2026,256,0.2632431620508125,0.20702175674961035,0.18314765626564622,0.21026214957237244
BALANCED_REP160,sea_ad_caudate_rna_all_2025,256,0.4366366731517509,0.20401109382510715,0.07911831326782703,0.12024812400341034
BALANCED_REP160,sea_ad_fi_rna_final_2026,256,0.01587963492790112,0.2101069243624868,0.12632292602211237,0.16089321672916412
BALANCED_REP160,sea_ad_hip_rna_final_2026,256,0.060725423437857626,0.20603004107252587,0.12512736581265926,0.17121674120426178
BALANCED_REP160,sea_ad_itg_rna_final_2026,256,0.28791127832455937,0.20812678802759346,0.0823307225946337,0.11481569707393646
BALANCED_REP160,sea_ad_lec_rna_final_2026,256,0.10236538681620506,0.21155094876886063,0.19944501668214798,0.24701157212257385
BALANCED_REP160,sea_ad_mec_rna_final_2026,256,0.02789110780498969,0.21081746416167324,0.14708835631608963,0.1987174153327942
BALANCED_REP160,sea_ad_mtg_rna_final_2026,256,0.23744492446784154,0.20919832484797451,0.13092773593962193,0.16638605296611786
BALANCED_REP160,sea_ad_pfc_a9_rna_final_2026,256,0.09537150949874111,0.20743034007028455,0.1194526175968349,0.1681632697582245
BALANCED_REP160,sea_ad_stg_rna_final_2026,256,0.1387753204394598,0.20824223766104122,0.08168514515273273,0.12070368230342865
BALANCED_REP160,sea_ad_v1c_rna_final_2026,256,0.37180704966811623,0.21038671005517964,0.1119932783767581,0.15582546591758728
BALANCED_REP160,NPH52_exact_source_objects,246,-0.11761607180642573,0.2016499043442376,0.2312524439767003,0.18976745009422302
