status,donor_fold,matrix_id,study_id,n_cells,raw_measured_scalar_ceiling_r2,projected_global_state_recovery_r2,paired_view_identity_baseline_r2,paired_view_projected_r2,gap_to_raw_measured_scalar_ceiling
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,24,1.0,0.3223469419015267,-0.30437139888216125,0.22231637058704967,0.6776530580984733
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,24,1.0,0.3416700939267924,-0.26404187016983127,0.23626957805827287,0.6583299060732076
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,20,1.0,0.28154759689010966,-0.37950103199669694,0.19400430887302045,0.7184524031098903
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,24,1.0,0.22165496594793066,-0.4427182448345144,0.13947029710455838,0.7783450340520693
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,24,1.0,0.3488308422979607,-0.2565167922481082,0.2416940357231897,0.6511691577020393
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,24,1.0,0.4291465718985983,-0.0966965167318925,0.30500211784970455,0.5708534281014017
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,25,1.0,0.28117315471401105,-0.364530070237689,0.1848043559471636,0.718826845285989
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,24,1.0,0.2778259442751351,-0.3403697851411649,0.21020232287101936,0.7221740557248649
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,24,1.0,0.3731103082846481,-0.2328565899049453,0.25317739430163555,0.6268896917153519
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,25,1.0,0.2600015257830103,-0.3778332589818547,0.17178046945812908,0.7399984742169897
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,22,1.0,0.24347100177264858,-0.36138216578195204,0.17214786910838908,0.7565289982273514
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,24,1.0,0.3810226348334397,-0.2529052446089832,0.26511205679240646,0.6189773651665603
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,24,1.0,0.2099285548458999,-0.4763178662910188,0.14688368891621384,0.7900714451541001
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,24,1.0,0.3560482520870506,-0.2053884055820665,0.26042044244321305,0.6439517479129494
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,24,1.0,0.29328666603267584,-0.38466038876549513,0.19829687182818834,0.7067133339673242
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,24,1.0,0.35643656351227637,-0.25144865259725124,0.2396097575918168,0.6435634364877236
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,25,1.0,0.30176332692235186,-0.20362895612146303,0.21280707571447677,0.6982366730776481
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,24,1.0,0.29768734479451453,-0.3884795658960234,0.1927523788234663,0.7023126552054855
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,24,1.0,0.2632624152635509,-0.36235704042563643,0.17778426486092613,0.7367375847364491
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,23,1.0,0.3300744366075449,-0.31844503919422285,0.2230768377334469,0.6699255633924551
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,24,1.0,0.3061085256036663,-0.24641971861954715,0.22771692302220292,0.6938914743963337
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,NPH52,6,1.0,0.453237744124649,-0.15513154163233067,0.3264494518968083,0.546762255875351
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,NPH52,6,1.0,0.38043474618052064,-0.10174827437377187,0.26567731265663463,0.6195652538194794
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,NPH52,4,1.0,0.7584358369690276,0.5461021227614309,0.6390258587031806,0.2415641630309724
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,NPH52,4,1.0,0.56583389799177,0.22882848401732347,0.4576661517671151,0.43416610200823
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,NPH52,6,1.0,0.4334060471848743,-0.15729662921942023,0.32575429026444247,0.5665939528151257
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,NPH52,6,1.0,0.5141005224536337,0.01953903207446439,0.38801802333345725,0.4858994775463663
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,NPH52,6,1.0,0.5360313367900252,-0.0043325191981569144,0.39178587050318914,0.46396866320997476
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_ang_rna_final_2026,SEA_AD,26,1.0,0.39045829183267744,-0.09643445793122729,0.31952959640898015,0.6095417081673226
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_caudate_rna_all_2025,SEA_AD,26,1.0,0.42330357321543755,-0.034036794420812644,0.3559788660957969,0.5766964267845625
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_fi_rna_final_2026,SEA_AD,25,1.0,0.3253205265426533,-0.269483826023025,0.26755466654832283,0.6746794734573467
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_hip_rna_final_2026,SEA_AD,25,1.0,0.4115420709712371,-0.019890258220879087,0.33523715713711066,0.5884579290287629
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_itg_rna_final_2026,SEA_AD,26,1.0,0.3848531799337712,-0.14602601703255624,0.3015378677403999,0.6151468200662288
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_lec_rna_final_2026,SEA_AD,25,1.0,0.4096653442270597,-0.03597925421535897,0.3212089756563271,0.5903346557729403
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_mec_rna_final_2026,SEA_AD,17,1.0,0.39870259941311825,-0.031333498720184316,0.3254680091987201,0.6012974005868817
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_mtg_rna_final_2026,SEA_AD,21,1.0,0.41854341528473504,-0.10171436915810683,0.33332288021156586,0.581456584715265
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_pfc_a9_rna_final_2026,SEA_AD,22,1.0,0.4469041124618931,-0.0762684495542012,0.3560423797514156,0.5530958875381069
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_stg_rna_final_2026,SEA_AD,26,1.0,0.40811534323986187,-0.047030116226771,0.3162802322366467,0.5918846567601381
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,1,sea_ad_v1c_rna_final_2026,SEA_AD,26,1.0,0.42645771106862773,-0.019101852556446364,0.35202671177269207,0.5735422889313723
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,HVS,26,1.0,0.28951678555910665,-0.38411391511292825,0.19404646272101989,0.7104832144408934
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,HVS,26,1.0,0.35430408663418,-0.28270523685161475,0.23765088334569062,0.64569591336582
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,HVS,26,1.0,0.40626223869982303,-0.17108721607123734,0.2799182754880254,0.593737761300177
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,HVS,26,1.0,0.2825826169339295,-0.3688514816722157,0.18272241877389073,0.7174173830660705
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,HVS,26,1.0,0.3241647442133221,-0.3113633987949507,0.2183749436307253,0.6758352557866779
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,HVS,28,1.0,0.2975910400283245,-0.32881648307947353,0.19627586617101278,0.7024089599716755
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::5fff0955-173e-407d-b160-64f513ca6db6,HVS,26,1.0,0.16967395931616525,-0.5661240830200378,0.100221513797218,0.8303260406838348
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::6201fd7d-f35b-4487-bace-99426881237b,HVS,26,1.0,0.31670800047575065,-0.33040998320476356,0.21176867732404747,0.6832919995242493
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,HVS,26,1.0,0.31783257409764154,-0.351116703835078,0.2085988598299242,0.6821674259023585
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,HVS,26,1.0,0.23892637460626898,-0.4650245437226941,0.14750286364124787,0.761073625393731
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,HVS,26,1.0,0.23890494922618966,-0.4237335945794338,0.18105594232749056,0.7610950507738103
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,26,1.0,0.3393324397184717,-0.2752835069712758,0.22636641388332157,0.6606675602815283
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,26,1.0,0.2076539262691166,-0.5177097820539907,0.1297950536334208,0.7923460737308834
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,33,1.0,0.2641174707588594,-0.3121195273510837,0.19356069664989228,0.7358825292411406
STAGE81A3R_CORRECTED_REAL_TRAIN_GLOBAL_STATE_AUDIT_COMPLETE_NOT_FROZEN,2,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,26,1.0,0.3332467372236665,-0.33182042110020205,0.2213407715522363,0.6667532627763335
