nph_unresolved_identity_index,source_feature_id_raw,source_feature_symbol_raw,source_ensembl_or_gene_id,source_ncbi_gene_id,source_refseq_id,source_transcript_id,materialized_rows,source_objects,source_object_count,coordinates_present,assembly_known,biotype_present,multiple_anchors_present,no_exact_anchor_present,exact_anchor_types
52,AC005152.2,AC005152.2,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
53,AC005159.1,AC005159.1,,,,,4,ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,4,False,False,False,False,True,
54,AC005161.1,AC005161.1,,,,,4,Astro_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,4,False,False,False,False,True,
55,AC005215.1,AC005215.1,,,,,6,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,6,False,False,False,False,True,
56,AC005229.1,AC005229.1,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
57,AC005288.1,AC005288.1,,,,,6,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,6,False,False,False,False,True,
58,AC005370.1,AC005370.1,,,,,6,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,6,False,False,False,False,True,
59,AC005488.1,AC005488.1,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
60,AC005493.1,AC005493.1,,,,,1,ExN_data_arranged_updatedId_final_batches.qs,1,False,False,False,False,True,
61,AC005549.3,AC005549.3,,,,,4,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs,4,False,False,False,False,True,
62,AC005559.2,AC005559.2,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
63,AC005609.1,AC005609.1,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
64,AC005631.1,AC005631.1,,,,,5,Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,5,False,False,False,False,True,
65,AC005682.8,AC005682.8,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
66,AC005702.1,AC005702.1,,,,,7,Astro_data_arranged_updatedId_final_batches.qs|Endo_data_arranged_updatedId_final_batches.qs|ExN_data_arranged_updatedId_final_batches.qs|InN_data_arranged_updatedId_final_batches.qs|MG_data_arranged_updatedId_final_batches.qs|OPC_data_arranged_updatedId_final_batches.qs|Oligo_data_arranged_updatedId_final_batches.qs,7,False,False,False,False,True,
