matrix_id,dataset_id,study_id,n_bounded_train_cells,technology,tissue,library_size_min,library_size_p01,library_size_p10,library_size_p25,library_size_median,library_size_p75,library_size_p90,library_size_p99,library_size_max,detected_genes_min,detected_genes_p01,detected_genes_p10,detected_genes_p25,detected_genes_median,detected_genes_p75,detected_genes_p90,detected_genes_p99,detected_genes_max,zero_fraction_min,zero_fraction_p01,zero_fraction_p10,zero_fraction_p25,zero_fraction_median,zero_fraction_p75,zero_fraction_p90,zero_fraction_p99,zero_fraction_max,normalized_nonzero_min,normalized_nonzero_p01,normalized_nonzero_p10,normalized_nonzero_p25,normalized_nonzero_median,normalized_nonzero_p75,normalized_nonzero_p90,normalized_nonzero_p99,normalized_nonzero_max
HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,HVS,512,10x 3' v3,neocortex,3711.0,5974.13,13789.7,18491.25,25975.0,38402.0,57458.5,80851.67999999998,107367.0,1224.0,1754.06,2502.2,2835.75,3155.5,3482.25,3672.9,3820.7799999999997,3913.0,0.044677734375,0.0671923828125,0.1032958984375,0.14984130859375,0.2296142578125,0.30767822265625,0.38911132812500004,0.5717626953124995,0.701171875,0.5442447662353516,0.5578614777326584,0.5964641690254211,0.6366856694221497,0.7005434036254883,0.7872433066368103,0.8798331141471863,1.1504775929450988,1.6352078914642334
HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,HVS,512,10x 3' v3,neocortex,1392.0,1947.39,5064.8,7070.25,10583.5,16359.5,23478.2,35795.62999999999,51505.0,592.0,822.86,1565.4,1864.5,2277.0,2671.25,2976.6000000000004,3379.1299999999997,3594.0,0.12255859375,0.17501708984375,0.273291015625,0.34783935546875,0.444091796875,0.5447998046875,0.6178222656250001,0.7991064453124996,0.85546875,0.574714720249176,0.6375803500413895,0.7380615532398224,0.8263465464115143,0.9254476726055145,1.0924176275730133,1.2064801931381226,1.8154231107234935,2.1021697521209717
HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,HVS,512,10x 3' v3,neocortex,1235.0,1387.52,2112.2,2828.5,4452.0,7032.0,10159.900000000001,21114.429999999982,47725.0,464.0,529.98,733.1,938.25,1267.0,1632.75,1987.6000000000004,3128.4199999999973,3674.0,0.10302734375,0.2362255859375,0.51474609375,0.60137939453125,0.690673828125,0.77093505859375,0.8210205078125,0.8706103515624999,0.88671875,0.48772159218788147,0.705856705904007,0.948990672826767,1.085275799036026,1.2803060412406921,1.5182933509349823,1.7512691020965578,2.1050252914428706,2.207962989807129
HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,HVS,512,10x 3' v3,neocortex,2527.0,4140.42,9435.9,12839.5,18162.0,25254.5,35333.600000000006,53431.189999999995,75412.0,1043.0,1353.75,2154.7,2528.0,2868.0,3187.5,3424.4,3705.24,3834.0,0.06396484375,0.095400390625,0.16396484375,0.2218017578125,0.2998046875,0.3828125,0.47395019531250004,0.6694946289062499,0.745361328125,0.571825385093689,0.6050434339046479,0.6744347751140595,0.716434121131897,0.7975891530513763,0.9200459122657776,1.0615604400634766,1.3633847379684443,1.600853443145752
HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,HVS,512,10x 3' v3,neocortex,1296.0,1760.67,2781.9,3568.5,4884.5,7594.5,12325.000000000005,33668.93999999996,47333.0,585.0,706.76,1009.4,1192.25,1480.5,1864.75,2279.8,3365.0199999999995,3605.0,0.119873046875,0.1784619140625,0.443408203125,0.54473876953125,0.6385498046875,0.70892333984375,0.7535644531250001,0.827451171875,0.857177734375,0.5706284642219543,0.681284516453743,0.9012298047542572,1.0128184854984283,1.1919388175010681,1.347288578748703,1.5248963952064516,1.8992076945304865,2.165166139602661
HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,HVS,512,10x 3' v3,neocortex,1368.0,2243.81,4089.8,5482.25,8210.0,12812.5,17330.0,38999.87999999999,49346.0,563.0,776.44,1197.4,1463.0,1812.0,2200.5,2461.7000000000003,3346.45,3675.0,0.102783203125,0.18299560546875,0.3989990234375,0.4627685546875,0.5576171875,0.642822265625,0.7076660156250001,0.810439453125,0.862548828125,0.6044173240661621,0.6629061990976334,0.7896955370903015,0.866231381893158,0.9930493235588074,1.1340986490249634,1.2780969142913818,1.697109341621398,2.117452621459961
HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,HVS,512,10x 3' v3,neocortex,1423.0,1843.2,6785.4,9929.5,14920.5,21496.0,27918.400000000005,45960.87999999999,53940.0,648.0,771.0,1829.7,2224.0,2629.5,2957.0,3166.0,3524.2599999999993,3620.0,0.1162109375,0.1395849609375,0.22705078125,0.278076171875,0.3580322265625,0.45703125,0.5532958984375,0.811767578125,0.841796875,0.5547839403152466,0.6143400394916535,0.6900020718574524,0.7604601383209229,0.8530543446540833,0.9974568039178848,1.1649836063385015,1.860891201496123,2.0828616619110107
HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,HVS,512,10x 3' v3,neocortex,3250.0,4488.35,10903.7,15524.0,22751.5,35173.25,51859.90000000001,96551.53999999994,119206.0,1237.0,1457.53,2318.1,2689.5,3070.0,3396.0,3626.8,3895.68,3983.0,0.027587890625,0.04890625,0.11455078125,0.1708984375,0.25048828125,0.3433837890625,0.4340576171875,0.64415771484375,0.697998046875,0.5205616354942322,0.5518780189752579,0.6160720229148865,0.6598467081785202,0.7294327020645142,0.8387986123561859,0.9983001410961152,1.2266863679885864,1.670531988143921
HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,HVS,512,10x 3' v3,neocortex,1331.0,1415.07,1803.2,2265.75,3009.5,4363.0,7191.600000000002,26159.889999999978,29770.0,501.0,534.11,640.1,750.5,966.0,1271.25,1670.2000000000003,3068.3599999999997,3390.0,0.17236328125,0.250888671875,0.592236328125,0.68963623046875,0.76416015625,0.8167724609375,0.8437255859375,0.86960205078125,0.877685546875,0.6853885054588318,0.7508076328039169,1.0644677877426147,1.2315889298915863,1.466083288192749,1.6889049708843231,1.8788079142570495,2.087787890434265,2.1416118144989014
HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,HVS,512,10x 3' v3,neocortex,3182.0,3927.64,8299.7,11136.5,16781.5,23599.5,33167.10000000001,48438.989999999976,60542.0,1213.0,1325.06,2050.1,2357.25,2771.5,3085.0,3323.4,3594.7799999999997,3674.0,0.10302734375,0.1223681640625,0.188623046875,0.246826171875,0.3233642578125,0.42449951171875,0.4994873046875,0.6764990234374999,0.703857421875,0.5923863649368286,0.6027149534225464,0.6788901686668396,0.7443220317363739,0.8276825249195099,0.9867266714572906,1.1487598776817325,1.3369860398769378,1.421342372894287
HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,HVS,512,10x 3' v3,neocortex,1257.0,1848.96,5422.8,8439.5,12267.0,19581.25,24824.200000000004,43027.729999999996,94547.0,603.0,788.08,1568.9,1978.5,2379.5,2802.0,3066.8,3486.1299999999997,3781.0,0.076904296875,0.14889404296875,0.25126953125,0.31591796875,0.4190673828125,0.5169677734375,0.6169677734375002,0.8075976562499999,0.852783203125,0.5540992021560669,0.5926054698228836,0.6726209938526153,0.7697856277227402,0.8944081962108612,1.060347080230713,1.192821705341339,1.8576347494125365,2.1922621726989746
HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,HVS,512,10x 3' v3,neocortex,1396.0,2613.85,5984.5,9459.25,13938.0,20853.75,27710.900000000005,42235.909999999996,48265.0,684.0,935.0500000000001,1661.0,2059.75,2473.0,2854.25,3056.0,3415.399999999999,3561.0,0.130615234375,0.166162109375,0.25390625,0.30316162109375,0.396240234375,0.49713134765625,0.5944824218750001,0.7717163085937498,0.8330078125,0.5639245510101318,0.6042057359218598,0.6658828854560852,0.7475405782461166,0.8537497222423553,1.0116611421108246,1.1559116005897523,1.5739794826507567,2.099651336669922
HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,HVS,508,10x 3' v3,neocortex,1349.0,1470.82,2147.7,2968.0,4477.5,7579.25,13673.700000000013,73997.47000000002,138135.0,490.0,546.19,737.4,944.0,1256.0,1652.0,2375.5000000000005,3720.55,3828.0,0.0654296875,0.09166259765625,0.4200439453125,0.5966796875,0.693359375,0.76953125,0.819970703125,0.86665283203125,0.88037109375,0.4067022502422333,0.5284302145242691,0.8297669649124145,1.0503884851932526,1.2759152054786682,1.489915668964386,1.7327450037002563,2.0539962697029113,2.1297659873962402
NPH52_exact_source_objects,NPH52,NPH52,246,snRNA-seq,brain / NOT FURTHER PROVIDED,848.0,1141.7,2923.0,4521.5,8968.5,16546.75,38234.5,80694.3000000001,110482.0,380.0,421.5,878.0,1257.0,1901.5,2589.25,3539.5,3874.6000000000004,3999.0,0.023681640625,0.054052734375,0.1358642578125,0.36785888671875,0.5357666015625,0.693115234375,0.78564453125,0.8970947265625001,0.9072265625,0.5117272734642029,0.5554054707288743,0.6424871683120728,0.7846682518720627,1.02890545129776,1.24687659740448,1.5514334440231323,2.2783746957778934,2.5488553047180176
sea_ad_ang_rna_final_2026,sea_ad_ang_rna_final_2026,SEA_AD,512,10xMulti,AnG,476.0,812.33,3009.9,5627.0,11804.0,25374.75,47782.8,87115.26,102039.0,256.0,390.98,991.7,1460.0,2228.0,3025.5,3478.5,3784.67,3854.0,0.05908203125,0.07600830078125,0.1507568359375,0.2613525390625,0.4560546875,0.6435546875,0.7578857421875,0.9045458984374999,0.9375,0.5030549168586731,0.5491253536939621,0.6179894924163818,0.7197575867176056,0.910717636346817,1.1958014965057373,1.4928228139877324,2.5885363960266115,3.0914244651794434
sea_ad_caudate_rna_all_2025,sea_ad_caudate_rna_all_2025,SEA_AD,512,UNKNOWN / NOT PROVIDED,Human CaH,449.0,834.07,2540.2000000000003,9054.75,26110.5,45609.75,64706.60000000002,104658.52999999998,382005.0,245.0,421.33,989.9,1911.75,3023.5,3444.0,3651.7000000000003,3829.89,4063.0,0.008056640625,0.06496826171875,0.1084716796875,0.1591796875,0.2618408203125,0.53326416015625,0.7583251953125002,0.89713623046875,0.940185546875,0.470572829246521,0.5179390120506286,0.5659614264965057,0.6114504486322403,0.7026999294757843,0.984727531671524,1.5967145442962651,2.564227242469787,3.1472387313842773
sea_ad_fi_rna_final_2026,sea_ad_fi_rna_final_2026,SEA_AD,512,10xMulti,FI,200.0,583.11,2455.0,4645.25,10240.0,21924.25,37304.70000000001,71871.65,124452.0,114.0,295.66,849.7,1291.0,2116.0,2931.0,3375.8,3749.56,3937.0,0.038818359375,0.084580078125,0.175830078125,0.284423828125,0.4833984375,0.684814453125,0.7925537109375002,0.9278173828125,0.97216796875,0.49641314148902893,0.5566168367862702,0.6364670872688294,0.7323579490184784,0.951006144285202,1.2527453303337097,1.6240067481994633,2.8986389350891115,3.931825637817383
sea_ad_hip_rna_final_2026,sea_ad_hip_rna_final_2026,SEA_AD,512,10xMulti,HIP,653.0,1171.3000000000002,3711.9,7417.25,21317.0,44598.75,76885.90000000001,148786.09,248153.0,316.0,523.61,1125.5,1604.75,2787.5,3356.0,3717.8,3916.67,3979.0,0.028564453125,0.04378173828125,0.092333984375,0.1806640625,0.3194580078125,0.60821533203125,0.7252197265625,0.8721655273437499,0.9228515625,0.4347829222679138,0.4813346788287163,0.542749685049057,0.6051298081874847,0.7217654585838318,1.0872763097286224,1.3655953884124759,2.258598747253415,2.7920196056365967
sea_ad_itg_rna_final_2026,sea_ad_itg_rna_final_2026,SEA_AD,512,10xV3.1_HT,ITG,904.0,1690.0900000000001,4998.1,10444.0,21478.5,38756.75,62843.70000000004,114448.51999999997,251977.0,418.0,724.42,1461.2,2150.5,2952.5,3442.25,3728.9,3949.79,4045.0,0.012451171875,0.03569580078125,0.0896240234375,0.15960693359375,0.2791748046875,0.4749755859375,0.64326171875,0.8231396484375,0.89794921875,0.5156130194664001,0.5297658866643906,0.5814229547977448,0.630490705370903,0.7289195358753204,0.9676385521888733,1.191556036472321,1.9347136414051043,2.490055561065674
sea_ad_lec_rna_final_2026,sea_ad_lec_rna_final_2026,SEA_AD,512,10xMulti,LEC,246.0,941.36,3232.0,6338.0,15647.5,36549.75,58097.20000000001,116184.04,148041.0,126.0,416.72,973.1,1494.25,2558.5,3305.5,3589.5,3831.0099999999998,3906.0,0.04638671875,0.06469482421875,0.1236572265625,0.1929931640625,0.3753662109375,0.63519287109375,0.7624267578125,0.8982617187499998,0.96923828125,0.4714599847793579,0.49985925227403644,0.574179184436798,0.6508150994777679,0.8288597464561462,1.1669965386390686,1.4634522557258611,2.4532837867736808,3.729311227798462
sea_ad_mec_rna_final_2026,sea_ad_mec_rna_final_2026,SEA_AD,512,10Xv3.1,MEC,1372.0,2036.76,4715.9,8171.75,18351.5,40565.25,70973.80000000003,148902.35,217113.0,531.0,835.3,1403.5,1857.75,2777.0,3498.0,3800.9,3990.45,4024.0,0.017578125,0.02576904296875,0.0720458984375,0.14599609375,0.322021484375,0.54644775390625,0.6573486328125,0.7960693359375,0.870361328125,0.4826563894748688,0.5151685774326324,0.5693014860153198,0.6326451152563095,0.7848802506923676,0.9981457740068436,1.1975943565368652,1.776607904434204,2.114884614944458
sea_ad_mtg_rna_final_2026,sea_ad_mtg_rna_final_2026,SEA_AD,512,10Xv3.1,MTG,1626.0,2783.53,5489.9,9904.75,18980.0,33634.75,57284.90000000001,112208.95999999992,201549.0,655.0,964.55,1501.9,2024.5,2798.0,3358.0,3665.0,3930.67,3984.0,0.02734375,0.04036376953125,0.105224609375,0.18017578125,0.31689453125,0.5057373046875,0.6333251953125001,0.76451416015625,0.840087890625,0.49774307012557983,0.5417242163419723,0.5993267476558686,0.6516641080379486,0.7687290012836456,0.9887505322694778,1.2096730470657349,1.5244408726692198,1.9671210050582886
sea_ad_pfc_a9_rna_final_2026,sea_ad_pfc_a9_rna_final_2026,SEA_AD,512,10Xv3.1,DFC,717.0,1717.57,5311.2,9675.5,19887.5,38417.25,58936.40000000003,134341.43999999992,226271.0,304.0,578.83,1433.2,2032.25,2887.0,3456.25,3701.8,3959.5899999999997,4021.0,0.018310546875,0.03330322265625,0.096240234375,0.15618896484375,0.295166015625,0.50384521484375,0.65009765625,0.8586840820312495,0.92578125,0.5202495455741882,0.5424604117870331,0.5824897587299347,0.6310119032859802,0.7477615177631378,0.9954108595848083,1.2075239062309266,1.9202986371517177,2.7045106887817383
sea_ad_stg_rna_final_2026,sea_ad_stg_rna_final_2026,SEA_AD,512,10xV3.1_HT,STG,1560.0,2275.5,6723.0,12866.5,28134.5,50963.25,79376.20000000001,149786.65999999997,236850.0,715.0,901.29,1653.0,2289.0,3165.0,3601.25,3816.6000000000004,3980.7799999999997,4026.0,0.01708984375,0.0281298828125,0.068212890625,0.12078857421875,0.227294921875,0.441162109375,0.596435546875,0.7799584960937499,0.825439453125,0.4920279085636139,0.515240490436554,0.5621961057186127,0.6064508408308029,0.6931997537612915,0.8974575400352478,1.1419739484786988,1.6854281759262082,2.0028650760650635
sea_ad_v1c_rna_final_2026,sea_ad_v1c_rna_final_2026,SEA_AD,512,10xV3.1_HT,V1C,704.0,1976.22,5624.2,11558.0,22794.0,36772.75,52661.000000000015,102010.26999999999,142765.0,343.0,734.43,1522.5,2192.75,2932.0,3378.75,3592.6000000000004,3906.24,3954.0,0.03466796875,0.046328125,0.122900390625,0.17510986328125,0.2841796875,0.46466064453125,0.6282958984375,0.8206958007812499,0.916259765625,0.5343708395957947,0.559675155878067,0.6062429010868072,0.6542705744504929,0.7588131725788116,0.9374730587005615,1.1596994042396547,1.8017371475696564,2.7215943336486816
