source_dataset_id,source_feature_index,source_feature_id_raw,source_feature_symbol_raw,previous_canonical_ensembl_id,authoritative_canonical_ensembl_id,comparison_class,mapping_evidence_class,terminal_disposition,affects_frozen_4096_gene,automatic_frozen_vocabulary_rewrite_allowed,identity_change_classification,one_to_one_identity_continuity,human_a2r_decision_required,frozen_canonical_ensembl_id,vocabulary_index,canonical_ensembl_gene_id,canonical_hgnc_symbol,source_object_or_matrix,raw_source_feature_id,raw_source_feature_symbol,source_exact_ensembl_id,source_chromosome,source_start,source_end,source_strand,source_biotype,source_ncbi_gene_id,ensembl_history_replacements,terminal_reason,mapping_evidence_class_source,terminal_disposition_source,history_transition_type,frozen_artifact_modified,proposed_model_role
SEA_AD_COMMON,19259,19259,AC034187.1,ENSG00000224884,ENSG00000227110,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000227110,2292,ENSG00000227110,LMCD1-AS1,SEA_AD_COMMON,19259,AC034187.1,ENSG00000224884,,,,,,,ENSG00000227110,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
SEA_AD_COMMON,25304,25304,AC112722.1,ENSG00000250410,ENSG00000109762,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000109762,2412,ENSG00000109762,SNX25,SEA_AD_COMMON,25304,AC112722.1,ENSG00000250410,,,,,,,ENSG00000109762,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Astro_data_arranged_updatedId_final_batches.qs,6455,6455,DGCR5,ENSG00000273032,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000273032,2502,ENSG00000273032,DGCR5,NPH52::Astro_data_arranged_updatedId_final_batches.qs,6455,DGCR5,ENSG00000283406,22,18970525,19031242,+,processed_transcript,26220,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Endo_data_arranged_updatedId_final_batches.qs,4905,4905,DGCR5,ENSG00000273032,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000273032,2502,ENSG00000273032,DGCR5,NPH52::Endo_data_arranged_updatedId_final_batches.qs,4905,DGCR5,ENSG00000283406,22,18970525,19031242,+,processed_transcript,26220,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::ExN_data_arranged_updatedId_final_batches.qs,7645,7645,DGCR5,ENSG00000273032,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000273032,2502,ENSG00000273032,DGCR5,NPH52::ExN_data_arranged_updatedId_final_batches.qs,7645,DGCR5,ENSG00000283406,22,18970525,19031242,+,processed_transcript,26220,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::InN_data_arranged_updatedId_final_batches.qs,6830,6830,DGCR5,ENSG00000273032,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000273032,2502,ENSG00000273032,DGCR5,NPH52::InN_data_arranged_updatedId_final_batches.qs,6830,DGCR5,ENSG00000283406,22,18970525,19031242,+,processed_transcript,26220,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::MG_data_arranged_updatedId_final_batches.qs,5857,5857,DGCR5,ENSG00000273032,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000273032,2502,ENSG00000273032,DGCR5,NPH52::MG_data_arranged_updatedId_final_batches.qs,5857,DGCR5,ENSG00000283406,22,18970525,19031242,+,processed_transcript,26220,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::OPC_data_arranged_updatedId_final_batches.qs,6040,6040,DGCR5,ENSG00000273032,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000273032,2502,ENSG00000273032,DGCR5,NPH52::OPC_data_arranged_updatedId_final_batches.qs,6040,DGCR5,ENSG00000283406,22,18970525,19031242,+,processed_transcript,26220,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Oligo_data_arranged_updatedId_final_batches.qs,7305,7305,DGCR5,ENSG00000273032,,LEGITIMATE_ID_CORRECTION,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,True,False,SYMBOL_ONLY,False,True,ENSG00000273032,2502,ENSG00000273032,DGCR5,NPH52::Oligo_data_arranged_updatedId_final_batches.qs,7305,DGCR5,ENSG00000283406,22,18970525,19031242,+,processed_transcript,26220,,exact historical source Ensembl ID has no unique current projection,LEGACY_ENSEMBL_EXACT,LEGACY_EXACT_ENSEMBL_NO_CURRENT_REPLACEMENT,,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Astro_data_arranged_updatedId_final_batches.qs,24790,24790,UPP2-IT1,ENSG00000237327,ENSG00000007001,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000007001,2886,ENSG00000007001,UPP2,NPH52::Astro_data_arranged_updatedId_final_batches.qs,24790,UPP2-IT1,ENSG00000237327,2,158127957,158133988,+,sense_intronic,NA,ENSG00000007001,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Endo_data_arranged_updatedId_final_batches.qs,31470,31470,UPP2-IT1,ENSG00000237327,ENSG00000007001,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000007001,2886,ENSG00000007001,UPP2,NPH52::Endo_data_arranged_updatedId_final_batches.qs,31470,UPP2-IT1,ENSG00000237327,2,158127957,158133988,+,sense_intronic,NA,ENSG00000007001,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::ExN_data_arranged_updatedId_final_batches.qs,29682,29682,UPP2-IT1,ENSG00000237327,ENSG00000007001,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000007001,2886,ENSG00000007001,UPP2,NPH52::ExN_data_arranged_updatedId_final_batches.qs,29682,UPP2-IT1,ENSG00000237327,2,158127957,158133988,+,sense_intronic,NA,ENSG00000007001,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::InN_data_arranged_updatedId_final_batches.qs,31867,31867,UPP2-IT1,ENSG00000237327,ENSG00000007001,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000007001,2886,ENSG00000007001,UPP2,NPH52::InN_data_arranged_updatedId_final_batches.qs,31867,UPP2-IT1,ENSG00000237327,2,158127957,158133988,+,sense_intronic,NA,ENSG00000007001,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::MG_data_arranged_updatedId_final_batches.qs,33278,33278,UPP2-IT1,ENSG00000237327,ENSG00000007001,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000007001,2886,ENSG00000007001,UPP2,NPH52::MG_data_arranged_updatedId_final_batches.qs,33278,UPP2-IT1,ENSG00000237327,2,158127957,158133988,+,sense_intronic,NA,ENSG00000007001,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::OPC_data_arranged_updatedId_final_batches.qs,28832,28832,UPP2-IT1,ENSG00000237327,ENSG00000007001,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000007001,2886,ENSG00000007001,UPP2,NPH52::OPC_data_arranged_updatedId_final_batches.qs,28832,UPP2-IT1,ENSG00000237327,2,158127957,158133988,+,sense_intronic,NA,ENSG00000007001,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Oligo_data_arranged_updatedId_final_batches.qs,28349,28349,UPP2-IT1,ENSG00000237327,ENSG00000007001,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000007001,2886,ENSG00000007001,UPP2,NPH52::Oligo_data_arranged_updatedId_final_batches.qs,28349,UPP2-IT1,ENSG00000237327,2,158127957,158133988,+,sense_intronic,NA,ENSG00000007001,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
SEA_AD_COMMON,23271,23271,UPP2-IT1,ENSG00000237327,ENSG00000007001,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000007001,2886,ENSG00000007001,UPP2,SEA_AD_COMMON,23271,UPP2-IT1,ENSG00000237327,,,,,,,ENSG00000007001,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Astro_data_arranged_updatedId_final_batches.qs,1012,1012,AC092620.2,ENSG00000260059,ENSG00000144228,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000144228,2995,ENSG00000144228,SPOPL,NPH52::Astro_data_arranged_updatedId_final_batches.qs,1012,AC092620.2,ENSG00000241772,2,138569090,138574458,+,3prime_overlapping_ncRNA,NA,ENSG00000144228,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Endo_data_arranged_updatedId_final_batches.qs,20304,20304,AC092620.2,ENSG00000260059,ENSG00000144228,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000144228,2995,ENSG00000144228,SPOPL,NPH52::Endo_data_arranged_updatedId_final_batches.qs,20304,AC092620.2,ENSG00000241772,2,138569090,138574458,+,3prime_overlapping_ncRNA,NA,ENSG00000144228,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::ExN_data_arranged_updatedId_final_batches.qs,1354,1354,AC092620.2,ENSG00000260059,ENSG00000144228,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000144228,2995,ENSG00000144228,SPOPL,NPH52::ExN_data_arranged_updatedId_final_batches.qs,1354,AC092620.2,ENSG00000241772,2,138569090,138574458,+,3prime_overlapping_ncRNA,NA,ENSG00000144228,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::InN_data_arranged_updatedId_final_batches.qs,1098,1098,AC092620.2,ENSG00000260059,ENSG00000144228,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000144228,2995,ENSG00000144228,SPOPL,NPH52::InN_data_arranged_updatedId_final_batches.qs,1098,AC092620.2,ENSG00000241772,2,138569090,138574458,+,3prime_overlapping_ncRNA,NA,ENSG00000144228,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::MG_data_arranged_updatedId_final_batches.qs,850,850,AC092620.2,ENSG00000260059,ENSG00000144228,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000144228,2995,ENSG00000144228,SPOPL,NPH52::MG_data_arranged_updatedId_final_batches.qs,850,AC092620.2,ENSG00000241772,2,138569090,138574458,+,3prime_overlapping_ncRNA,NA,ENSG00000144228,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::OPC_data_arranged_updatedId_final_batches.qs,941,941,AC092620.2,ENSG00000260059,ENSG00000144228,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000144228,2995,ENSG00000144228,SPOPL,NPH52::OPC_data_arranged_updatedId_final_batches.qs,941,AC092620.2,ENSG00000241772,2,138569090,138574458,+,3prime_overlapping_ncRNA,NA,ENSG00000144228,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Oligo_data_arranged_updatedId_final_batches.qs,1267,1267,AC092620.2,ENSG00000260059,ENSG00000144228,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000144228,2995,ENSG00000144228,SPOPL,NPH52::Oligo_data_arranged_updatedId_final_batches.qs,1267,AC092620.2,ENSG00000241772,2,138569090,138574458,+,3prime_overlapping_ncRNA,NA,ENSG00000144228,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
SEA_AD_COMMON,23933,23933,AC092620.1,ENSG00000241772,ENSG00000144228,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000144228,2995,ENSG00000144228,SPOPL,SEA_AD_COMMON,23933,AC092620.1,ENSG00000241772,,,,,,,ENSG00000144228,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Astro_data_arranged_updatedId_final_batches.qs,23613,23613,TIAF1,ENSG00000221995,ENSG00000196535,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000196535,3016,ENSG00000196535,MYO18A,NPH52::Astro_data_arranged_updatedId_final_batches.qs,23613,TIAF1,ENSG00000221995,17,29073521,29078857,-,protein_coding,9220,ENSG00000196535,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::Endo_data_arranged_updatedId_final_batches.qs,17937,17937,TIAF1,ENSG00000221995,ENSG00000196535,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000196535,3016,ENSG00000196535,MYO18A,NPH52::Endo_data_arranged_updatedId_final_batches.qs,17937,TIAF1,ENSG00000221995,17,29073521,29078857,-,protein_coding,9220,ENSG00000196535,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
NPH52::ExN_data_arranged_updatedId_final_batches.qs,28415,28415,TIAF1,ENSG00000221995,ENSG00000196535,LEGITIMATE_ID_CORRECTION,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,True,False,HISTORICAL_ID_SAME_GENE,True,False,ENSG00000196535,3016,ENSG00000196535,MYO18A,NPH52::ExN_data_arranged_updatedId_final_batches.qs,28415,TIAF1,ENSG00000221995,17,29073521,29078857,-,protein_coding,9220,ENSG00000196535,official Ensembl history has exactly one release-116 current replacement,SOURCE_EXACT,EXACT_HISTORICAL_ENSEMBL_TO_CURRENT,one_to_one_stable_continuation,False,HUMAN_A2R_IDENTITY_REVIEW_ONLY
