coverage_1_96sigma,coverage_1sigma,diagonalized_nll,family,joint_scale,measured_genes,median_logdet,median_trace,nll,panel,prior_nll,standardized_variance,uncertainty_error_spearman,view
0.939697265625,0.865740954875946,0.7003318667411804,RANDOM_STRUCTURAL,0.9046953916549683,819,-214.7201690673828,42.89189910888672,0.7003502249717712,P20,0.744861900806427,0.7372647523880005,0.09975671768188477,2
1.0,1.0,0.1656929850578308,RANDOM_STRUCTURAL,0.0032937475480139256,4096,-241.54571533203125,35.893836975097656,0.16583657264709473,FULL,0.3114178478717804,3.940637907362543e-05,-0.9996473789215088,3
0.999987781047821,0.982250988483429,0.2532891035079956,RANDOM_STRUCTURAL,0.15538766980171204,3277,-237.86119079589844,36.761993408203125,0.25339409708976746,P80,0.37271785736083984,0.1182408556342125,0.08053833246231079,3
0.988037109375,0.917980968952179,0.36942213773727417,RANDOM_STRUCTURAL,0.356447696685791,2458,-232.87844848632812,37.9811897277832,0.369494765996933,P60,0.4647970199584961,0.2859777510166168,0.10275240242481232,3
0.962841808795929,0.876391589641571,0.5207434296607971,RANDOM_STRUCTURAL,0.6145873069763184,1638,-225.76722717285156,39.812950134277344,0.5207857489585876,P40,0.591831386089325,0.4981870651245117,0.11397121846675873,3
0.9390624761581421,0.865252673625946,0.7022004127502441,RANDOM_STRUCTURAL,0.9083206653594971,819,-214.70018005371094,42.89776611328125,0.7022193670272827,P20,0.7466538548469543,0.7409243583679199,0.11600722372531891,3
1.0,1.0,0.20060698688030243,COHERENT_STRUCTURAL,0.0036482815630733967,4096,-230.42922973632812,38.34185791015625,0.20076535642147064,FULL,0.4079236686229706,4.24659920099657e-05,-0.998725414276123,0
0.998522937297821,0.9438110589981079,0.3459886610507965,COHERENT_STRUCTURAL,0.2664448320865631,3277,-225.97412109375,39.46922302246094,0.3460876941680908,P80,0.502352237701416,0.19126848876476288,0.09874741733074188,0
0.98388671875,0.906146228313446,0.45001882314682007,COHERENT_STRUCTURAL,0.43640023469924927,2458,-219.87997436523438,41.077049255371094,0.45010116696357727,P60,0.5895645022392273,0.3137829005718231,0.06729830056428909,0
0.968029797077179,0.8930908441543579,0.5559661388397217,COHERENT_STRUCTURAL,0.5931153893470764,1638,-211.05441284179688,43.55875778198242,0.5560242533683777,P40,0.6715530157089233,0.43730634450912476,0.07588633894920349,0
0.9532104730606079,0.888317883014679,0.6871619820594788,COHERENT_STRUCTURAL,0.7650987505912781,819,-196.5982666015625,48.13706970214844,0.6871880292892456,P20,0.7663997411727905,0.5562543869018555,0.06711619347333908,0
1.0,1.0,0.20060698688030243,COHERENT_STRUCTURAL,0.0036482815630733967,4096,-230.42922973632812,38.34185791015625,0.20076535642147064,FULL,0.4079236686229706,4.24659920099657e-05,-0.998725414276123,1
0.99871826171875,0.947894275188446,0.340511679649353,COHERENT_STRUCTURAL,0.25552481412887573,3277,-225.97677612304688,39.46855163574219,0.34061914682388306,P80,0.5002631545066833,0.190922811627388,0.11605541408061981,1
0.9839111566543579,0.9114440679550171,0.44366544485092163,COHERENT_STRUCTURAL,0.4236818850040436,2458,-219.8796844482422,41.077117919921875,0.4437478184700012,P60,0.5863454937934875,0.3081490993499756,0.06570866703987122,1
0.9672607183456421,0.8954833745956421,0.5544098019599915,COHERENT_STRUCTURAL,0.5899262428283691,1638,-211.0449676513672,43.56149673461914,0.5544686317443848,P40,0.6699933409690857,0.43744802474975586,0.07516984641551971,1
0.953033447265625,0.8870788812637329,0.6896507143974304,COHERENT_STRUCTURAL,0.7700745463371277,819,-196.5960235595703,48.137840270996094,0.6896775960922241,P20,0.7664037346839905,0.5574475526809692,0.0778488740324974,1
1.0,1.0,0.20060698688030243,COHERENT_STRUCTURAL,0.0036482815630733967,4096,-230.42922973632812,38.34185791015625,0.20076535642147064,FULL,0.4079236686229706,4.24659920099657e-05,-0.998725414276123,2
0.998486340045929,0.943371593952179,0.35073453187942505,COHERENT_STRUCTURAL,0.27598801255226135,3277,-225.9813690185547,39.46738815307617,0.35082849860191345,P80,0.5069551467895508,0.19659581780433655,0.06925971806049347,2
0.9839111566543579,0.90911865234375,0.446015328168869,COHERENT_STRUCTURAL,0.42838430404663086,2458,-219.88072204589844,41.07683563232422,0.4460951089859009,P60,0.5867170095443726,0.3095342814922333,0.08409992605447769,2
0.9676574468612671,0.8953186273574829,0.5549291372299194,COHERENT_STRUCTURAL,0.5909618735313416,1638,-211.04364013671875,43.5618782043457,0.5549874901771545,P40,0.6709262132644653,0.4349532723426819,0.08674945682287216,2
