conditional_fraction,conditional_variance,coordinate,empirical_predictable_fraction,excess_kurtosis,family,fraction_within_1_96_sigma,fraction_within_one_sigma,measurement_noise_variance,noise_fraction,prior_variance,severe_non_gaussian,skewness,standardized_error_mean,standardized_error_variance,view
0.009335127796452982,0.0014429737639252175,16,0.990664872203547,0.3135768805422465,RANDOM_40,0.31640625,0.162109375,0.014805084164209935,0.09577953263279473,0.15457461273036846,False,0.18885266092584496,0.23825911338760664,29.352109815344726,0
0.011490468974521603,0.0020071751172870823,17,0.9885095310254784,0.42283253573311974,RANDOM_40,0.279296875,0.1484375,0.017484676208026767,0.10009446996803929,0.17468174029603953,False,0.025326781884344285,-0.02742553178338969,28.5707379099458,0
0.011457918628589235,0.0018805294681888132,18,0.9885420813714108,0.20117161809716055,RANDOM_40,0.271484375,0.15625,0.019009621670774697,0.11582413461129232,0.16412487548101523,False,-0.12225810241225564,-0.36907171475503375,34.09419615159694,0
0.013651463442378742,0.002054081654199725,19,0.9863485365576212,0.3337835426773581,RANDOM_40,0.24609375,0.12890625,0.020673432491776805,0.1373960023998805,0.15046604071935346,False,0.062485756316021865,0.19196284404547326,34.359382179330815,0
0.01476018908835874,0.00236319966340603,20,0.9852398109116413,0.9794133978445565,RANDOM_40,0.263671875,0.140625,0.022828999473306782,0.14258649158674824,0.16010632717909212,False,-0.07781143707507175,-0.0163288200548287,34.74234927771985,0
0.016947617984367034,0.0028445746811566947,21,0.9830523820156329,0.7261749639668369,RANDOM_40,0.3125,0.1484375,0.02659847163177956,0.15847034678664926,0.1678451027029646,False,0.12738331664718924,-0.45813139827774174,30.014863013209236,0
0.018543439313558292,0.0031470401452810617,22,0.9814565606864417,0.7344973765517038,RANDOM_40,0.349609375,0.21484375,0.03045210553855002,0.17943424454591525,0.169711782807198,False,-0.04301028521874234,0.06520597993079764,27.751315237084697,0
0.020650513549703542,0.0032508051115458926,23,0.9793494864502965,0.5637740595508158,RANDOM_40,0.32421875,0.197265625,0.0322989602779701,0.20517690048308573,0.15742006142954063,False,-0.10725793728774492,-0.2857866210310901,26.644103680515506,0
0.02048255041557348,0.0033355682389307594,24,0.9795174495844265,0.7051138583068335,RANDOM_40,0.283203125,0.154296875,0.03426620237435305,0.21041668687549206,0.16284926297042723,False,0.16503355776890563,0.2853463521358578,31.862490301184522,0
0.026801216464139268,0.004255612892370407,25,0.9731987835358608,1.662534232091195,RANDOM_40,0.27734375,0.13671875,0.043601418776441254,0.27459524452189676,0.15878431854257546,False,0.2606814538949648,0.1428177094427605,31.334576441094892,0
0.03041561460045915,0.00487193275535663,26,0.9695843853995408,-0.04203746359410543,RANDOM_40,0.287109375,0.15234375,0.04459924783316205,0.2784343712610462,0.16017867201943978,False,-0.03121155016483851,-0.05952274070859076,26.395557310096244,0
0.039432684352750824,0.0062107169120266875,27,0.9605673156472492,0.3073922106987741,RANDOM_40,0.3046875,0.169921875,0.0683699313937279,0.4340899709415893,0.15750175302466893,False,-0.09884612741094653,-0.2927792225228101,30.141393584721747,0
0.04298105977243903,0.0068329898391603985,28,0.957018940227561,0.8427724193709936,RANDOM_40,0.2890625,0.162109375,0.08155053412731168,0.5129714026079987,0.1589767650061982,False,0.09632770702910073,-0.5823651596116508,33.74511794689352,0
0.054713574217084435,0.009235155632950886,29,0.9452864257829156,0.7867388271361504,RANDOM_40,0.298828125,0.150390625,0.09667279115944799,0.5727368486355524,0.16879094018440471,False,0.12358663554535253,0.07229424489717967,29.55250522562688,0
0.057948640261147,0.00947089934079773,30,0.942051359738853,0.05534631664670453,RANDOM_40,0.2578125,0.126953125,0.11437763444184416,0.699830940409206,0.16343609268684967,False,0.004651285715090554,0.07510326043967364,36.82356369733773,0
0.06524954042127629,0.009768040086994107,31,0.9347504595787237,0.8020800774167309,RANDOM_40,0.3203125,0.16015625,0.11937963302344735,0.7974441260547274,0.14970281819500733,False,0.2801552049535222,0.2999421026711917,27.637546467017565,0
0.07486439459766481,0.010173490842620987,32,0.9251356054023352,0.38896370770592537,RANDOM_40,0.3046875,0.13671875,0.13492063027534462,0.9928500905493314,0.13589224754030566,False,0.34797020593086864,0.037917450616084564,31.407309770732095,0
0.06321533601621528,0.009040868224854856,33,0.9367846639837847,0.007466424809160266,RANDOM_40,0.267578125,0.125,0.1454410476431074,1.0169493093631516,0.143017008128151,False,-0.03647210203078564,-0.11273429378984984,33.72789229294074,0
0.07056897390886252,0.00959623430149867,34,0.9294310260911375,0.16637237265629112,RANDOM_40,0.28125,0.15625,0.14339959802354457,1.0545347449347386,0.13598375844166144,False,0.09768531624212895,0.21491502130637358,29.850176086616493,0
0.07355483188636218,0.009928790277164885,35,0.9264451681136379,0.3914556235392217,RANDOM_40,0.30078125,0.150390625,0.1518456417196477,1.1249085072380758,0.13498488165270056,False,-0.02802306566342378,0.043439710645928616,29.700606826572646,0
0.08019484333154228,0.01084501826937052,36,0.9198051566684577,0.9384864991302506,RANDOM_40,0.314453125,0.154296875,0.15957087678035797,1.1799667963510412,0.1352333618825707,False,-0.022098089143678543,-0.2891867760520336,26.72091526148175,0
0.07748906941705579,0.009609308069136265,37,0.9225109305829442,0.012918395266126037,RANDOM_40,0.322265625,0.162109375,0.1613168237757252,1.3008523054688284,0.12400856200011613,False,0.04850781488301875,-0.00024199609145714174,30.79253476797346,0
0.07143383646943649,0.00975538300719341,38,0.9285661635305635,0.6942857565471949,RANDOM_40,0.30859375,0.16796875,0.16424685999724178,1.2026983798596014,0.13656529579462423,False,-0.16549005509571996,0.050436913761662226,31.420365531182384,0
0.06697770767196624,0.010233617835003627,39,0.9330222923280338,0.48135670909670614,RANDOM_40,0.279296875,0.14453125,0.16438611333946343,1.0758858911968925,0.15279140165746438,False,0.20980367982358777,0.4255706785049663,29.16640435340812,0
0.07406497087966252,0.010658432880719415,40,0.9259350291203374,0.45862363894879543,RANDOM_40,0.3046875,0.169921875,0.16862868055900707,1.1717931195749827,0.14390652901270648,False,0.29713325074704733,-0.01860476669056274,28.89054483316452,0
0.07186814019828146,0.008821512761016347,41,0.9281318598017185,0.2502132998201674,RANDOM_40,0.3046875,0.15625,0.1599503011539711,1.3031019712277254,0.12274580553605714,False,-0.10230262163715115,-0.041329632023702906,31.889134204512043,0
0.06832181471300479,0.009642276737964956,42,0.9316781852869952,0.44102578718843377,RANDOM_40,0.287109375,0.15625,0.1641309832157737,1.1629749828460219,0.1411302784984367,False,-0.1304598404472099,-0.36376741182988465,31.51269901704884,0
0.06713466332479749,0.009370619213415641,43,0.9328653366752025,1.314943035245923,RANDOM_40,0.314453125,0.16796875,0.1703561271500339,1.2204957837962496,0.13957944747679135,False,0.14746974027333198,0.3024592486077786,31.660958293301892,0
0.07556786022548925,0.009501479720450621,44,0.9244321397745108,0.27632533225448785,RANDOM_40,0.28515625,0.1328125,0.1774571600399697,1.4113652042059734,0.12573440206059647,False,-0.1465671679857157,-0.11919270489739281,31.688244483438357,0
0.07950501703782262,0.010418168177668101,45,0.9204949829621774,0.5551084006836033,RANDOM_40,0.318359375,0.158203125,0.17952564229511087,1.3700286850805672,0.13103787114103638,False,0.05800309249838422,0.3469798801772571,27.640440941959174,0
0.08166836224474736,0.010076421633656888,46,0.9183316377552526,0.4210741057446463,RANDOM_40,0.267578125,0.166015625,0.18371817962623277,1.4890169735003014,0.12338219301446773,False,0.030679281602611214,-0.15274094268191135,29.54089402856265,0
0.08844420023023371,0.009779785401110092,47,0.9115557997697663,0.16361525449159187,RANDOM_40,0.28125,0.134765625,0.17866555234154136,1.615774910945073,0.11057576840145339,False,0.05249597579957114,-0.11496514914134488,28.09328718290365,0
0.07798536466106304,0.009508428266830371,48,0.9220146353389369,0.5414660897691852,RANDOM_40,0.306640625,0.15234375,0.18393270684181165,1.5085625945345298,0.12192580374735096,False,-0.2323803274610615,-0.2757813136272689,30.68051629847578,0
0.08192256846001013,0.010016716083526592,49,0.9180774315399899,0.37792637131753226,RANDOM_40,0.31640625,0.15625,0.17939348102136854,1.46718491446734,0.12227053267276618,False,-0.31831010417851413,-0.03971031336910279,30.014551457647926,0
0.07455194853233008,0.009520721164480835,50,0.92544805146767,0.6699444832818582,RANDOM_40,0.29296875,0.18359375,0.183341250040193,1.4356525310123258,0.12770586620351168,False,0.05988752213699593,-0.5486970087801353,32.5911316747566,0
0.07887135572027083,0.008970687314917247,51,0.9211286442797292,-0.19005514556997882,RANDOM_40,0.24609375,0.138671875,0.17177529349231258,1.510268923815576,0.11373821627630115,False,-0.0424969536644863,0.1839465012645406,31.92742373936355,0
0.06685802275783147,0.00942747181892407,52,0.9331419772421685,0.9407062017339332,RANDOM_40,0.3203125,0.169921875,0.1809461987841492,1.2832395904880487,0.1410073380882293,False,0.019322548664071626,-0.051382724124633725,32.6839095092223,0
0.07712342842311389,0.009815115860240605,53,0.9228765715768861,0.922612295835969,RANDOM_40,0.32421875,0.169921875,0.16880653658065528,1.3264172350801757,0.12726503555304883,False,0.3376981369388613,0.36802716280436915,25.4672746550765,0
0.07071112585734796,0.009886185735784538,54,0.929288874142652,-0.0005278039407801138,RANDOM_40,0.25390625,0.12109375,0.17712164176114292,1.2668658102687742,0.13981089419688844,False,0.008724057165180765,0.06778735051485646,27.8743291992266,0
0.0731722425336751,0.009803999121208842,55,0.9268277574663248,0.5253629458102473,RANDOM_40,0.302734375,0.158203125,0.1779741363817829,1.3283116931209464,0.13398522146833036,False,0.04327312131390211,0.18253765047814724,27.64855156252546,0
0.0743365594370803,0.009401097807983844,56,0.9256634405629197,0.8681456423763683,RANDOM_40,0.318359375,0.177734375,0.17846598298698982,1.4111699955448573,0.12646667910345097,False,0.04427560915020322,-0.07579083191132166,29.945780168728124,0
0.07643745061525509,0.009581414627005812,57,0.9235625493847449,0.0307744545004498,RANDOM_40,0.291015625,0.15234375,0.17947424756958757,1.4317879425282172,0.12534974086503076,False,-0.017856734620341846,0.31882507495263657,28.073156276273973,0
0.07167347900824164,0.00948885279105724,58,0.9283265209917584,0.6536877067940368,RANDOM_40,0.296875,0.162109375,0.1790082438399445,1.3521280063756727,0.13239001262888506,False,-0.22751535445244592,-0.149220655342313,30.181779738100797,0
0.077520730490054,0.01037672413587362,59,0.922479269509946,0.24631166270481497,RANDOM_40,0.294921875,0.15234375,0.18321350791534488,1.3687214561425827,0.13385740911206928,False,-0.16508521486064326,0.5338607591052703,29.90678361197777,0
0.06869687368250318,0.010624643060699402,60,0.9313031263174968,2.0254102738718567,RANDOM_40,0.259765625,0.119140625,0.1821091144729621,1.1774820821658791,0.15465977549143484,False,-0.3603246456140668,-0.13505943268927117,34.195104909973864,0
0.07285006625453794,0.00956106656532367,61,0.9271499337454621,1.5528335120642014,RANDOM_40,0.3203125,0.162109375,0.19392776091998112,1.4776228295338258,0.13124307302504473,False,-0.14628890086253404,0.27401960176580775,32.82310498980019,0
0.06590793198874097,0.009538455503947421,62,0.934092068011259,0.3044022485033402,RANDOM_40,0.322265625,0.16796875,0.17975030906168563,1.2420219541507491,0.14472393862360713,False,0.07672730809428394,-0.16441517952565154,27.67273663452242,0
0.06527567645766466,0.009013041759431184,63,0.9347243235423354,-0.13680588061428978,RANDOM_40,0.275390625,0.158203125,0.18243348620891867,1.3212486459808381,0.13807657382572974,False,0.17255945966726194,0.12501851152852736,31.22097493181704,0
0.07434329989963255,0.010048174071924935,64,0.9256567001003675,0.30635699667634375,RANDOM_40,0.275390625,0.1328125,0.18457298933789776,1.3655978689758435,0.13515910761952335,False,-0.12705388978475618,0.08645537771268237,29.915612518939017,0
0.08111293797712313,0.010613663431458972,65,0.9188870620228768,0.5071000881808403,RANDOM_40,0.294921875,0.130859375,0.1869700448208333,1.4288836033919234,0.13085043762626894,False,-0.33639202289791736,-0.3693334170449274,28.700304156022636,0
0.07480597409340979,0.01021990492405694,66,0.9251940259065902,0.18656265480923384,RANDOM_40,0.291015625,0.166015625,0.19054649818425565,1.394730823102711,0.13661883356127952,False,0.25838458392795605,0.017471166929459964,31.109300472760054,0
0.08526431187794174,0.01023477972771594,67,0.9147356881220583,0.5607466309078211,RANDOM_40,0.28515625,0.16015625,0.17299605314985722,1.4412024314971947,0.12003591540581851,False,-0.017472186903366854,-0.1757935706979873,30.78893229539855,0
0.06881701998714333,0.009677324673722343,68,0.9311829800128567,0.38547418525156774,RANDOM_40,0.291015625,0.171875,0.19389512466884365,1.3788195725185919,0.1406240007999518,False,-0.1964981086796914,0.0041734831158869445,29.518888231146303,0
0.062304354602331934,0.009932743728728812,69,0.937695645397668,0.18670848247690452,RANDOM_40,0.302734375,0.13671875,0.1842065383911183,1.1554581293377544,0.15942294550880476,False,0.002548602114343698,0.04063304437103632,27.504855870131628,0
