absolute_weight,learned_weight,source,target,top16_learned_edge,true_edge
0.007752829231321812,-0.007752829231321812,3,6,False,False
0.0007514634635299444,-0.0007514634635299444,3,7,False,True
0.00013109193241689354,0.00013109193241689354,3,8,False,False
0.0023803880903869867,-0.0023803880903869867,3,9,False,False
0.0009535269346088171,0.0009535269346088171,3,10,False,False
0.002237702254205942,-0.002237702254205942,3,11,False,False
0.002714374102652073,0.002714374102652073,4,0,False,False
0.011106984689831734,0.011106984689831734,4,1,True,False
0.003675089916214347,0.003675089916214347,4,2,False,False
0.004680389538407326,0.004680389538407326,4,3,False,False
0.003719882806763053,0.003719882806763053,4,5,False,False
0.0004976390628144145,0.0004976390628144145,4,6,False,False
0.0003221484075766057,0.0003221484075766057,4,7,False,True
0.0026215228717774153,-0.0026215228717774153,4,8,False,True
0.008248118683695793,-0.008248118683695793,4,9,False,False
0.0018656104803085327,0.0018656104803085327,4,10,False,False
0.008133911527693272,-0.008133911527693272,4,11,False,False
0.005362736992537975,0.005362736992537975,5,0,False,False
0.0012425528839230537,0.0012425528839230537,5,1,False,False
0.0014550527557730675,0.0014550527557730675,5,2,False,False
0.01097192708402872,0.01097192708402872,5,3,True,False
0.002279918873682618,-0.002279918873682618,5,4,False,False
0.011474319733679295,0.011474319733679295,5,6,True,False
0.0015199690824374557,-0.0015199690824374557,5,7,False,False
0.0035326480865478516,0.0035326480865478516,5,8,False,True
0.0016443462809547782,-0.0016443462809547782,5,9,False,True
0.009972447529435158,-0.009972447529435158,5,10,True,False
0.005201077554374933,-0.005201077554374933,5,11,False,False
0.003991755656898022,0.003991755656898022,6,0,False,False
0.00110428046900779,-0.00110428046900779,6,1,False,False
0.002426257124170661,0.002426257124170661,6,2,False,False
0.00037606884143315256,-0.00037606884143315256,6,3,False,False
0.007817658595740795,-0.007817658595740795,6,4,False,False
0.0002054781507467851,-0.0002054781507467851,6,5,False,False
0.0062141260132193565,0.0062141260132193565,6,7,False,False
0.004057598300278187,-0.004057598300278187,6,8,False,False
0.007257497403770685,0.007257497403770685,6,9,False,True
0.0006835503736510873,0.0006835503736510873,6,10,False,False
0.00016411546675954014,0.00016411546675954014,6,11,False,False
0.005450047552585602,0.005450047552585602,7,0,False,False
0.0028315139934420586,-0.0028315139934420586,7,1,False,False
0.008057372644543648,-0.008057372644543648,7,2,False,False
0.0017908449517562985,-0.0017908449517562985,7,3,False,False
0.010832006111741066,-0.010832006111741066,7,4,True,False
0.0009861309081315994,-0.0009861309081315994,7,5,False,False
0.0017076454823836684,0.0017076454823836684,7,6,False,False
0.00403286749497056,0.00403286749497056,7,8,False,False
0.0025415481068193913,-0.0025415481068193913,7,9,False,False
0.0010006320662796497,0.0010006320662796497,7,10,False,True
0.004636211786419153,-0.004636211786419153,7,11,False,False
0.0042648580856621265,0.0042648580856621265,8,0,False,False
0.0028431627433747053,-0.0028431627433747053,8,1,False,False
0.008197396993637085,-0.008197396993637085,8,2,False,False
0.0037068184465169907,0.0037068184465169907,8,3,False,False
0.0016905530355870724,0.0016905530355870724,8,4,False,False
0.006886425893753767,-0.006886425893753767,8,5,False,False
0.01071898639202118,0.01071898639202118,8,6,True,False
0.0075964732095599174,-0.0075964732095599174,8,7,False,False
0.009610251523554325,-0.009610251523554325,8,9,True,False
0.007096685003489256,-0.007096685003489256,8,10,False,True
0.007523964624851942,-0.007523964624851942,8,11,False,True
0.0013107025297358632,-0.0013107025297358632,9,0,False,False
0.012712223455309868,0.012712223455309868,9,1,True,False
0.0012459988938644528,0.0012459988938644528,9,2,False,False
0.0010272024665027857,0.0010272024665027857,9,3,False,False
0.0016919529298320413,0.0016919529298320413,9,4,False,False
0.004245963878929615,0.004245963878929615,9,5,False,False
0.003962840884923935,0.003962840884923935,9,6,False,False
0.00271241320297122,0.00271241320297122,9,7,False,False
0.00891499500721693,0.00891499500721693,9,8,False,False
0.00252085761167109,0.00252085761167109,9,10,False,False
0.004713655915111303,-0.004713655915111303,9,11,False,True
0.014078170992434025,-0.014078170992434025,10,0,True,False
0.010919286869466305,-0.010919286869466305,10,1,True,False
0.002199785551056266,0.002199785551056266,10,2,False,False
0.012083536945283413,-0.012083536945283413,10,3,True,False
0.006868631578981876,-0.006868631578981876,10,4,False,False
8.65808833623305e-05,-8.65808833623305e-05,10,5,False,False
0.0077549731358885765,-0.0077549731358885765,10,6,False,False
0.01008613407611847,0.01008613407611847,10,7,True,False
0.009566257707774639,-0.009566257707774639,10,8,False,False
0.003220879938453436,0.003220879938453436,10,9,False,False
0.0018639867193996906,0.0018639867193996906,10,11,False,False
0.003396931104362011,-0.003396931104362011,11,0,False,False
0.008096885867416859,-0.008096885867416859,11,1,False,False
0.003363602561876178,-0.003363602561876178,11,2,False,False
0.006982325576245785,0.006982325576245785,11,3,False,False
0.0029968200251460075,-0.0029968200251460075,11,4,False,False
0.0027736087795346975,0.0027736087795346975,11,5,False,False
0.0030646997038275003,0.0030646997038275003,11,6,False,False
0.001655070693232119,0.001655070693232119,11,7,False,False
0.003121635178104043,0.003121635178104043,11,8,False,False
0.004468212369829416,0.004468212369829416,11,9,False,False
0.003005489706993103,-0.003005489706993103,11,10,False,False
