stratum_type,stratum_key,mask_fraction,n_mask_evaluations,n_unique_cells,visible_measured_genes_p05,visible_measured_genes_p25,visible_measured_genes_p50,visible_measured_genes_p75,visible_measured_genes_p95,visible_detected_genes_p05,visible_detected_genes_p25,visible_detected_genes_p50,visible_detected_genes_p75,visible_detected_genes_p95,fraction_detected_genes_retained_p05,fraction_detected_genes_retained_p25,fraction_detected_genes_retained_p50,fraction_detected_genes_retained_p75,fraction_detected_genes_retained_p95,fraction_transformed_signal_retained_p05,fraction_transformed_signal_retained_p25,fraction_transformed_signal_retained_p50,fraction_transformed_signal_retained_p75,fraction_transformed_signal_retained_p95,fraction_raw_vocab_count_mass_retained_p05,fraction_raw_vocab_count_mass_retained_p25,fraction_raw_vocab_count_mass_retained_p50,fraction_raw_vocab_count_mass_retained_p75,fraction_raw_vocab_count_mass_retained_p95,fraction_cells_below_100_visible_detected,fraction_cells_below_250_visible_detected,fraction_cells_below_500_visible_detected
broad_cell_class,CN LAMP5-CXCL14 GABASubclass,0.15,222,74,3482.0,3482.0,3482.0,3482.0,3482.0,756.5,1924.0,2349.0,2743.25,3163.6499999999996,0.8425077749960421,0.8468262199547877,0.8502616428534486,0.8525606944509025,0.8576103352349088,0.8393637027847016,0.8458907766659177,0.8503944118004185,0.8545074188166861,0.8608328927381094,0.804513401212106,0.8392035862192029,0.8534635843688061,0.8643933443122832,0.8758132157324239,0.0,0.0,0.0
broad_cell_class,CN LAMP5-CXCL14 GABASubclass,0.25,222,74,3072.0,3072.0,3072.0,3072.0,3072.0,672.9,1693.75,2073.0,2411.75,2794.6499999999996,0.7392032017464071,0.7466513585916571,0.7501879095240092,0.753106930643863,0.7624190102700553,0.7374639292178076,0.7450808194505134,0.750044077433764,0.7558124277032148,0.7635916008673417,0.7041683282370231,0.7305174306177228,0.7512234520953867,0.765305520541085,0.7851105228119363,0.0,0.0,0.0
broad_cell_class,CN LAMP5-CXCL14 GABASubclass,0.4,222,74,2458.0,2458.0,2458.0,2458.0,2458.0,542.3,1363.0,1648.5,1931.75,2234.5999999999995,0.5903792268637639,0.5973289619962872,0.6007210603183453,0.6038788853534689,0.6114939965364103,0.5873752955476573,0.5960138395211356,0.600816882648206,0.6064495398420586,0.6159129170588801,0.5549625927422471,0.5792907072146032,0.602713345970249,0.6215283062526915,0.643365047571357,0.0,0.0,0.03153153153153153
broad_cell_class,CN LAMP5-CXCL14 GABASubclass,0.5,222,74,2048.0,2048.0,2048.0,2048.0,2048.0,447.15,1128.5,1378.5,1610.0,1867.5499999999997,0.48758941127273875,0.4972150903189984,0.5,0.5030374536206301,0.5104339253960088,0.4859210990637457,0.49489477503528323,0.5001591477509755,0.5060769280360797,0.5138826288845093,0.46116761360932274,0.47980495615682034,0.5009296968310506,0.5239346934881769,0.5454601214257025,0.0,0.0,0.09009009009009009
broad_cell_class,CN LAMP5-CXCL14 GABASubclass,0.6,222,74,1639.0,1639.0,1639.0,1639.0,1639.0,354.0,902.5,1101.0,1285.75,1494.0499999999997,0.3886843452114388,0.3963166175107678,0.400032605151614,0.4029038904798491,0.41037537313432837,0.38490417120622195,0.3941288948680257,0.39960667741063416,0.4060381871425742,0.41589572142076525,0.3605286161389813,0.381069614297908,0.40182167704137683,0.421992504359004,0.4531695795324957,0.0,0.0,0.11261261261261261
broad_cell_class,CN LAMP5-CXCL14 GABASubclass,0.7,222,74,1229.0,1229.0,1229.0,1229.0,1229.0,268.05,678.5,826.0,962.75,1118.8,0.2884080686929263,0.29719368340943686,0.30045371051658276,0.3035837615413304,0.3087106375481076,0.2870916199099913,0.2953359748278459,0.3006070025292223,0.30573185703974215,0.3138612714192772,0.26530800271916,0.283219110510581,0.29783964892137504,0.31652732232433184,0.3491710603586801,0.0,0.03153153153153153,0.17567567567567569
broad_cell_class,CN ST18 GABASubclass,0.15,222,74,3482.0,3482.0,3482.0,3482.0,3482.0,714.3500000000004,2198.25,2611.0,2786.5,3059.7,0.8433743122519246,0.8473653822008502,0.8498747092982846,0.8520632748239709,0.8567299880196643,0.8414019511295362,0.8466401386319481,0.8500023234984994,0.8541261325359026,0.859345351201092,0.804780901047605,0.8391784608641689,0.8548380381672078,0.864477419649806,0.8771043929628033,0.0,0.0,0.0
broad_cell_class,CN ST18 GABASubclass,0.25,222,74,3072.0,3072.0,3072.0,3072.0,3072.0,641.7000000000003,1943.25,2307.0,2458.25,2698.9,0.7421883121101871,0.7471320759807519,0.7498808820135219,0.75226430986143,0.7574103506300802,0.7363405185300104,0.7451085437112142,0.7495935938854639,0.7541448243217529,0.760808310127365,0.6959804475960903,0.730026129808578,0.7534618394777186,0.7648318075965838,0.7827045479953572,0.0,0.0,0.013513513513513514
broad_cell_class,CN ST18 GABASubclass,0.4,222,74,2458.0,2458.0,2458.0,2458.0,2458.0,512.8500000000003,1558.75,1836.5,1968.75,2158.0,0.5901932438078421,0.5975371763141116,0.6000312207305651,0.603165971088718,0.6094734430653842,0.5872634832152757,0.5952690223538534,0.5994570435594991,0.6046008971818086,0.6110849295081657,0.5464526019947911,0.5771211671612265,0.6024668929540193,0.6191857113862149,0.6401050720912953,0.0,0.0,0.05405405405405406
broad_cell_class,CN ST18 GABASubclass,0.5,222,74,2048.0,2048.0,2048.0,2048.0,2048.0,428.4500000000002,1298.75,1531.0,1637.75,1794.9,0.4909276273040318,0.4967943486230711,0.4997397508033293,0.5025425458204011,0.5080965422509102,0.48639645248791585,0.49444125754402135,0.49939384767893213,0.5037035056975079,0.511955944579677,0.44444093794484196,0.47400677955959364,0.49745270552650767,0.5191058822016492,0.5434425022138959,0.0,0.0,0.05405405405405406
