status,fixture,masker,d_gene,checkpoint,factor,factor_family,raw_r2,learned_h_r2,h_minus_raw_r2,raw_recoverable,full_h_frobenius_kernel,mean_pool_used,raw_x_concatenated_to_h
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,subtype_05,subtype,0.8380107477534993,0.8266501463317596,-0.011360601421739669,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,subtype_06,subtype,0.8064814994588738,0.7951360787308537,-0.011345420728020139,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,subtype_07,subtype,0.879272308910334,0.8683485717076157,-0.010923737202718331,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,state_08,state,0.8028957689438009,0.7929617563690144,-0.009934012574786433,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,state_09,state,0.7372537884818711,0.7159053467873802,-0.021348441694490905,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,state_10,state,0.8552292658041866,0.8414035578279675,-0.01382570797621907,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,state_11,state,0.7763764007403389,0.7620346807958001,-0.014341719944538811,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,fine_12,fine,0.8382366390039876,0.8250374591382845,-0.01319917986570307,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,fine_13,fine,0.82628826914851,0.8134815801573435,-0.012806688991166437,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,fine_14,fine,0.7370212154500027,0.7145509691769729,-0.022470246273029737,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,fine_15,fine,0.7933399618680306,0.7654993517197043,-0.027840610148326284,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,rare_16,rare,0.6690460665732625,0.6097044586750983,-0.05934160789816423,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,rare_17,rare,0.6118809178789266,0.5678482362472073,-0.04403268163171936,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,antagonistic_18,antagonistic,0.8169627577256278,0.806977013299893,-0.009985744425734744,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,antagonistic_19,antagonistic,0.7823908105977769,0.7684981873079627,-0.013892623289814221,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,distributed_20,distributed,0.8103911908155834,0.7971284415242698,-0.013262749291313658,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,distributed_21,distributed,0.8103366000543499,0.8009281334868263,-0.009408466567523588,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,compact_22,compact,0.6325866079686571,0.5787330337469611,-0.05385357422169601,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,compact_23,compact,0.6204911715456627,0.5859172534694221,-0.03457391807624055,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,donor_24,donor,0.8646462704843705,0.8466601083410471,-0.01798616214332338,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,128,donor_25,donor,0.735992122566455,0.7308925305868579,-0.0050995919795970845,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,broad_00,broad,0.806720183221129,0.7955880867208802,-0.011132096500248823,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,broad_01,broad,0.7298511848058308,0.7204099592727822,-0.009441225533048603,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,broad_02,broad,0.8630139915477625,0.8449928320515879,-0.018021159496174555,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,broad_03,broad,0.7173537619515677,0.6973525863130756,-0.02000117563849213,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,subtype_04,subtype,0.8813273564541085,0.8703009548690119,-0.011026401585096601,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,subtype_05,subtype,0.8380107477534993,0.8266018154344601,-0.011408932319039167,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,subtype_06,subtype,0.8064814994588738,0.7951661238356469,-0.011315375623226931,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,subtype_07,subtype,0.879272308910334,0.8684495606030715,-0.010822748307262486,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,state_08,state,0.8028957689438009,0.7928617757491531,-0.010033993194647817,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,state_09,state,0.7372537884818711,0.7155759661923473,-0.02167782228952375,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,state_10,state,0.8552292658041866,0.8413132908044114,-0.01391597499977515,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,state_11,state,0.7763764007403389,0.7618896883578817,-0.014486712382457134,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,fine_12,fine,0.8382366390039876,0.824777709177261,-0.013458929826726584,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,fine_13,fine,0.82628826914851,0.8130100460812656,-0.013278223067244355,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,fine_14,fine,0.7370212154500027,0.7144634655222084,-0.022557749927794246,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,fine_15,fine,0.7933399618680306,0.7648306129524356,-0.02850934891559498,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,rare_16,rare,0.6690460665732625,0.6088871140560226,-0.060158952517239905,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,rare_17,rare,0.6118809178789266,0.5671856960818629,-0.044695221797063756,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,antagonistic_18,antagonistic,0.8169627577256278,0.8068501982316787,-0.01011255949394907,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,antagonistic_19,antagonistic,0.7823908105977769,0.7682956672757599,-0.014095143322017,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,distributed_20,distributed,0.8103911908155834,0.7968415830737547,-0.013549607741828673,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,distributed_21,distributed,0.8103366000543499,0.8008125852237524,-0.009524014830597505,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,compact_22,compact,0.6325866079686571,0.5785936420668629,-0.05399296590179414,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,compact_23,compact,0.6204911715456627,0.58514615832849,-0.03534501321717265,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,donor_24,donor,0.8646462704843705,0.8463707961438731,-0.018275474340497366,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,oracle,160,256,donor_25,donor,0.735992122566455,0.7306788644378197,-0.0053132581286352565,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,broad_00,broad,0.806720183221129,0.7999559307766525,-0.006764252444476537,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,broad_01,broad,0.7298511848058308,0.7227602642702446,-0.0070909205355861316,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,broad_02,broad,0.8630139915477625,0.8482181298149509,-0.014795861732811555,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,broad_03,broad,0.7173537619515677,0.7030830397261594,-0.014270722225408372,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,subtype_04,subtype,0.8813273564541085,0.8732509410147362,-0.00807641543937232,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,subtype_05,subtype,0.8380107477534993,0.829298101145084,-0.008712646608415309,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,subtype_06,subtype,0.8064814994588738,0.7956606469266949,-0.010820852532178904,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,subtype_07,subtype,0.879272308910334,0.8698900729852409,-0.00938223592509313,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,state_08,state,0.8028957689438009,0.7933544174087299,-0.009541351535070963,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,state_09,state,0.7372537884818711,0.7203552034008077,-0.016898585081063344,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,state_10,state,0.8552292658041866,0.8429888142476765,-0.012240451556510101,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,state_11,state,0.7763764007403389,0.7649634689155712,-0.011412931824767658,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,fine_12,fine,0.8382366390039876,0.8261243886443655,-0.012112250359622045,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,fine_13,fine,0.82628826914851,0.8153564688147018,-0.01093180033380814,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,fine_14,fine,0.7370212154500027,0.7134324806531753,-0.023588734796827326,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,fine_15,fine,0.7933399618680306,0.769518314961978,-0.023821646906052596,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,rare_16,rare,0.6690460665732625,0.6224507483198807,-0.04659531825338181,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,rare_17,rare,0.6118809178789266,0.5762872334219273,-0.035593684456999286,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,antagonistic_18,antagonistic,0.8169627577256278,0.8088929802483464,-0.008069777477281326,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,antagonistic_19,antagonistic,0.7823908105977769,0.7704781560951435,-0.011912654502633457,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,distributed_20,distributed,0.8103911908155834,0.8008291249229496,-0.009562065892633864,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,distributed_21,distributed,0.8103366000543499,0.8034994181392008,-0.006837181915149149,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,compact_22,compact,0.6325866079686571,0.5920251522411251,-0.040561455727532,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,compact_23,compact,0.6204911715456627,0.594264211101989,-0.026226960443673675,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,donor_24,donor,0.8646462704843705,0.8503620146088353,-0.014284255875535168,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,0,donor_25,donor,0.735992122566455,0.7314878401852583,-0.004504282381196711,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,broad_00,broad,0.806720183221129,0.7961186753806082,-0.01060150784052083,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,broad_01,broad,0.7298511848058308,0.721160300998763,-0.008690883807067729,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,broad_02,broad,0.8630139915477625,0.845100818011377,-0.01791317353638544,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,broad_03,broad,0.7173537619515677,0.6976633234011045,-0.019690438550463263,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,subtype_04,subtype,0.8813273564541085,0.8706718819308243,-0.010655474523284192,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,subtype_05,subtype,0.8380107477534993,0.826736151748452,-0.01127459600504721,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,subtype_06,subtype,0.8064814994588738,0.7949412182073817,-0.01154028125149209,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,subtype_07,subtype,0.879272308910334,0.8682412076237316,-0.011031101286602452,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,state_08,state,0.8028957689438009,0.7929895522388117,-0.009906216704989146,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,state_09,state,0.7372537884818711,0.7162897355848523,-0.020964052897018748,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,state_10,state,0.8552292658041866,0.8415758873907884,-0.013653378413398198,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,state_11,state,0.7763764007403389,0.7621350975244927,-0.014241303215846157,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,fine_12,fine,0.8382366390039876,0.8252242053167214,-0.013012433687266234,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,fine_13,fine,0.82628826914851,0.8140196587616095,-0.012268610386900414,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,fine_14,fine,0.7370212154500027,0.7145661071307632,-0.02245510831923947,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,fine_15,fine,0.7933399618680306,0.7662262887220833,-0.02711367314594726,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,rare_16,rare,0.6690460665732625,0.6110485358341988,-0.05799753073906366,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,rare_17,rare,0.6118809178789266,0.5689209919364102,-0.04295992594251641,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,antagonistic_18,antagonistic,0.8169627577256278,0.8071560862196361,-0.009806671505991682,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,antagonistic_19,antagonistic,0.7823908105977769,0.768634915658257,-0.013755894939519897,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,distributed_20,distributed,0.8103911908155834,0.7974386063101162,-0.012952584505467213,True,True,False,False
PROVISIONAL - SYNTHETIC ONLY - NOT FROZEN,overlap_dense,graph_free,160,64,distributed_21,distributed,0.8103366000543499,0.8011450774751523,-0.009191522579197642,True,True,False,False
