annotation,broad_family,donor_fold,cell_count,train_donors_containing_class,heldout_donors_containing_class,recall,precision,f1,neighbor_purity,nearest_competing_class,confusion_distribution
EndothelialSubclass,EndothelialSubclass,5,37,31,5,0.4864864864864865,0.5294117647058824,0.5070422535211268,0.3387387387387387,STR D1 MSNSubclass,"{""AstrocyteSubclass"": 0.02702702702702703, ""EndothelialSubclass"": 0.4864864864864865, ""Non-neuronal and Non-neural"": 0.02702702702702703, ""STR D1 MSNSubclass"": 0.21621621621621623, ""STR D2 MSNSubclass"": 0.13513513513513514, ""STR Hybrid MSNSubclass"": 0.05405405405405406, ""VLMCSubclass"": 0.05405405405405406}"
EndothelialSubclass,EndothelialSubclass,6,14,30,6,0.7857142857142857,0.55,0.6470588235294118,0.4380952380952381,Non-neuronal and Non-neural,"{""EndothelialSubclass"": 0.7857142857142857, ""Non-neuronal and Non-neural"": 0.14285714285714285, ""VLMCSubclass"": 0.07142857142857142}"
EndothelialSubclass,EndothelialSubclass,7,15,32,4,0.7333333333333333,0.6470588235294118,0.6875,0.43555555555555553,CN ST18 GABASubclass,"{""CN ST18 GABASubclass"": 0.06666666666666667, ""EndothelialSubclass"": 0.7333333333333333, ""STR D1 MSNSubclass"": 0.06666666666666667, ""STR D2 MSNSubclass"": 0.06666666666666667, ""STR Hybrid MSNSubclass"": 0.06666666666666667}"
EpendymalSubclass,EpendymalSubclass,1,1,9,1,0.0,0.0,0.0,0.3333333333333333,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
EpendymalSubclass,EpendymalSubclass,3,1,9,1,0.0,0.0,0.0,0.4,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
EpendymalSubclass,EpendymalSubclass,4,2,8,2,0.0,0.0,0.0,0.23333333333333334,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
EpendymalSubclass,EpendymalSubclass,5,2,8,2,0.0,0.0,0.0,0.13333333333333333,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 0.5, ""VLMCSubclass"": 0.5}"
EpendymalSubclass,EpendymalSubclass,6,3,7,3,0.0,0.0,0.0,0.2222222222222222,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
EpendymalSubclass,EpendymalSubclass,7,1,9,1,0.0,0.0,0.0,0.3333333333333333,Non-neuronal and Non-neural,"{""Non-neuronal and Non-neural"": 1.0}"
ExN,ExN,0,4,14,2,0.0,0.0,0.0,0.016666666666666666,Neuronal: Glutamatergic,"{""Neuronal: Glutamatergic"": 1.0}"
ExN,ExN,2,8,12,4,0.0,0.0,0.0,0.058333333333333334,Neuronal: Glutamatergic,"{""Neuronal: Glutamatergic"": 1.0}"
ExN,ExN,4,6,13,3,0.0,0.0,0.0,0.07777777777777778,Neuronal: Glutamatergic,"{""Neuronal: Glutamatergic"": 1.0}"
ExN,ExN,5,6,13,3,0.0,0.0,0.0,0.07777777777777778,Neuronal: Glutamatergic,"{""Neuronal: Glutamatergic"": 1.0}"
