dataset_id,gene_namespace,feature_count,feature_order_sha256,exact_symbol_count,exact_stable_id_count,duplicate_symbol_count,unresolved_identifier_count,source_values_preserved,fuzzy_aliasing_used
gse293118_1d15aff2e5fa,exact_source_feature_identifiers,36870,75977576c9e8a20bf23bad6d60146225cdb32b6a5035d37243f6d2e3e02e8422,36799,36601,11,49,True,False
gse293118_6dab6ce5e82e,unresolved_or_non_gene,0,unresolved,0,0,0,0,True,False
gse301119_1c0fbaf672ab,unresolved_or_non_gene,0,unresolved,0,0,0,0,True,False
gse301119_5ff4821904a5,unresolved_or_non_gene,0,unresolved,0,0,0,0,True,False
gse311359_7d3438f8c8db,exact_source_feature_identifiers,36982,d2d1bcd24f13ef91d9734906a36de26024be317028c3d12f006b998fabc5d692,36957,36601,11,3,True,False
gse97930_cerebellar_umi,exact_source_feature_identifiers,37236,a89115fdab89ce6027978f5b261a7cf13c7a80f81fc8855bd5bc3946387d3017,37235,0,0,1,True,False
gse97930_frontal_cortex_umi,exact_source_feature_identifiers,34306,5afeb3f07e51abaa3561f51a0a1bb82289846ede7063c2472fa494f328c80516,34305,0,0,1,True,False
gse97930_readme,unresolved_or_non_gene,0,unresolved,0,0,0,0,True,False
gse97930_visual_cortex_umi,exact_source_feature_identifiers,41542,0700edcfcf8691963f6635ee1ba7a3e330885991ec5d7f03d5dc215b9ea56907,41541,0,0,1,True,False
gse99074_human_microglia_counts,exact_source_feature_identifiers,28981,8d473f5e07389ca20941c93a5cec3fd5e6bded2bbe7fb5a3212ef445ee049ca5,0,28981,0,0,True,False
sea_ad_ang_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_caudate_rna_all_2025,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_caudate_xenium_combined_2026,exact_source_feature_identifiers,464,2a045055363045185cd3d77ed98828f560d631d665c0eb54a28090e49eeb55d2,464,464,0,0,True,False
sea_ad_fi_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_hip_merscope_combined_2026,exact_source_feature_identifiers,433,2fc47c775e9817dae75f49014271191621fca97cf826acf2edc9f8a61dddfe07,433,433,0,0,True,False
sea_ad_hip_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_itg_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_lec_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_mec_merscope_combined_2026,exact_source_feature_identifiers,433,2fc47c775e9817dae75f49014271191621fca97cf826acf2edc9f8a61dddfe07,433,433,0,0,True,False
sea_ad_mec_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_mtg_atac_final_2024,unresolved_or_non_gene,0,unresolved,0,0,0,0,True,False
sea_ad_mtg_merfish_combined_2024,exact_source_feature_identifiers,180,3c0204eb5294e1f5636983916562b6b583681bf7c2cd136fa303c5203fa6901b,180,0,0,0,True,False
sea_ad_mtg_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_multiregion_immune_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_pfc_a9_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_stg_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
sea_ad_v1c_rna_final_2026,exact_source_feature_identifiers,36601,a7391464dbde2f152da43b90ddba8872ade414b43aa28af77700432a273f3ccb,36590,36601,0,0,True,False
siletti_hbca_all_non_neuronal,exact_source_feature_identifiers,58232,7fd3318c7a9e8b4ad2aae8584ede3aab3b679665c247d44bc6dd96b3c4654cb9,56962,0,67,1270,True,False
