best_count_completed_r2,best_count_predictor,best_expected_completed_r2,best_expected_predictor,factor,family,full_lambda_pca_r2,hidden_loading_fraction,hidden_reporter_fraction,identifiability_class,identifiability_ratio,view,visible_lambda_r2,visible_loading_fraction,visible_reporter_fraction,visible_x_a_r2
0.8056408166885376,ridge_count,0.9998135566711426,ridge_expected,30,RANDOM_40,0.9998135566711426,0.39014601707458496,0.3928571343421936,HIGHLY_IDENTIFIABLE,0.8057910510544597,0,0.9997798204421997,0.6098539233207703,0.6071428656578064,0.8673293590545654
0.8193852305412292,ridge_count,0.9997981190681458,ridge_expected,31,RANDOM_40,0.9997992515563965,0.3963507115840912,0.3973214328289032,HIGHLY_IDENTIFIABLE,0.819549753878776,0,0.9998040795326233,0.6036493182182312,0.6026785969734192,0.8594729900360107
0.8228781223297119,ridge_count,0.9997897148132324,ridge_expected,0,RANDOM_40,0.9997884631156921,0.39047476649284363,0.3928571343421936,HIGHLY_IDENTIFIABLE,0.8230522282336951,1,0.9998034238815308,0.609525203704834,0.6071428656578064,0.8733808398246765
0.8287954330444336,ridge_count,0.9997311234474182,ridge_expected,1,RANDOM_40,0.9997314810752869,0.43110644817352295,0.4330357015132904,HIGHLY_IDENTIFIABLE,0.8290180400771229,1,0.9997544884681702,0.568893551826477,0.5669642686843872,0.8803746104240417
0.7855381965637207,ridge_count,0.999770998954773,ridge_expected,2,RANDOM_40,0.9997715950012207,0.43026071786880493,0.4330357015132904,HIGHLY_IDENTIFIABLE,0.7857176584045295,1,0.9997535943984985,0.5697392821311951,0.5669642686843872,0.8557032942771912
0.8279523849487305,ridge_count,0.9997630715370178,ridge_expected,3,RANDOM_40,0.9997634887695312,0.3791194260120392,0.3794642984867096,HIGHLY_IDENTIFIABLE,0.8281482513106585,1,0.999749481678009,0.6208806037902832,0.6205357313156128,0.8645823001861572
0.8607079982757568,ridge_count,0.9997787475585938,ridge_expected,4,RANDOM_40,0.9997805953025818,0.3934307396411896,0.3928571343421936,HIGHLY_IDENTIFIABLE,0.8608968830959007,1,0.9997800588607788,0.6065693497657776,0.6071428656578064,0.8990676403045654
0.8143904805183411,ridge_count,0.9998490810394287,ridge_expected,5,RANDOM_40,0.9998483657836914,0.4356645941734314,0.4375,HIGHLY_IDENTIFIABLE,0.8145139887086913,1,0.9998688101768494,0.5643354654312134,0.5625,0.8629084229469299
0.8436391353607178,ridge_count,0.9997633695602417,ridge_expected,6,RANDOM_40,0.9997641444206238,0.38946962356567383,0.3883928656578064,HIGHLY_IDENTIFIABLE,0.8438381592986789,1,0.999776303768158,0.610530436038971,0.6116071343421936,0.8723735213279724
0.895732581615448,ridge_count,0.9998026490211487,ridge_expected,7,RANDOM_40,0.9998029470443726,0.32835015654563904,0.3258928656578064,HIGHLY_IDENTIFIABLE,0.8959091231561395,1,0.9998055696487427,0.6716498136520386,0.6741071343421936,0.9235097169876099
0.7932235598564148,ridge_count,0.999845564365387,ridge_expected,8,RANDOM_40,0.999847412109375,0.42972099781036377,0.4285714328289032,HIGHLY_IDENTIFIABLE,0.7933446146377011,1,0.9998301267623901,0.5702789425849915,0.5714285969734192,0.8598422408103943
