annotation,broad_family,full_train_cell_count,full_train_frequency,full_train_donor_count,donor_breadth_fraction,median_cells_per_donor,minimum_cells_per_donor,maximum_cells_per_donor,dataset_count,matrix_count,technology_count,region_count,prrc_audit_cell_count,prrc_audit_donor_count,prrc_sampling_fraction,prrc_identifiable_k15,prrc_original_result,annotation_rare,donor_recurring_rare,prrc_sampling_enrichment,targeted_audit_cell_count,targeted_audit_donor_count,identifiability_strength,targeted_sampling_fraction,targeted_sampling_enrichment
OPC,OPCs,10013,0.0015764152038027,18,0.1208053691275167,502.5,103,1292,1,1,1,1,32,18,0.0767386091127098,True,ADEQUATE,True,True,48.67918612278857,256.0,18.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,46.557845443128514
OPCSubclass,OPCs,14374,0.0022629973174334,37,0.2483221476510067,335.0,115,915,1,1,1,1,32,22,0.0767386091127098,True,ADEQUATE,True,True,33.91016353467942,256.0,37.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,32.43242705037101
Oligo,Oligodendrocytes,139508,0.0219637004146729,18,0.1208053691275167,8740.5,344,9600,1,1,1,1,0,0,0.0,False,NOT TESTED,False,False,0.0,,,,0.0,0.0
OligodendrocyteSubclass,Oligodendrocytes,55502,0.0087380601859045,37,0.2483221476510067,1171.0,269,4786,1,1,1,1,32,32,0.0767386091127098,True,ADEQUATE,True,True,8.782110386066844,256.0,37.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,8.399403740802544
STR D1 MSNSubclass,Excitatory neurons,219913,0.0346224105376893,37,0.2483221476510067,5250.0,832,12742,1,1,1,1,0,0,0.0,False,NOT TESTED,False,False,0.0,,,,0.0,0.0
STR D2 MSNSubclass,Excitatory neurons,219029,0.034483236360104,37,0.2483221476510067,5444.0,597,13033,1,1,1,1,0,0,0.0,False,NOT TESTED,False,False,0.0,,,,0.0,0.0
STR Hybrid MSNSubclass,Excitatory neurons,15902,0.0025035608280107,37,0.2483221476510067,436.0,73,1110,1,1,1,1,23,17,0.0551558752997601,True,ADEQUATE,True,True,22.03097072084504,256.0,37.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,29.316042411145425
STR RSPO2 GABASubclass,Inhibitory neurons,711,0.0001119376021076,37,0.2483221476510067,16.0,4,112,1,1,1,1,3,3,0.0071942446043165,False,NOT IDENTIFIABLE,True,True,64.27013326048022,256.0,37.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,655.6732861071439
Sst ChodlSubclass,Inhibitory neurons,8401,0.0013226269976178,37,0.2483221476510067,173.0,51,832,1,1,1,1,19,16,0.0455635491606714,True,ADEQUATE,True,True,34.44928104653523,256.0,37.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,55.49145416284091
VLMCSubclass,Pericyte / mural,66574,0.0104812010164752,37,0.2483221476510067,1228.0,551,7848,1,1,1,1,0,0,0.0,False,NOT TESTED,False,False,0.0,,,,0.0,0.0
VipSubclass,Inhibitory neurons,3054,0.0004808121474496,37,0.2483221476510067,68.0,20,210,1,1,1,1,7,6,0.0167865707434052,False,NOT IDENTIFIABLE,True,True,34.91295058255949,256.0,37.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,152.64692417226718
