rare_neighborhood_id,broad_family,candidate_cells,neighborhood_cells,global_audit_frequency,within_family_audit_frequency,donors,cells_per_donor,datasets,matrices,technologies,regions,recurrence_class,cross_source_recurrence,evidence_tier,technical_concern,annotation_agreement,dominant_annotation,dominant_annotation_fraction,rna_rare,ledger_rare,pca_rare,rep_rare,representation_agreement,unannotated_compression_review_flag,nearest_recurring_state,nearest_recurring_state_ledger_similarity,candidate_member_hash,neighborhood_member_hash,resamples,candidate_membership_jaccard_median,candidate_membership_jaccard_min,donor_recurrence_retained_all,rna_rank_correlation_median,ledger_rank_correlation_median,pca_rank_correlation_median,rna_to_ledger_retention_median,ledger_to_pca_retention_median
Excitatory_neurons::005,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.03.011"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,False,True,True,PCA RARE ONLY,False,NOT APPLICABLE,,479c0f58e6f1ec59a6e461568fee35d13896c85677bce01a7727503ffb957897,4a07def2d03f731aff20db7def6e74cd68b786fcfb7f09889236f1d97affb91a,,,,,,,,,
Excitatory_neurons::006,Excitatory neurons,5,70,0.0012496875781054736,0.0048828125,4,"{""H20.33.015"": 1, ""H20.33.020"": 1, ""H20.33.038"": 2, ""H21.33.020"": 1}",2,2,2,2,LIMITED-RECURRENCE,MULTI-TECHNOLOGY,TIER 0 - TECHNICAL / UNRESOLVED OUTLIER,HIGH TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,False,NOT APPLICABLE,,a06b7a8228876c24e8edf9043875f6bc43774d1ce4fe9576b0595677c67cd322,584aad018b8a1abc97548bc2d705d4797f4101997340708441450589a9e144dd,,,,,,,,,
Excitatory_neurons::007,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H20.33.038"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,NOT APPLICABLE,,d4b413209a72d502920aa0c366dbbbba24f7a645838bc5fcfa052dcec047ef07,ac2149968f4f3dd1241d3cb36221f34e8011a240dc05447f3c83683bd07804ac,,,,,,,,,
Excitatory_neurons::008,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H21.33.002"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 0 - TECHNICAL / UNRESOLVED OUTLIER,HIGH TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,NOT APPLICABLE,,2aa6df5e05e56ba89234d272a46e76dad5d092bc64356744c7b01aa32450a083,60d1352530bf504b446819371f461e843b27790009eb6fd6205ff89bad73a2fe,,,,,,,,,
Excitatory_neurons::009,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.03.011"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,False,NOT APPLICABLE,,97dfac1d70205b06988c5e3183620f7517eec698d4c2db73ec645a794453391f,ede190cab362c7187ce933f6aa6998d6e72eac5c2c8d105c562f7f1c7f5e5f8d,,,,,,,,,
Excitatory_neurons::010,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.06.004"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,True,False,False,LEDGER RARE / RNA NOT RARE,False,NOT APPLICABLE,,8881138f849dbad691869ba1e2b86a4dd6e06018e212cc23f543bcc4efe72c9c,9b45d831c2e16cf0eae3ffef4ca36ec85408247369933fbc1f3844f59e0f0ea5,,,,,,,,,
Excitatory_neurons::011,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H15.06.008"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,False,True,True,PCA RARE ONLY,False,NOT APPLICABLE,,364a203aa241f42621f3c7d7f4e2f1ef9fd589cab25213035b538a3d03657833,1ff2cd1c2ce58ca77f4f96128a20f37ba0cf59d905713e71d1e4f84b4ae561a1,,,,,,,,,
Excitatory_neurons::012,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H15.03.005"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,True,False,False,LEDGER RARE / RNA NOT RARE,False,NOT APPLICABLE,,cc6657f38d0bfec57b246df5450aefcefdc45a831d955370e31f0aafd6e269c1,b1c74e91074093502e6781c409827df3243c25e7dbe1cd97bb13026d85c5b78b,,,,,,,,,
Excitatory_neurons::013,Excitatory neurons,2,44,0.0004998750312421895,0.001953125,2,"{""H18.03.313"": 1, ""H19.03.311"": 1}",1,1,1,1,LIMITED-RECURRENCE,SINGLE-DATASET,TIER 2 - LIMITED-RECURRENCE CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,False,True,True,PCA RARE ONLY,False,NOT APPLICABLE,,8f09358de6ac56cde1830fcd4d82c8cb65573db0f53cfb3c78e34c1c97b37f3f,3165428b564c5dd7422a36fdcb31d02bde4f8cc78be449b7647dfff6dbce9f63,,,,,,,,,
Excitatory_neurons::014,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""human_NPH_873"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 0 - TECHNICAL / UNRESOLVED OUTLIER,HIGH TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,ExN,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,NOT APPLICABLE,,a3e8d0adb4e6caa49bce12061952d5c1cd2c0acec80ed4f5c739a971b30b5f56,83be3aea02f10cdbea017878262b240160ac220202550b953d79c6c9b35d70c8,,,,,,,,,
Excitatory_neurons::015,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""human_NPH_884"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 0 - TECHNICAL / UNRESOLVED OUTLIER,HIGH TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,ExN,1.0,False,False,True,True,PCA RARE ONLY,False,NOT APPLICABLE,,98390e9e24c5d685251952cd003b63880ed587c58178cb185573a4351fbbfc18,15ba95c2c21b785892e76112847c241f66607bf7061218c698fad51115f151a5,,,,,,,,,
Inhibitory_neurons::001,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.06.004"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,False,False,True,True,PCA RARE ONLY,False,Inhibitory_neurons::006,0.9881767570771828,ac19bb2d0a969a5b99e78e563bf48a0cb90ec68f3a35cbd9d60a6fd0cb4c9426,d354770bff233ebb70176a8a1b3c73ce7fa12779cd0c704ed721a8e7ce766d5e,,,,,,,,,
Inhibitory_neurons::002,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H18.03.315"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,False,False,True,False,PCA RARE ONLY,False,Inhibitory_neurons::006,0.988511178650129,af34fae3eb9ba97f30a1257854de7c60fbd9908299c076db0abe9c0dcaa6bb64,fdebabb758a84b00da11637e858864f741f0ec159ae7f1ef510baa351f676431,,,,,,,,,
Inhibitory_neurons::003,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H18.03.003"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,False,False,True,False,PCA RARE ONLY,False,Inhibitory_neurons::006,0.9854205271468108,9a32c2aa989905064760b3a30ca0d6542c3aebf2f713879ffd812c7b46ff3e0f,96c0cc46744748ee0ce85c33c6fcabc2b7de1e08c8d4d070bce930974b0080b8,,,,,,,,,
Inhibitory_neurons::004,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H20.26.406"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,False,True,False,False,LEDGER RARE / RNA NOT RARE,False,Inhibitory_neurons::006,0.9912001173423375,9aaf9fd7db13cbd9a9d734bcf35e3b6704c2f2ab5a14f4282f9c0005fa91f659,745e7d53ff71754435e73b9efbf526fe1216634ad701d59ff2ac70f67f05eb75,,,,,,,,,
Inhibitory_neurons::005,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H18.03.313"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,False,False,True,True,PCA RARE ONLY,False,Inhibitory_neurons::006,0.986645976613105,6ffd6fe3b131fbee50e99e8949a20aeec7bda114349de2761d3556db77867a53,78c88616ce6b1ee66b063d400b99f188fc300169f44745cc295e47f1a92eedb3,,,,,,,,,
Inhibitory_neurons::006,Inhibitory neurons,6,84,0.0014996250937265683,0.005859375,6,"{""H18.03.313"": 1, ""H20.33.004"": 1, ""H20.33.040"": 1, ""H21.33.005"": 1, ""H21.33.010"": 1, ""H21.33.032"": 1}",5,5,4,5,DONOR-RECURRING,MULTI-TECHNOLOGY,TIER 5 - CROSS-TECHNOLOGY RECURRING RARE STATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,0.8333333333333334,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,True,NOT APPLICABLE,,5a1c8790364cad2157938d6f9c89a2e2fa1d363b4ecc3462569df5cba2b62d87,8252012219a2765f8ccdaba8648ec9fc4e6c30d7f6d2c03fa5d6fcb14db86335,4.0,0.6666666666666666,0.5,False,0.999123955936781,0.9994798757423837,0.9890430317654618,0.75,0.0
Inhibitory_neurons::007,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H21.33.028"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-CONCORDANT,CN ST18 GABASubclass,1.0,False,False,True,True,PCA RARE ONLY,False,Inhibitory_neurons::006,0.9908800759585401,1a72c0fd99abb76e8a5597eca8609aa026c03184a7508fa02676e920f70b21b7,b603d17d31e018e04d4aae1cbd63a911f590024a9a8b7e43bc90f4ce71e8a418,,,,,,,,,
Inhibitory_neurons::008,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.06.004"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,False,False,True,True,PCA RARE ONLY,False,Inhibitory_neurons::006,0.9876558300648003,5c14c72e6bcf9d16430ecc680d561d49e4d8f92d5519ec81bb1ea25f6f2889ec,b4fa2b8360dbf4e77975bca0cf1a19e8f6b7176653495231fa4718ac64d916da,,,,,,,,,
Inhibitory_neurons::009,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H21.33.026"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,True,False,False,False,RNA RARE / LEDGER NOT RARE,False,Inhibitory_neurons::006,0.9914991749188821,43b167b7b820fff1724d1b753cf1be2dc8129b53c3b2869e21042ba76b940d87,5327c11256b1838611fbe60ebdf296b4901c33d85c67fe0ef763be70e95d083b,,,,,,,,,
Inhibitory_neurons::010,Inhibitory neurons,3,57,0.0007498125468632841,0.0029296875,3,"{""H18.03.315"": 1, ""H20.33.013"": 1, ""H20.33.027"": 1}",2,2,2,2,LIMITED-RECURRENCE,MULTI-TECHNOLOGY,TIER 2 - LIMITED-RECURRENCE CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,False,NOT APPLICABLE,,243a5d9c310490a6b484a55ef3ec921e03357ed84fe401c14c256b6da82baba3,6fde66e233a99d56de241f5a3113099b0194e4b50c4acd38cfdd419fb2db3035,,,,,,,,,
Inhibitory_neurons::011,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.06.004"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,Inhibitory_neurons::006,0.9909379784664785,e7fbb7d7bc6a46a979a5d1e09486e873d745562f296838a65c47f77f13b0660e,83fcfd1dec62c8cd3683f7253c08763409c1ea7144cd95d25dc1cd95d7851e29,,,,,,,,,
Inhibitory_neurons::012,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H19.03.311"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,False,False,True,True,PCA RARE ONLY,False,Inhibitory_neurons::006,0.9885280591846298,9530bd3cb85fd0d2776b08c51e84066be65be57f41aeb7bfd0b622bdfc2a551e,69a6de5c71c75eb55d45e4a7b5308f781baa04a62dbdd39d5aebecfa49c66302,,,,,,,,,
Inhibitory_neurons::013,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H19.03.301"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,True,False,True,True,RNA RARE / LEDGER NOT RARE,False,Inhibitory_neurons::006,0.9910846555483386,fb4de1421e9f34a23f741f2d4f3ba684fbce9f024a93797455fe5851ef29f08f,66df198b56408cebf1676b94324bb3ff5d18ccf4ce1df2b58d3408fc978eead4,,,,,,,,,
Inhibitory_neurons::014,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H18.06.368"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,False,False,True,False,PCA RARE ONLY,False,Inhibitory_neurons::006,0.9877193800152325,375d83f0e0ac9e32f8eca1f65b186f86316267af0379d117067affbce0578660,6629bfa6b928841f8c5b81ae4ccda497c1bd5258b7b6438ad4df22b97e9e5b00,,,,,,,,,
Inhibitory_neurons::015,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H21.33.028"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,True,False,False,False,RNA RARE / LEDGER NOT RARE,False,Inhibitory_neurons::006,0.9916706745160692,2f73c857af31634d9b409d11fe7cf28c1a97fe7499d923fe47bff3a9a91c3e6f,3bdf9dd389d976ae06221856eadbb77e46cb94975975ade826a1017e02a50f8a,,,,,,,,,
Inhibitory_neurons::016,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H15.03.005"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,False,False,True,True,PCA RARE ONLY,False,Inhibitory_neurons::006,0.9860869537147547,4967c958037cc3a62f797e5f924e78faf395b252a11689113d8f5dbe4ba3c888,2c7cf605e59df985d4baf450ca0d1cfe1426b3bf3d5533f40b7acff64dcecdcc,,,,,,,,,
Inhibitory_neurons::017,Inhibitory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H17.03.012"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: GABAergic,1.0,True,False,False,False,RNA RARE / LEDGER NOT RARE,False,Inhibitory_neurons::006,0.9916018425774162,48036823f92cfa7b8bbb8c14d7649e4a4cb0cc54a365a79cd19685d04ef76c67,881c6bd9c575e9bc64b76acb3ed1b552594547a3d1d771750c7479b4b220e13e,,,,,,,,,
Microglia___immune::001,Microglia / immune,6,64,0.0014996250937265683,0.04225352112676056,6,"{""H20.33.012"": 1, ""H20.33.039"": 1, ""H21.33.001"": 1, ""H21.33.004"": 1, ""H21.33.026"": 1, ""H21.33.035"": 1}",1,1,1,1,DONOR-RECURRING,SINGLE-DATASET,TIER 3 - DONOR-RECURRING RARE STATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-CONCORDANT,Microglia-PVMSubclass,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,NOT APPLICABLE,,f00ac5135f0c7193091a26f716dc79fe70cfbd4e5a85b106cdfd3ab774edd407,63d95c310afa03436e7ca1273504ce2ebed9e709be9a31ce38d9b176eb52d96f,4.0,0.3333333333333333,0.14285714285714285,False,0.9990938302082721,0.998638296204863,0.993798859695527,0.0,0.0
OPCs::001,OPCs,1,31,0.00024993751562109475,0.013157894736842105,1,"{""H20.33.028"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 0 - TECHNICAL / UNRESOLVED OUTLIER,HIGH TECHNICAL CONCERN,ANNOTATION-CONCORDANT,OPCSubclass,1.0,True,True,False,False,RNA + LEDGER RARE / PCA NOT RARE,False,NOT APPLICABLE,,edf24db143d13b09f672e3bd449dbd2aacf975abbb731c1f6264314044b13967,c0b551bf7792e0c5ccde95b57ef7c9722e690a914a4d03ccbe0ca08605a9fd50,,,,,,,,,
OPCs::002,OPCs,1,31,0.00024993751562109475,0.013157894736842105,1,"{""human_NPH_878"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-CONCORDANT,OPC,1.0,False,False,True,True,PCA RARE ONLY,False,NOT APPLICABLE,,5311128e62c4db895290e77a4e12d483fb75b4e6e87b5c75aa5c38bb7ba829cf,4f1701b847cf5db21908ebc6c6e6a47a394b65faa4a1b422f2ee56d6642f99c0,,,,,,,,,
