a_factor_r2,b_factor_r2_under_a_map,belief_mean_state_cosine,factor,family,paired_standardized_l2,prediction_correlation
0.8357017040252686,0.8235811591148376,0.33696475625038147,21,RANDOM_40,14.627218246459961,0.8627369403839111
0.8025608062744141,0.8246171474456787,0.33696475625038147,22,RANDOM_40,14.627218246459961,0.8491581678390503
0.8379584550857544,0.8587295413017273,0.33696475625038147,23,RANDOM_40,14.627218246459961,0.8771442174911499
0.9010086059570312,0.8938551545143127,0.33696475625038147,24,RANDOM_40,14.627218246459961,0.9139255285263062
0.860792875289917,0.8601101040840149,0.33696475625038147,25,RANDOM_40,14.627218246459961,0.8904473185539246
0.8799902200698853,0.865250825881958,0.33696475625038147,26,RANDOM_40,14.627218246459961,0.8834086656570435
0.8629112839698792,0.8501039743423462,0.33696475625038147,27,RANDOM_40,14.627218246459961,0.8906769156455994
0.8509753942489624,0.8331462740898132,0.33696475625038147,28,RANDOM_40,14.627218246459961,0.8821131587028503
0.8742916584014893,0.8740639090538025,0.33696475625038147,29,RANDOM_40,14.627218246459961,0.9059346914291382
0.8522230386734009,0.8544085025787354,0.33696475625038147,30,RANDOM_40,14.627218246459961,0.8736112117767334
0.832550585269928,0.8617615699768066,0.33696475625038147,31,RANDOM_40,14.627218246459961,0.8692333698272705
0.782141923904419,0.7823421359062195,0.31791239976882935,0,COEXPRESSION_BLOCK_40,14.400300025939941,0.8474476933479309
0.8792593479156494,0.8620668649673462,0.31791239976882935,1,COEXPRESSION_BLOCK_40,14.400300025939941,0.9115042686462402
0.8641622066497803,0.8583589792251587,0.31791239976882935,2,COEXPRESSION_BLOCK_40,14.400300025939941,0.9048652052879333
0.8154181241989136,0.8166145086288452,0.31791239976882935,3,COEXPRESSION_BLOCK_40,14.400300025939941,0.8571733832359314
0.8501957654953003,0.8417531251907349,0.31791239976882935,4,COEXPRESSION_BLOCK_40,14.400300025939941,0.8944286108016968
0.8519635200500488,0.8590056896209717,0.31791239976882935,5,COEXPRESSION_BLOCK_40,14.400300025939941,0.8957832455635071
0.8336206674575806,0.8197853565216064,0.31791239976882935,6,COEXPRESSION_BLOCK_40,14.400300025939941,0.8702238202095032
0.8433680534362793,0.8499034643173218,0.31791239976882935,7,COEXPRESSION_BLOCK_40,14.400300025939941,0.8978556990623474
0.8301202654838562,0.8139644861221313,0.31791239976882935,8,COEXPRESSION_BLOCK_40,14.400300025939941,0.8702043890953064
0.8419712781906128,0.8436481952667236,0.31791239976882935,9,COEXPRESSION_BLOCK_40,14.400300025939941,0.882906973361969
0.8444343209266663,0.8458619713783264,0.31791239976882935,10,COEXPRESSION_BLOCK_40,14.400300025939941,0.8943393230438232
0.8431159257888794,0.8507142066955566,0.31791239976882935,11,COEXPRESSION_BLOCK_40,14.400300025939941,0.885877251625061
0.7773953676223755,0.7673690915107727,0.31791239976882935,12,COEXPRESSION_BLOCK_40,14.400300025939941,0.8277850151062012
0.8135039210319519,0.8416897058486938,0.31791239976882935,13,COEXPRESSION_BLOCK_40,14.400300025939941,0.8678534030914307
0.7905554175376892,0.7778570055961609,0.31791239976882935,14,COEXPRESSION_BLOCK_40,14.400300025939941,0.8480979800224304
0.8256802558898926,0.8302845358848572,0.31791239976882935,15,COEXPRESSION_BLOCK_40,14.400300025939941,0.8672850131988525
0.8349793553352356,0.8364498615264893,0.31791239976882935,16,COEXPRESSION_BLOCK_40,14.400300025939941,0.8864130973815918
0.8510911464691162,0.8561627864837646,0.31791239976882935,17,COEXPRESSION_BLOCK_40,14.400300025939941,0.8917997479438782
0.8045545816421509,0.788365364074707,0.31791239976882935,18,COEXPRESSION_BLOCK_40,14.400300025939941,0.8557637929916382
0.8579565286636353,0.841487467288971,0.31791239976882935,19,COEXPRESSION_BLOCK_40,14.400300025939941,0.8767258524894714
0.8051763772964478,0.7918103933334351,0.31791239976882935,20,COEXPRESSION_BLOCK_40,14.400300025939941,0.8431664705276489
0.8217257261276245,0.8243961930274963,0.31791239976882935,21,COEXPRESSION_BLOCK_40,14.400300025939941,0.8572380542755127
0.7876287698745728,0.7633154988288879,0.31791239976882935,22,COEXPRESSION_BLOCK_40,14.400300025939941,0.8279587626457214
0.8209422826766968,0.8289296627044678,0.31791239976882935,23,COEXPRESSION_BLOCK_40,14.400300025939941,0.8612315654754639
0.8622715473175049,0.8593554496765137,0.31791239976882935,24,COEXPRESSION_BLOCK_40,14.400300025939941,0.8802366852760315
0.8209136724472046,0.8194999098777771,0.31791239976882935,25,COEXPRESSION_BLOCK_40,14.400300025939941,0.8697088360786438
0.8008623719215393,0.798246443271637,0.31791239976882935,26,COEXPRESSION_BLOCK_40,14.400300025939941,0.8280042409896851
0.8124469518661499,0.8351818323135376,0.31791239976882935,27,COEXPRESSION_BLOCK_40,14.400300025939941,0.865885853767395
0.8019217252731323,0.7979587316513062,0.31791239976882935,28,COEXPRESSION_BLOCK_40,14.400300025939941,0.8434227108955383
0.8389137983322144,0.8341337442398071,0.31791239976882935,29,COEXPRESSION_BLOCK_40,14.400300025939941,0.8591877818107605
0.8390944600105286,0.8197355270385742,0.31791239976882935,30,COEXPRESSION_BLOCK_40,14.400300025939941,0.8599962592124939
0.8174654245376587,0.8157989978790283,0.31791239976882935,31,COEXPRESSION_BLOCK_40,14.400300025939941,0.8719381093978882
