feature_id,display_name,sample,n_cells,n_nt_units,median_log2fc,n_abs_gt_1
C3_tss_g2,C3_tss_g2,S4,6,13,0.0,7461
C3_tss_g2,C3_tss_g2,S5,7,15,0.0,8180
C3_tss_g2,C3_tss_g2,S6,5,13,0.0,8299
C3_tss_g2,C3_tss_g2,S7,5,13,0.0,8425
C3_tss_g3,C3_tss_g3,S1,25,15,0.0,8830
C3_tss_g3,C3_tss_g3,S2,20,12,0.0,7303
C3_tss_g3,C3_tss_g3,S3,28,14,0.0,7660
C3_tss_g3,C3_tss_g3,S4,30,13,0.0,6040
C3_tss_g3,C3_tss_g3,S5,44,15,0.0,8059
C3_tss_g3,C3_tss_g3,S6,24,13,0.0,7682
C3_tss_g3,C3_tss_g3,S7,27,13,0.0,7420
CD86_tss_g1,CD86_tss_g1,S1,31,15,0.0,8864
CD86_tss_g1,CD86_tss_g1,S2,32,12,0.0,7495
CD86_tss_g1,CD86_tss_g1,S3,38,14,0.0,7960
CD86_tss_g1,CD86_tss_g1,S4,21,13,0.0,6041
CD86_tss_g1,CD86_tss_g1,S5,32,15,0.0,7956
CD86_tss_g1,CD86_tss_g1,S6,26,13,0.0,7961
CD86_tss_g1,CD86_tss_g1,S7,30,13,0.0,7834
CD86_tss_g2,CD86_tss_g2,S1,7,15,0.0,8544
CD86_tss_g2,CD86_tss_g2,S2,7,12,0.0,8005
CD86_tss_g2,CD86_tss_g2,S3,5,14,0.0,8685
CD86_tss_g2,CD86_tss_g2,S4,2,13,0.0,8935
CD86_tss_g2,CD86_tss_g2,S5,3,15,0.0,8929
CD86_tss_g2,CD86_tss_g2,S6,4,13,0.0,8593
CD86_tss_g2,CD86_tss_g2,S7,5,13,0.0,8737
CD86_tss_g3,CD86_tss_g3,S3,1,14,0.0,9922
ELMO1_nsig_e1_g1,ELMO1_nsig_e1_g1,S4,1,13,0.0,9505
ELMO1_nsig_e1_g1,ELMO1_nsig_e1_g1,S5,1,15,0.0,9704
ELMO1_nsig_e1_g2,ELMO1_nsig_e1_g2,S1,7,15,0.0,8560
ELMO1_nsig_e1_g2,ELMO1_nsig_e1_g2,S2,2,12,0.0,9774
ELMO1_nsig_e1_g2,ELMO1_nsig_e1_g2,S3,2,14,0.0,8977
ELMO1_nsig_e1_g2,ELMO1_nsig_e1_g2,S4,5,13,0.0,7551
ELMO1_nsig_e1_g2,ELMO1_nsig_e1_g2,S5,4,15,0.0,8595
ELMO1_nsig_e1_g2,ELMO1_nsig_e1_g2,S7,4,13,0.0,8734
ELMO1_nsig_e1_g3,ELMO1_nsig_e1_g3,S1,10,15,0.0,8467
ELMO1_nsig_e1_g3,ELMO1_nsig_e1_g3,S2,3,12,0.0,8992
ELMO1_nsig_e1_g3,ELMO1_nsig_e1_g3,S3,7,14,0.0,8194
ELMO1_nsig_e1_g3,ELMO1_nsig_e1_g3,S4,8,13,0.0,7022
ELMO1_nsig_e1_g3,ELMO1_nsig_e1_g3,S5,9,15,0.0,8012
ELMO1_nsig_e1_g3,ELMO1_nsig_e1_g3,S6,3,13,0.0,8733
ELMO1_nsig_e1_g3,ELMO1_nsig_e1_g3,S7,11,13,0.0,8166
ELMO1_nsig_e1_g4,ELMO1_nsig_e1_g4,S1,15,15,0.0,8427
ELMO1_nsig_e1_g4,ELMO1_nsig_e1_g4,S2,8,12,0.0,8122
ELMO1_nsig_e1_g4,ELMO1_nsig_e1_g4,S3,12,14,0.0,7717
ELMO1_nsig_e1_g4,ELMO1_nsig_e1_g4,S4,6,13,0.0,7722
ELMO1_nsig_e1_g4,ELMO1_nsig_e1_g4,S5,5,15,0.0,8475
ELMO1_nsig_e1_g4,ELMO1_nsig_e1_g4,S6,7,13,0.0,8093
ELMO1_nsig_e1_g4,ELMO1_nsig_e1_g4,S7,8,13,0.0,8408
ELMO1_nsig_e1_g5,ELMO1_nsig_e1_g5,S1,1,15,0.0,9682
ELMO1_nsig_e1_g5,ELMO1_nsig_e1_g5,S2,6,12,0.0,8553
ELMO1_nsig_e1_g5,ELMO1_nsig_e1_g5,S3,2,14,0.0,9174
ELMO1_nsig_e1_g5,ELMO1_nsig_e1_g5,S4,2,13,0.0,9280
ELMO1_nsig_e1_g5,ELMO1_nsig_e1_g5,S5,1,15,0.0,9604
ELMO1_nsig_e1_g5,ELMO1_nsig_e1_g5,S7,2,13,0.0,9485
ELMO1_nsig_e2_g1,ELMO1_nsig_e2_g1,S1,21,15,0.0,8277
ELMO1_nsig_e2_g1,ELMO1_nsig_e2_g1,S2,21,12,0.0,7367
ELMO1_nsig_e2_g1,ELMO1_nsig_e2_g1,S3,24,14,0.0,7491
ELMO1_nsig_e2_g1,ELMO1_nsig_e2_g1,S4,29,13,0.0,5931
ELMO1_nsig_e2_g1,ELMO1_nsig_e2_g1,S5,22,15,0.0,7595
ELMO1_nsig_e2_g1,ELMO1_nsig_e2_g1,S6,18,13,0.0,7603
ELMO1_nsig_e2_g1,ELMO1_nsig_e2_g1,S7,22,13,0.0,7570
ELMO1_nsig_e2_g3,ELMO1_nsig_e2_g3,S1,19,15,0.0,8642
ELMO1_nsig_e2_g3,ELMO1_nsig_e2_g3,S2,18,12,0.0,7478
ELMO1_nsig_e2_g3,ELMO1_nsig_e2_g3,S3,14,14,0.0,7873
ELMO1_nsig_e2_g3,ELMO1_nsig_e2_g3,S4,14,13,0.0,6306
ELMO1_nsig_e2_g3,ELMO1_nsig_e2_g3,S5,20,15,0.0,8217
ELMO1_nsig_e2_g3,ELMO1_nsig_e2_g3,S6,15,13,0.0,7694
ELMO1_nsig_e2_g3,ELMO1_nsig_e2_g3,S7,8,13,0.0,7965
ELMO1_nsig_e2_g5,ELMO1_nsig_e2_g5,S1,10,15,0.0,8486
ELMO1_nsig_e2_g5,ELMO1_nsig_e2_g5,S2,8,12,0.0,8336
ELMO1_nsig_e2_g5,ELMO1_nsig_e2_g5,S3,14,14,0.0,7976
ELMO1_nsig_e2_g5,ELMO1_nsig_e2_g5,S4,6,13,0.0,7382
ELMO1_nsig_e2_g5,ELMO1_nsig_e2_g5,S5,7,15,0.0,8218
ELMO1_nsig_e2_g5,ELMO1_nsig_e2_g5,S6,7,13,0.0,7936
ELMO1_nsig_e2_g5,ELMO1_nsig_e2_g5,S7,12,13,0.0,7845
ELMO1_nsig_e3_g2,ELMO1_nsig_e3_g2,S1,12,15,0.0,8476
ELMO1_nsig_e3_g2,ELMO1_nsig_e3_g2,S2,12,12,0.0,7402
ELMO1_nsig_e3_g2,ELMO1_nsig_e3_g2,S3,10,14,0.0,8009
ELMO1_nsig_e3_g2,ELMO1_nsig_e3_g2,S4,13,13,0.0,6557
ELMO1_nsig_e3_g2,ELMO1_nsig_e3_g2,S5,19,15,0.0,7957
ELMO1_nsig_e3_g2,ELMO1_nsig_e3_g2,S6,19,13,0.0,7510
ELMO1_nsig_e3_g2,ELMO1_nsig_e3_g2,S7,18,13,0.0,7752
ELMO1_nsig_e3_g4,ELMO1_nsig_e3_g4,S1,17,15,0.0,8304
ELMO1_nsig_e3_g4,ELMO1_nsig_e3_g4,S2,11,12,0.0,7830
ELMO1_nsig_e3_g4,ELMO1_nsig_e3_g4,S3,15,14,0.0,7527
ELMO1_nsig_e3_g4,ELMO1_nsig_e3_g4,S4,11,13,0.0,6521
ELMO1_nsig_e3_g4,ELMO1_nsig_e3_g4,S5,13,15,0.0,7777
ELMO1_nsig_e3_g4,ELMO1_nsig_e3_g4,S6,9,13,0.0,7934
ELMO1_nsig_e3_g4,ELMO1_nsig_e3_g4,S7,12,13,0.0,7790
ELMO1_nsig_e3_g5,ELMO1_nsig_e3_g5,S1,13,15,0.0,8378
ELMO1_nsig_e3_g5,ELMO1_nsig_e3_g5,S2,10,12,0.0,7717
ELMO1_nsig_e3_g5,ELMO1_nsig_e3_g5,S3,13,14,0.0,7835
ELMO1_nsig_e3_g5,ELMO1_nsig_e3_g5,S4,12,13,0.0,6491
ELMO1_nsig_e3_g5,ELMO1_nsig_e3_g5,S5,20,15,0.0,7864
ELMO1_nsig_e3_g5,ELMO1_nsig_e3_g5,S6,19,13,0.0,7488
